audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,source_image_index,is_terminal_declared_slot,url,http_status,content_type,reachable_image,error
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,66,66,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/066.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,67,67,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/067.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,68,68,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/068.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,69,69,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/069.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,70,70,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/070.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,71,71,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/071.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,72,72,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/072.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,73,73,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/073.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,74,74,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/074.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,75,75,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/075.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,76,76,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/076.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,77,77,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/077.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,78,78,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/078.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,79,79,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/079.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,80,80,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/080.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,81,81,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/081.jpg,206,image/jpeg,1,
