manifest_version,page_id,book_id,catalog_generation,grade,viewer_key,viewer_page,source_image_index,source_filename,source_asset_url,asset_status,http_status,content_type,byte_size,sha256,fetch_attempts,position_ratio,position_quartile,page_type_status,error
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP029,LTMD-CN4-G1972,1972,4,H1972P4CI077,29,29,029.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/029.jpg,source_jpeg,200,image/jpeg,42792,ad969291823df733bb9a3714a83da767e93b199af62b4bd3d10c453bd4d1a8e5,1,0.134884,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP030,LTMD-CN4-G1972,1972,4,H1972P4CI077,30,30,030.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/030.jpg,source_jpeg,200,image/jpeg,56609,13a5d73d249cf7c758ca4471dffe21384ee75c31b155d3953c2cb324c0426a0b,1,0.139535,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP031,LTMD-CN4-G1972,1972,4,H1972P4CI077,31,31,031.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/031.jpg,source_jpeg,200,image/jpeg,59640,1013eb702623d88344166fdb59a7d40539fed8c214c8cbf0af269b08d6d98097,1,0.144186,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP032,LTMD-CN4-G1972,1972,4,H1972P4CI077,32,32,032.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/032.jpg,source_jpeg,200,image/jpeg,51364,60bae38a460fa90989f97fd93dc9a2d4580d7c1c8dc9b35461b940d29bb86808,1,0.148837,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP033,LTMD-CN4-G1972,1972,4,H1972P4CI077,33,33,033.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/033.jpg,source_jpeg,200,image/jpeg,34759,926e45736fc6b13ee46f91ecfe6c037b34a31aefad770c33f07fe5669eb1fb75,1,0.153488,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP034,LTMD-CN4-G1972,1972,4,H1972P4CI077,34,34,034.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/034.jpg,source_jpeg,200,image/jpeg,46773,5b6287ac1e10dde0887e7269f04eb600cce5616f79967b4b597ceebca0aec503,1,0.158140,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP035,LTMD-CN4-G1972,1972,4,H1972P4CI077,35,35,035.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/035.jpg,source_jpeg,200,image/jpeg,43559,208ae986528f438dc288185fca7316f87a4d5bd54f94303b58d25eed475a5653,1,0.162791,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP036,LTMD-CN4-G1972,1972,4,H1972P4CI077,36,36,036.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/036.jpg,source_jpeg,200,image/jpeg,55691,bf9fb31f9c0074194f7459911b6bf9d0fd6cae38826400b21a57255f878649ee,1,0.167442,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP037,LTMD-CN4-G1972,1972,4,H1972P4CI077,37,37,037.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/037.jpg,source_jpeg,200,image/jpeg,40070,e92a9012f32d76a1bc0025b05635006efcbcdec2a86b93f7ac30d8382b97b26e,1,0.172093,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP038,LTMD-CN4-G1972,1972,4,H1972P4CI077,38,38,038.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/038.jpg,source_jpeg,200,image/jpeg,38142,5c558a57b530e86c85f13b890084fa81cd5cbdd1606f59a84aeec9ab90c28fe5,1,0.176744,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP039,LTMD-CN4-G1972,1972,4,H1972P4CI077,39,39,039.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/039.jpg,source_jpeg,200,image/jpeg,45571,6fcf00baecc4aac46742dd47720f3d6810654707338c1513eb3acc51b1a16274,1,0.181395,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP040,LTMD-CN4-G1972,1972,4,H1972P4CI077,40,40,040.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/040.jpg,source_jpeg,200,image/jpeg,54676,41ad8a6b1ea2a5df6131b5820957fe2f0cfafde0144b247945d73eceb2691975,1,0.186047,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP041,LTMD-CN4-G1972,1972,4,H1972P4CI077,41,41,041.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/041.jpg,source_jpeg,200,image/jpeg,47976,093fc7c331219b5dc17404e5f9ed629138a90bef7eb9e8554251fca312f4a43e,1,0.190698,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP042,LTMD-CN4-G1972,1972,4,H1972P4CI077,42,42,042.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/042.jpg,source_jpeg,200,image/jpeg,52006,79021830d5b7f7ab7734cebed3fc49cec9311e16247ec9321c26f0464fc4f9fb,1,0.195349,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP043,LTMD-CN4-G1972,1972,4,H1972P4CI077,43,43,043.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/043.jpg,source_jpeg,200,image/jpeg,44640,8100fff91af07c679614e15ddf4678ad77ad4d23d8cfac1c9e972b588519bb58,1,0.200000,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP044,LTMD-CN4-G1972,1972,4,H1972P4CI077,44,44,044.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/044.jpg,source_jpeg,200,image/jpeg,41480,510db0983dd1f191a107df40b7d6a3290b10fb773a6848fe587ea038238310d1,1,0.204651,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP045,LTMD-CN4-G1972,1972,4,H1972P4CI077,45,45,045.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/045.jpg,source_jpeg,200,image/jpeg,55821,4b7bf086916726434f799b69ff950f7c9046cd8b80a5a75b8370715c6e3559c5,1,0.209302,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP046,LTMD-CN4-G1972,1972,4,H1972P4CI077,46,46,046.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/046.jpg,source_jpeg,200,image/jpeg,55543,d076433a2a0eff01c18da756425af17d32010b578c788b2d12c9b76e78cf0f3d,1,0.213953,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP047,LTMD-CN4-G1972,1972,4,H1972P4CI077,47,47,047.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/047.jpg,source_jpeg,200,image/jpeg,63580,6a79b7f73f6c92130038a897adfaf0b6df827ff6c1afa282ae06a388c191a17c,1,0.218605,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP048,LTMD-CN4-G1972,1972,4,H1972P4CI077,48,48,048.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/048.jpg,source_jpeg,200,image/jpeg,51588,7b7855c5c428cb40abf7717c49bbb5479f9929dce40b153c84460521f1548cef,1,0.223256,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP049,LTMD-CN4-G1972,1972,4,H1972P4CI077,49,49,049.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/049.jpg,source_jpeg,200,image/jpeg,39296,ddf9c08a1d56af39b8c1166de158c90f047e1548951c2c3a5a0ed4204126d84b,1,0.227907,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP050,LTMD-CN4-G1972,1972,4,H1972P4CI077,50,50,050.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/050.jpg,source_jpeg,200,image/jpeg,43350,bf5fc1f8ac0d183e143ffb0534b370cef32672a9ab4ffd6bcc4643cc5aea041d,1,0.232558,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP051,LTMD-CN4-G1972,1972,4,H1972P4CI077,51,51,051.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/051.jpg,source_jpeg,200,image/jpeg,46114,b91b6ad25a7a7172cca49ce04304f8ec2aaa403b6c5b63b97255b13e42eb0943,1,0.237209,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP052,LTMD-CN4-G1972,1972,4,H1972P4CI077,52,52,052.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/052.jpg,source_jpeg,200,image/jpeg,47596,f7cb63a2c759c04984e525dfdb4228cad9c2e85e20e3606b95a097f91de4f5d1,1,0.241860,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP053,LTMD-CN4-G1972,1972,4,H1972P4CI077,53,53,053.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/053.jpg,source_jpeg,200,image/jpeg,45584,d1124324de930f03112814ace85809241763fc412f043da582ff417483f46f8d,1,0.246512,Q1,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP054,LTMD-CN4-G1972,1972,4,H1972P4CI077,54,54,054.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/054.jpg,source_jpeg,200,image/jpeg,48352,2db94c6df494d0fd59e84f3ee3f60111611bf4b00b7eb7fe454eb7b278bd17a8,1,0.251163,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP055,LTMD-CN4-G1972,1972,4,H1972P4CI077,55,55,055.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/055.jpg,source_jpeg,200,image/jpeg,44325,50c8b6114370ef03706e80c6908b18297af65c0e399b36e1583308a380c8cf83,1,0.255814,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP056,LTMD-CN4-G1972,1972,4,H1972P4CI077,56,56,056.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/056.jpg,source_jpeg,200,image/jpeg,45045,089f7daf59fc1b326f4507c3e1d1ce521df0fa40f718e53d1bf1e2695f63f8a5,1,0.260465,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP057,LTMD-CN4-G1972,1972,4,H1972P4CI077,57,57,057.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/057.jpg,source_jpeg,200,image/jpeg,48243,9f8a652ce672c00017a9020608013a77926f2e1bb361a4645ef52a1ff5357b26,1,0.265116,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP058,LTMD-CN4-G1972,1972,4,H1972P4CI077,58,58,058.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/058.jpg,source_jpeg,200,image/jpeg,46702,18ca093e4f3045d901a52552fb65aca12e50e35c5726ac84da2438976525a2a9,1,0.269767,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP059,LTMD-CN4-G1972,1972,4,H1972P4CI077,59,59,059.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/059.jpg,source_jpeg,200,image/jpeg,60510,dec12243cdfaa3cee51d5e741bec311ea80de293fb16879d1a60e5849ba2fd9f,1,0.274419,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP060,LTMD-CN4-G1972,1972,4,H1972P4CI077,60,60,060.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/060.jpg,source_jpeg,200,image/jpeg,56988,e004ca0ce928338ec33c51dcfd7cf7b6fbcbbe71c01780b26d1a17280a5c81f6,1,0.279070,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP061,LTMD-CN4-G1972,1972,4,H1972P4CI077,61,61,061.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/061.jpg,source_jpeg,200,image/jpeg,48297,89096741ef2f20234857fbe862770004cd88b99b27ee94a6dbad167061f38232,1,0.283721,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP062,LTMD-CN4-G1972,1972,4,H1972P4CI077,62,62,062.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/062.jpg,source_jpeg,200,image/jpeg,53807,7a0756fb004b3c5a50ab0223023e813b792cfd5ca44702e71abc12ec59b754a7,1,0.288372,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP063,LTMD-CN4-G1972,1972,4,H1972P4CI077,63,63,063.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/063.jpg,source_jpeg,200,image/jpeg,55913,4d9e3fff04cda49c00d8264491f26d0b51b152dc67aba79a17efebe475e1c514,1,0.293023,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP064,LTMD-CN4-G1972,1972,4,H1972P4CI077,64,64,064.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/064.jpg,source_jpeg,200,image/jpeg,45533,0141ebfefab83ca14c1fbd215a078166579e405d449b377267e96eb048b6348d,1,0.297674,Q2,unclassified,
CN46_PAGE_MANIFEST_0.2,LTMD-CN4-G1972-VP065,LTMD-CN4-G1972,1972,4,H1972P4CI077,65,65,065.jpg,https://historico.conaliteg.gob.mx/c/H1972P4CI077/065.jpg,source_jpeg,200,image/jpeg,39839,319c575637167002cef171ce87e5ec9259a119e488ac7e03fbda55566f1f2317,1,0.302326,Q2,unclassified,
