ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
CN46_OCR_0.1,LTMD-CN4-G1972-VP064,LTMD-CN4-G1972,1972,4,64,source_jpeg,45533,1,psm3:ok:40,3,40,231,91.06,95.73,0.0250,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP065,LTMD-CN4-G1972,1972,4,65,source_jpeg,39839,1,psm3:ok:24,3,24,129,92.42,95.45,0.0417,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP066,LTMD-CN4-G1972,1972,4,66,source_jpeg,38828,1,psm3:ok:0;psm11:ok:6;psm6:ok:8,6,8,13,21.17,9.78,0.8750,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP067,LTMD-CN4-G1972,1972,4,67,source_jpeg,44504,1,psm3:ok:0;psm11:ok:7;psm6:ok:3,11,7,13,48.69,43.20,0.7143,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP068,LTMD-CN4-G1972,1972,4,68,source_jpeg,49437,1,psm3:ok:88,3,88,416,90.95,95.27,0.0341,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP069,LTMD-CN4-G1972,1972,4,69,source_jpeg,58213,1,psm3:ok:100,3,100,454,86.46,95.24,0.1000,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP070,LTMD-CN4-G1972,1972,4,70,source_jpeg,49696,1,psm3:ok:124,3,124,568,88.20,96.15,0.0968,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP071,LTMD-CN4-G1972,1972,4,71,source_jpeg,52157,1,psm3:ok:93,3,93,441,87.15,95.21,0.0753,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP072,LTMD-CN4-G1972,1972,4,72,source_jpeg,50232,1,psm3:ok:90,3,90,422,88.83,95.32,0.1111,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP073,LTMD-CN4-G1972,1972,4,73,source_jpeg,53478,1,psm3:ok:63,3,63,311,88.86,96.16,0.1111,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP074,LTMD-CN4-G1972,1972,4,74,source_jpeg,56183,1,psm3:ok:179,3,179,917,91.01,95.91,0.0559,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP075,LTMD-CN4-G1972,1972,4,75,source_jpeg,51471,1,psm3:ok:88,3,88,406,89.63,96.00,0.0909,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP076,LTMD-CN4-G1972,1972,4,76,source_jpeg,50043,1,psm3:ok:96,3,96,497,91.50,96.11,0.0521,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP077,LTMD-CN4-G1972,1972,4,77,source_jpeg,34952,1,psm3:ok:12,3,12,60,57.75,65.39,0.4167,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP078,LTMD-CN4-G1972,1972,4,78,source_jpeg,43972,1,psm3:ok:57,3,57,250,87.99,94.89,0.1053,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP079,LTMD-CN4-G1972,1972,4,79,source_jpeg,49875,1,psm3:ok:165,3,165,725,89.13,96.20,0.0727,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP080,LTMD-CN4-G1972,1972,4,80,source_jpeg,49590,1,psm3:ok:117,3,117,517,91.01,96.30,0.0598,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP081,LTMD-CN4-G1972,1972,4,81,source_jpeg,47179,1,psm3:ok:111,3,111,546,89.83,95.34,0.0450,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP082,LTMD-CN4-G1972,1972,4,82,source_jpeg,40285,1,psm3:ok:62,3,62,281,89.88,95.50,0.0484,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP083,LTMD-CN4-G1972,1972,4,83,source_jpeg,50317,1,psm3:ok:108,3,108,473,87.97,94.46,0.0926,text_detected,ok,
CN46_OCR_0.1,LTMD-CN4-G1972-VP084,LTMD-CN4-G1972,1972,4,84,source_jpeg,54307,1,psm3:ok:196,3,196,968,91.54,95.90,0.0408,text_detected,ok,
