view_version,content_unit_id,text_sha256,occurrence_count,book_count,page_count,books,candidate_type_variants,cross_book_reuse,within_book_repeat
CN46_UNIQUE_CONTENT_0.1,CNU-0DA71FFB432DA4A528E8,720e97dca679b922cbd52576f601278fd51b3645d82750d69682482f6bdd810a,1,1,1,LTMD-CN6-G1993-DH,activity_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1CEF2D452D9E8BEAB373,7211d5f3fa0d9731e813e56d238e824e85ff0e0a42c2ee9584b95467a66a6f83,1,1,1,LTMD-CN6-G1993-DH,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A917B66E39217BD889DF,7216148216fb414939801de2cc3054b32835ae6f7337c4ef1213ff04228d3417,1,1,1,LTMD-CN4-G1993,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-4B096F4B928D7CB5B9EB,7216a803ae0645e59c916d08d1b92d1090775145c6220d9fdf3cb45f4302fa42,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-BC3D7242D6D818760784,7216a992f963fbfcc3b8740f56dd8837cb9b19d0d1bd8b4f365dc16fa7864802,1,1,1,LTMD-CN6-G1993-DH,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-6052BA331A9E8E4DF9AE,721b09308da27e829876f52435589e713434ded01e0d50ae487e4867efe98e14,2,2,2,LTMD-CN4-G1972;LTMD-CN4-G1988,question_candidate,1,0
CN46_UNIQUE_CONTENT_0.1,CNU-36CFDE15ABAAE9E11F2E,721e4b1db3f3a737b13ca9a6b70915f509dd7cf34fc89e5f2145d6d89d9e9c65,1,1,1,LTMD-CN4-G1993,question_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-F7CB05B0EF75E04138E2,721e83ad632e06fa252153f58fa3be2205163ef889d23fb51053773c1df38c9e,1,1,1,LTMD-CN4-G1993,expository_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-7DB431027C171955B2B2,7221c5b7f08871b9af9537586321cc4f80c74447b8a7737f8347ea802faa2790,1,1,1,LTMD-CN6-G1993-DH,instruction_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-1E56887F2C06A1EE2B1E,72222f87e9a0b78086eb5e4e2b31a2f2e9c64f4bee78457a1e9e5a9403bab9ba,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-F3695C9225294DDBA9BB,7223dc1a8baa40d3a7633f192bbc78d75457d2e63706207b161bec158f935a56,1,1,1,LTMD-CN4-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-A3AFB2959A2469565DAC,722578a91888d05b1aa1ae32178acbf027130bdb25e5215633c69e75199fd158,1,1,1,LTMD-CN6-G2014,short_residual_candidate,0,0
CN46_UNIQUE_CONTENT_0.1,CNU-C002978FE9EF67F43A02,7227c9aa4222145e653fe42f695310025c1c237574faf2b28b5944463b789764,1,1,1,LTMD-CN6-G1988,expository_candidate,0,0
