scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP213,LTMD-CN4-G1988,1988,4,213,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1988-VP214,LTMD-CN4-G1988,1988,4,214,3,1,0,1,0,0,1,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP001,LTMD-CN4-G1993,1993,4,1,11,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP002,LTMD-CN4-G1993,1993,4,2,3,1,1,0,0,1,6,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP003,LTMD-CN4-G1993,1993,4,3,3,1,1,0,2,4,1,3,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP004,LTMD-CN4-G1993,1993,4,4,3,1,1,0,0,3,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP005,LTMD-CN4-G1993,1993,4,5,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP006,LTMD-CN4-G1993,1993,4,6,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP007,LTMD-CN4-G1993,1993,4,7,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP008,LTMD-CN4-G1993,1993,4,8,3,1,1,0,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP009,LTMD-CN4-G1993,1993,4,9,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP010,LTMD-CN4-G1993,1993,4,10,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP011,LTMD-CN4-G1993,1993,4,11,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP012,LTMD-CN4-G1993,1993,4,12,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP013,LTMD-CN4-G1993,1993,4,13,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP014,LTMD-CN4-G1993,1993,4,14,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP015,LTMD-CN4-G1993,1993,4,15,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP016,LTMD-CN4-G1993,1993,4,16,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP163,LTMD-CN4-G1993,1993,4,163,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP164,LTMD-CN4-G1993,1993,4,164,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP165,LTMD-CN4-G1993,1993,4,165,11,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP166,LTMD-CN4-G1993,1993,4,166,6,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP167,LTMD-CN4-G1993,1993,4,167,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP168,LTMD-CN4-G1993,1993,4,168,3,1,0,1,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP169,LTMD-CN4-G1993,1993,4,169,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP170,LTMD-CN4-G1993,1993,4,170,3,1,0,1,0,3,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP171,LTMD-CN4-G1993,1993,4,171,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP172,LTMD-CN4-G1993,1993,4,172,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP173,LTMD-CN4-G1993,1993,4,173,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP174,LTMD-CN4-G1993,1993,4,174,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP175,LTMD-CN4-G1993,1993,4,175,6,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP176,LTMD-CN4-G1993,1993,4,176,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP177,LTMD-CN4-G1993,1993,4,177,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G1993-VP178,LTMD-CN4-G1993,1993,4,178,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP001,LTMD-CN4-G2014,2014,4,1,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP002,LTMD-CN4-G2014,2014,4,2,3,1,1,0,0,0,7,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP003,LTMD-CN4-G2014,2014,4,3,3,1,1,0,0,2,1,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP004,LTMD-CN4-G2014,2014,4,4,3,1,1,0,1,3,0,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP005,LTMD-CN4-G2014,2014,4,5,3,1,1,0,2,3,0,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP006,LTMD-CN4-G2014,2014,4,6,3,1,1,0,2,2,0,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP007,LTMD-CN4-G2014,2014,4,7,3,1,1,0,0,2,2,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP008,LTMD-CN4-G2014,2014,4,8,11,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP009,LTMD-CN4-G2014,2014,4,9,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP010,LTMD-CN4-G2014,2014,4,10,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP011,LTMD-CN4-G2014,2014,4,11,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP012,LTMD-CN4-G2014,2014,4,12,3,1,1,0,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP013,LTMD-CN4-G2014,2014,4,13,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP014,LTMD-CN4-G2014,2014,4,14,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP015,LTMD-CN4-G2014,2014,4,15,3,1,1,0,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP016,LTMD-CN4-G2014,2014,4,16,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP146,LTMD-CN4-G2014,2014,4,146,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP147,LTMD-CN4-G2014,2014,4,147,3,1,0,1,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP148,LTMD-CN4-G2014,2014,4,148,3,1,0,1,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP149,LTMD-CN4-G2014,2014,4,149,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP150,LTMD-CN4-G2014,2014,4,150,3,1,0,1,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP151,LTMD-CN4-G2014,2014,4,151,3,1,0,1,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP152,LTMD-CN4-G2014,2014,4,152,3,1,0,1,0,2,0,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP153,LTMD-CN4-G2014,2014,4,153,3,1,0,1,1,1,1,3,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP154,LTMD-CN4-G2014,2014,4,154,3,1,0,1,0,0,1,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP155,LTMD-CN4-G2014,2014,4,155,3,1,0,1,0,1,1,2,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP156,LTMD-CN4-G2014,2014,4,156,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP157,LTMD-CN4-G2014,2014,4,157,3,1,0,1,0,0,1,1,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP158,LTMD-CN4-G2014,2014,4,158,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP159,LTMD-CN4-G2014,2014,4,159,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP160,LTMD-CN4-G2014,2014,4,160,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN4-G2014-VP161,LTMD-CN4-G2014,2014,4,161,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP001,LTMD-CN6-G1972,1972,6,1,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP002,LTMD-CN6-G1972,1972,6,2,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1972-VP003,LTMD-CN6-G1972,1972,6,3,3,1,1,0,0,0,1,1,
