family,category,catalog_generation,stratum,n_fragments,A_count,A_rate,A_per_100,B_count,B_rate,B_per_100,consensus_positive_count,consensus_positive_rate,consensus_positive_per_100,method_sensitive_count,method_sensitive_rate,consensus_negative_count,consensus_negative_rate,comparison_version
position,collaborator,1988,nonheading,1062,6,0.00564972,0.565,191,0.17984934,17.9849,5,0.0047081,0.4708,187,0.17608286,870,0.81920904,HISTCOMP_0.1
position,decision_maker,1988,nonheading,1062,0,0.0,0.0,240,0.2259887,22.5989,0,0.0,0.0,240,0.2259887,822,0.7740113,HISTCOMP_0.1
position,community_agent,1988,nonheading,1062,1,0.00094162,0.0942,130,0.12241055,12.2411,0,0.0,0.0,131,0.12335217,931,0.87664783,HISTCOMP_0.1
position,receiver,1988,certain_nonheading,7,3,0.42857143,42.8571,1,0.14285714,14.2857,0,0.0,0.0,4,0.57142857,3,0.42857143,HISTCOMP_0.1
position,instruction_follower,1988,certain_nonheading,7,1,0.14285714,14.2857,1,0.14285714,14.2857,0,0.0,0.0,2,0.28571429,5,0.71428571,HISTCOMP_0.1
position,observer,1988,certain_nonheading,7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,7,1.0,HISTCOMP_0.1
position,experimenter,1988,certain_nonheading,7,0,0.0,0.0,3,0.42857143,42.8571,0,0.0,0.0,3,0.42857143,4,0.57142857,HISTCOMP_0.1
position,investigator,1988,certain_nonheading,7,0,0.0,0.0,2,0.28571429,28.5714,0,0.0,0.0,2,0.28571429,5,0.71428571,HISTCOMP_0.1
position,reasoner,1988,certain_nonheading,7,0,0.0,0.0,1,0.14285714,14.2857,0,0.0,0.0,1,0.14285714,6,0.85714286,HISTCOMP_0.1
position,collaborator,1988,certain_nonheading,7,0,0.0,0.0,2,0.28571429,28.5714,0,0.0,0.0,2,0.28571429,5,0.71428571,HISTCOMP_0.1
position,decision_maker,1988,certain_nonheading,7,0,0.0,0.0,1,0.14285714,14.2857,0,0.0,0.0,1,0.14285714,6,0.85714286,HISTCOMP_0.1
position,community_agent,1988,certain_nonheading,7,0,0.0,0.0,1,0.14285714,14.2857,0,0.0,0.0,1,0.14285714,6,0.85714286,HISTCOMP_0.1
position,receiver,1988,textual_only_certain_nonheading,7,3,0.42857143,42.8571,1,0.14285714,14.2857,0,0.0,0.0,4,0.57142857,3,0.42857143,HISTCOMP_0.1
position,instruction_follower,1988,textual_only_certain_nonheading,7,1,0.14285714,14.2857,1,0.14285714,14.2857,0,0.0,0.0,2,0.28571429,5,0.71428571,HISTCOMP_0.1
