family,category,catalog_generation,n,n11,n10,n01,n00,binary_agreement,positive_jaccard,prevalence_A,prevalence_B,absolute_prevalence_difference,exploratory_version
action,experiment,2014,2641,2,7,175,2457,0.931087,0.01087,0.003408,0.06702,0.063612,EXPLORE_FINDINGS_0.1
action,experiment,ALL,9594,4,10,817,8763,0.9138,0.004813,0.001459,0.085574,0.084115,EXPLORE_FINDINGS_0.1
action,explain,1972,2809,41,62,264,2442,0.883944,0.111717,0.036668,0.10858,0.071912,EXPLORE_FINDINGS_0.1
action,explain,1988,1631,11,25,106,1489,0.919681,0.077465,0.022072,0.071735,0.049663,EXPLORE_FINDINGS_0.1
action,explain,1993,2513,8,11,131,2363,0.943494,0.053333,0.007561,0.055312,0.047752,EXPLORE_FINDINGS_0.1
action,explain,2014,2641,12,16,69,2544,0.967815,0.123711,0.010602,0.03067,0.020068,EXPLORE_FINDINGS_0.1
action,explain,ALL,9594,72,114,570,8838,0.928705,0.095238,0.019387,0.066917,0.04753,EXPLORE_FINDINGS_0.1
action,infer,1972,2809,1,2,59,2747,0.978284,0.016129,0.001068,0.02136,0.020292,EXPLORE_FINDINGS_0.1
action,infer,1988,1631,0,0,39,1592,0.976088,0.0,0.0,0.023912,0.023912,EXPLORE_FINDINGS_0.1
action,infer,1993,2513,1,0,47,2465,0.981297,0.020833,0.000398,0.019101,0.018703,EXPLORE_FINDINGS_0.1
action,infer,2014,2641,0,2,24,2615,0.990155,0.0,0.000757,0.009087,0.00833,EXPLORE_FINDINGS_0.1
action,infer,ALL,9594,2,4,169,9419,0.981968,0.011429,0.000625,0.017824,0.017198,EXPLORE_FINDINGS_0.1
action,investigate,1972,2809,7,4,150,2648,0.945176,0.043478,0.003916,0.055892,0.051976,EXPLORE_FINDINGS_0.1
action,investigate,1988,1631,8,1,83,1539,0.948498,0.086957,0.005518,0.055794,0.050276,EXPLORE_FINDINGS_0.1
action,investigate,1993,2513,9,9,109,2386,0.953044,0.070866,0.007163,0.046956,0.039793,EXPLORE_FINDINGS_0.1
action,investigate,2014,2641,12,34,83,2512,0.955699,0.093023,0.017418,0.035971,0.018554,EXPLORE_FINDINGS_0.1
action,investigate,ALL,9594,36,48,425,9085,0.950698,0.070727,0.008755,0.048051,0.039295,EXPLORE_FINDINGS_0.1
action,measure,1972,2809,3,7,81,2718,0.968672,0.032967,0.00356,0.029904,0.026344,EXPLORE_FINDINGS_0.1
action,measure,1988,1631,6,3,49,1573,0.968118,0.103448,0.005518,0.033722,0.028204,EXPLORE_FINDINGS_0.1
action,measure,1993,2513,5,2,60,2446,0.975328,0.074627,0.002786,0.025865,0.02308,EXPLORE_FINDINGS_0.1
action,measure,2014,2641,5,2,46,2588,0.981825,0.09434,0.002651,0.019311,0.01666,EXPLORE_FINDINGS_0.1
action,measure,ALL,9594,19,14,236,9325,0.973942,0.070632,0.00344,0.026579,0.023139,EXPLORE_FINDINGS_0.1
action,observe,1972,2809,19,35,288,2467,0.885012,0.055556,0.019224,0.109292,0.090068,EXPLORE_FINDINGS_0.1
action,observe,1988,1631,6,12,141,1472,0.906193,0.037736,0.011036,0.090129,0.079093,EXPLORE_FINDINGS_0.1
action,observe,1993,2513,21,29,174,2289,0.91922,0.09375,0.019897,0.077596,0.0577,EXPLORE_FINDINGS_0.1
action,observe,2014,2641,9,26,135,2471,0.939038,0.052941,0.013253,0.054525,0.041272,EXPLORE_FINDINGS_0.1
action,observe,ALL,9594,55,102,738,8699,0.912445,0.061453,0.016364,0.082656,0.066291,EXPLORE_FINDINGS_0.1
action,predict,1972,2809,0,0,207,2602,0.926308,0.0,0.0,0.073692,0.073692,EXPLORE_FINDINGS_0.1
action,predict,1988,1631,0,0,94,1537,0.942367,0.0,0.0,0.057633,0.057633,EXPLORE_FINDINGS_0.1
action,predict,1993,2513,0,1,67,2445,0.972941,0.0,0.000398,0.026661,0.026263,EXPLORE_FINDINGS_0.1
action,predict,2014,2641,0,0,60,2581,0.977281,0.0,0.0,0.022719,0.022719,EXPLORE_FINDINGS_0.1
action,predict,ALL,9594,0,1,428,9165,0.955285,0.0,0.000104,0.044611,0.044507,EXPLORE_FINDINGS_0.1
action,recall,1972,2809,2,7,100,2700,0.961908,0.018349,0.003204,0.036312,0.033108,EXPLORE_FINDINGS_0.1
action,recall,1988,1631,2,4,75,1550,0.951563,0.024691,0.003679,0.04721,0.043532,EXPLORE_FINDINGS_0.1
action,recall,1993,2513,4,5,88,2416,0.962992,0.041237,0.003581,0.03661,0.033028,EXPLORE_FINDINGS_0.1
action,recall,2014,2641,0,5,66,2570,0.973116,0.0,0.001893,0.024991,0.023097,EXPLORE_FINDINGS_0.1
action,recall,ALL,9594,8,21,329,9236,0.963519,0.022346,0.003023,0.035126,0.032103,EXPLORE_FINDINGS_0.1
action,solve,1972,2809,7,0,308,2494,0.890352,0.022222,0.002492,0.11214,0.109648,EXPLORE_FINDINGS_0.1
action,solve,1988,1631,2,0,155,1474,0.904966,0.012739,0.001226,0.09626,0.095034,EXPLORE_FINDINGS_0.1
action,solve,1993,2513,5,1,216,2291,0.913649,0.022523,0.002388,0.087943,0.085555,EXPLORE_FINDINGS_0.1
action,solve,2014,2641,5,3,162,2471,0.937524,0.029412,0.003029,0.063234,0.060204,EXPLORE_FINDINGS_0.1
action,solve,ALL,9594,19,4,841,8730,0.911924,0.021991,0.002397,0.089639,0.087242,EXPLORE_FINDINGS_0.1
position,collaborator,1972,2809,13,9,334,2453,0.877892,0.036517,0.007832,0.123532,0.1157,EXPLORE_FINDINGS_0.1
position,collaborator,1988,1631,5,1,186,1439,0.885346,0.026042,0.003679,0.117106,0.113427,EXPLORE_FINDINGS_0.1
position,collaborator,1993,2513,20,3,258,2232,0.89614,0.071174,0.009152,0.110625,0.101472,EXPLORE_FINDINGS_0.1
position,collaborator,2014,2641,8,2,204,2427,0.921999,0.037383,0.003786,0.080273,0.076486,EXPLORE_FINDINGS_0.1
position,collaborator,ALL,9594,46,15,982,8551,0.896081,0.044104,0.006358,0.10715,0.100792,EXPLORE_FINDINGS_0.1
position,community_agent,1972,2809,0,0,237,2572,0.915628,0.0,0.0,0.084372,0.084372,EXPLORE_FINDINGS_0.1
position,community_agent,1988,1631,0,1,130,1500,0.919681,0.0,0.000613,0.079706,0.079093,EXPLORE_FINDINGS_0.1
position,community_agent,1993,2513,2,0,215,2296,0.914445,0.009217,0.000796,0.086351,0.085555,EXPLORE_FINDINGS_0.1
position,community_agent,2014,2641,3,5,183,2450,0.928815,0.015707,0.003029,0.070428,0.067399,EXPLORE_FINDINGS_0.1
position,community_agent,ALL,9594,5,6,765,8818,0.919637,0.006443,0.001147,0.080258,0.079112,EXPLORE_FINDINGS_0.1
position,decision_maker,1972,2809,1,0,411,2397,0.853685,0.002427,0.000356,0.146671,0.146315,EXPLORE_FINDINGS_0.1
position,decision_maker,1988,1631,0,0,240,1391,0.852851,0.0,0.0,0.147149,0.147149,EXPLORE_FINDINGS_0.1
position,decision_maker,1993,2513,6,4,323,2180,0.869877,0.018018,0.003979,0.130919,0.12694,EXPLORE_FINDINGS_0.1
position,decision_maker,2014,2641,2,2,196,2441,0.925028,0.01,0.001515,0.074972,0.073457,EXPLORE_FINDINGS_0.1
position,decision_maker,ALL,9594,9,6,1170,8409,0.877423,0.007595,0.001563,0.122889,0.121326,EXPLORE_FINDINGS_0.1
position,experimenter,1972,2809,0,0,742,2067,0.735849,0.0,0.0,0.264151,0.264151,EXPLORE_FINDINGS_0.1
position,experimenter,1988,1631,2,1,388,1240,0.761496,0.005115,0.001839,0.239117,0.237278,EXPLORE_FINDINGS_0.1
position,experimenter,1993,2513,2,0,577,1934,0.770394,0.003454,0.000796,0.230402,0.229606,EXPLORE_FINDINGS_0.1
position,experimenter,2014,2641,8,1,351,2281,0.866717,0.022222,0.003408,0.135933,0.132526,EXPLORE_FINDINGS_0.1
position,experimenter,ALL,9594,12,2,2058,7522,0.785282,0.005792,0.001459,0.21576,0.214301,EXPLORE_FINDINGS_0.1
position,instruction_follower,1972,2809,21,316,192,2280,0.819153,0.039698,0.119972,0.075828,0.044144,EXPLORE_FINDINGS_0.1
position,instruction_follower,1988,1631,14,174,96,1347,0.834457,0.049296,0.115267,0.067443,0.047823,EXPLORE_FINDINGS_0.1
position,instruction_follower,1993,2513,29,359,63,2062,0.832073,0.064302,0.154397,0.03661,0.117788,EXPLORE_FINDINGS_0.1
position,instruction_follower,2014,2641,6,226,42,2367,0.898523,0.021898,0.087846,0.018175,0.069671,EXPLORE_FINDINGS_0.1
position,instruction_follower,ALL,9594,70,1075,393,8056,0.846988,0.045514,0.119345,0.048259,0.071086,EXPLORE_FINDINGS_0.1
position,investigator,1972,2809,10,1,547,2251,0.804913,0.017921,0.003916,0.198291,0.194375,EXPLORE_FINDINGS_0.1
position,investigator,1988,1631,6,3,299,1323,0.814838,0.019481,0.005518,0.187002,0.181484,EXPLORE_FINDINGS_0.1
position,investigator,1993,2513,13,5,274,2221,0.888977,0.044521,0.007163,0.114206,0.107043,EXPLORE_FINDINGS_0.1
position,investigator,2014,2641,31,15,251,2344,0.899281,0.104377,0.017418,0.106778,0.08936,EXPLORE_FINDINGS_0.1
position,investigator,ALL,9594,60,24,1371,8139,0.854597,0.041237,0.008755,0.149156,0.1404,EXPLORE_FINDINGS_0.1
position,observer,1972,2809,31,23,419,2336,0.842649,0.065539,0.019224,0.160199,0.140975,EXPLORE_FINDINGS_0.1
position,observer,1988,1631,7,11,205,1408,0.867566,0.03139,0.011036,0.129982,0.118945,EXPLORE_FINDINGS_0.1
position,observer,1993,2513,24,26,191,2272,0.913649,0.099585,0.019897,0.085555,0.065659,EXPLORE_FINDINGS_0.1
position,observer,2014,2641,18,17,190,2416,0.921621,0.08,0.013253,0.078758,0.065505,EXPLORE_FINDINGS_0.1
position,observer,ALL,9594,80,77,1005,8432,0.887221,0.068847,0.016364,0.113092,0.096727,EXPLORE_FINDINGS_0.1
position,reasoner,1972,2809,46,88,184,2491,0.903168,0.144654,0.047704,0.08188,0.034176,EXPLORE_FINDINGS_0.1
position,reasoner,1988,1631,13,30,98,1490,0.921521,0.092199,0.026364,0.068056,0.041692,EXPLORE_FINDINGS_0.1
position,reasoner,1993,2513,9,35,117,2352,0.939515,0.055901,0.017509,0.050139,0.03263,EXPLORE_FINDINGS_0.1
position,reasoner,2014,2641,13,38,91,2499,0.951155,0.091549,0.019311,0.039379,0.020068,EXPLORE_FINDINGS_0.1
position,reasoner,ALL,9594,81,191,490,8832,0.929018,0.106299,0.028351,0.059516,0.031165,EXPLORE_FINDINGS_0.1
position,receiver,1972,2809,99,344,225,2141,0.797437,0.148204,0.157707,0.115344,0.042364,EXPLORE_FINDINGS_0.1
position,receiver,1988,1631,73,201,134,1223,0.794605,0.178922,0.167995,0.126916,0.041079,EXPLORE_FINDINGS_0.1
position,receiver,1993,2513,106,366,209,1832,0.77119,0.155653,0.187823,0.125348,0.062475,EXPLORE_FINDINGS_0.1
position,receiver,2014,2641,111,204,238,2088,0.832639,0.200723,0.119273,0.132147,0.012874,EXPLORE_FINDINGS_0.1
position,receiver,ALL,9594,389,1115,806,7284,0.799771,0.168398,0.156765,0.124557,0.032208,EXPLORE_FINDINGS_0.1
