page_id,book_id,catalog_generation,viewer_page,source_bytes,source_asset_url,baseline_ocr_class,audit_status
LTMD-CN5-G1972-VP058,LTMD-CN5-G1972,1972,58,41801,https://historico.conaliteg.gob.mx/c/H1972P5CI084/058.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP066,LTMD-CN5-G1972,1972,66,73825,https://historico.conaliteg.gob.mx/c/H1972P5CI084/066.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP076,LTMD-CN5-G1972,1972,76,96225,https://historico.conaliteg.gob.mx/c/H1972P5CI084/076.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP078,LTMD-CN5-G1972,1972,78,44681,https://historico.conaliteg.gob.mx/c/H1972P5CI084/078.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP079,LTMD-CN5-G1972,1972,79,60064,https://historico.conaliteg.gob.mx/c/H1972P5CI084/079.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP084,LTMD-CN5-G1972,1972,84,117736,https://historico.conaliteg.gob.mx/c/H1972P5CI084/084.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP090,LTMD-CN5-G1972,1972,90,70478,https://historico.conaliteg.gob.mx/c/H1972P5CI084/090.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP100,LTMD-CN5-G1972,1972,100,59335,https://historico.conaliteg.gob.mx/c/H1972P5CI084/100.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP113,LTMD-CN5-G1972,1972,113,130837,https://historico.conaliteg.gob.mx/c/H1972P5CI084/113.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP114,LTMD-CN5-G1972,1972,114,61556,https://historico.conaliteg.gob.mx/c/H1972P5CI084/114.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP121,LTMD-CN5-G1972,1972,121,52395,https://historico.conaliteg.gob.mx/c/H1972P5CI084/121.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP172,LTMD-CN5-G1972,1972,172,89216,https://historico.conaliteg.gob.mx/c/H1972P5CI084/172.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP190,LTMD-CN5-G1972,1972,190,101053,https://historico.conaliteg.gob.mx/c/H1972P5CI084/190.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP200,LTMD-CN5-G1972,1972,200,45588,https://historico.conaliteg.gob.mx/c/H1972P5CI084/200.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP216,LTMD-CN5-G1972,1972,216,38356,https://historico.conaliteg.gob.mx/c/H1972P5CI084/216.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP237,LTMD-CN5-G1972,1972,237,50779,https://historico.conaliteg.gob.mx/c/H1972P5CI084/237.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP238,LTMD-CN5-G1972,1972,238,73161,https://historico.conaliteg.gob.mx/c/H1972P5CI084/238.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP246,LTMD-CN5-G1972,1972,246,77335,https://historico.conaliteg.gob.mx/c/H1972P5CI084/246.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP252,LTMD-CN5-G1972,1972,252,85498,https://historico.conaliteg.gob.mx/c/H1972P5CI084/252.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP253,LTMD-CN5-G1972,1972,253,68555,https://historico.conaliteg.gob.mx/c/H1972P5CI084/253.jpg,no_text_detected,pending
LTMD-CN5-G1972-VP256,LTMD-CN5-G1972,1972,256,19716,https://historico.conaliteg.gob.mx/c/H1972P5CI084/256.jpg,no_text_detected,pending
LTMD-CN5-G1988-VP001,LTMD-CN5-G1988,1988,1,247865,https://historico.conaliteg.gob.mx/c/H1988P5CI123/000.jpg,no_text_detected,pending
LTMD-CN5-G1988-VP045,LTMD-CN5-G1988,1988,45,91455,https://historico.conaliteg.gob.mx/c/H1988P5CI123/045.jpg,no_text_detected,pending
LTMD-CN5-G1988-VP117,LTMD-CN5-G1988,1988,117,49545,https://historico.conaliteg.gob.mx/c/H1988P5CI123/117.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP080,LTMD-CN5-G1993,1993,80,57369,https://historico.conaliteg.gob.mx/c/H1993P5CI200/080.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP081,LTMD-CN5-G1993,1993,81,61140,https://historico.conaliteg.gob.mx/c/H1993P5CI200/081.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP118,LTMD-CN5-G1993,1993,118,58408,https://historico.conaliteg.gob.mx/c/H1993P5CI200/118.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP119,LTMD-CN5-G1993,1993,119,65985,https://historico.conaliteg.gob.mx/c/H1993P5CI200/119.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP154,LTMD-CN5-G1993,1993,154,71476,https://historico.conaliteg.gob.mx/c/H1993P5CI200/154.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP163,LTMD-CN5-G1993,1993,163,88593,https://historico.conaliteg.gob.mx/c/H1993P5CI200/163.jpg,no_text_detected,pending
LTMD-CN5-G1993-VP177,LTMD-CN5-G1993,1993,177,38816,https://historico.conaliteg.gob.mx/c/H1993P5CI200/177.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP008,LTMD-CN5-G2014,2014,8,722100,https://historico.conaliteg.gob.mx/c/H2014P5CNA/008.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP010,LTMD-CN5-G2014,2014,10,621593,https://historico.conaliteg.gob.mx/c/H2014P5CNA/010.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP026,LTMD-CN5-G2014,2014,26,254655,https://historico.conaliteg.gob.mx/c/H2014P5CNA/026.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP048,LTMD-CN5-G2014,2014,48,1103710,https://historico.conaliteg.gob.mx/c/H2014P5CNA/048.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP050,LTMD-CN5-G2014,2014,50,944943,https://historico.conaliteg.gob.mx/c/H2014P5CNA/050.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP056,LTMD-CN5-G2014,2014,56,1057180,https://historico.conaliteg.gob.mx/c/H2014P5CNA/056.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP068,LTMD-CN5-G2014,2014,68,1383537,https://historico.conaliteg.gob.mx/c/H2014P5CNA/068.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP078,LTMD-CN5-G2014,2014,78,1182785,https://historico.conaliteg.gob.mx/c/H2014P5CNA/078.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP080,LTMD-CN5-G2014,2014,80,539745,https://historico.conaliteg.gob.mx/c/H2014P5CNA/080.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP088,LTMD-CN5-G2014,2014,88,698706,https://historico.conaliteg.gob.mx/c/H2014P5CNA/088.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP094,LTMD-CN5-G2014,2014,94,378035,https://historico.conaliteg.gob.mx/c/H2014P5CNA/094.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP102,LTMD-CN5-G2014,2014,102,146377,https://historico.conaliteg.gob.mx/c/H2014P5CNA/102.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP112,LTMD-CN5-G2014,2014,112,378960,https://historico.conaliteg.gob.mx/c/H2014P5CNA/112.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP118,LTMD-CN5-G2014,2014,118,950838,https://historico.conaliteg.gob.mx/c/H2014P5CNA/118.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP128,LTMD-CN5-G2014,2014,128,760933,https://historico.conaliteg.gob.mx/c/H2014P5CNA/128.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP130,LTMD-CN5-G2014,2014,130,247274,https://historico.conaliteg.gob.mx/c/H2014P5CNA/130.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP157,LTMD-CN5-G2014,2014,157,17405,https://historico.conaliteg.gob.mx/c/H2014P5CNA/157.jpg,no_text_detected,pending
LTMD-CN5-G2014-VP161,LTMD-CN5-G2014,2014,161,626532,https://historico.conaliteg.gob.mx/c/H2014P5CNA/161.jpg,no_text_detected,pending
