domain,category,initial_generation,final_generation,stratum,specification,n_initial,n_final,initial_rate,final_rate,difference_pp,prevalence_ratio,direction,directionally_robust,method_sensitive_direction,comparison_version
action,measure,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1972,1988,certain_nonheading,B,15,7,0.2,0.42857143,22.8571,2.142857,increase,0,0,HISTCOMP_0.1
action,experiment,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1988,1993,certain_nonheading,B,7,15,0.42857143,0.33333333,-9.5238,0.777778,decrease,0,0,HISTCOMP_0.1
action,experiment,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1993,2014,certain_nonheading,B,15,12,0.33333333,0.33333333,0.0,1.0,no_change,0,0,HISTCOMP_0.1
action,experiment,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,experiment,1972,2014,certain_nonheading,B,15,12,0.2,0.33333333,13.3333,1.666667,increase,0,0,HISTCOMP_0.1
action,experiment,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1972,1988,certain_nonheading,B,15,7,0.06666667,0.14285714,7.619,2.142857,increase,0,0,HISTCOMP_0.1
action,investigate,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1988,1993,certain_nonheading,B,7,15,0.14285714,0.06666667,-7.619,0.466667,decrease,0,0,HISTCOMP_0.1
action,investigate,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1993,2014,certain_nonheading,B,15,12,0.06666667,0.08333333,1.6667,1.25,increase,0,0,HISTCOMP_0.1
action,investigate,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,investigate,1972,2014,certain_nonheading,B,15,12,0.06666667,0.08333333,1.6667,1.25,increase,0,0,HISTCOMP_0.1
action,investigate,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1972,1988,certain_nonheading,B,15,7,0.13333333,0.14285714,0.9524,1.071429,increase,0,0,HISTCOMP_0.1
action,predict,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1988,1993,certain_nonheading,B,7,15,0.14285714,0.06666667,-7.619,0.466667,decrease,0,0,HISTCOMP_0.1
action,predict,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1993,2014,certain_nonheading,B,15,12,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
action,predict,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,predict,1972,2014,certain_nonheading,B,15,12,0.13333333,0.0,-13.3333,0.0,decrease,0,0,HISTCOMP_0.1
action,predict,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,infer,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
