page_id,catalog_generation,viewer_page,selected_psm,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,scanner_version
LTMD-CN5-G1988-VP006,1988,6,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP007,1988,7,3,1,0,1,0,0,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP008,1988,8,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP009,1988,9,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP010,1988,10,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP011,1988,11,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP012,1988,12,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP013,1988,13,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP014,1988,14,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP015,1988,15,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP016,1988,16,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP147,1988,147,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP148,1988,148,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP149,1988,149,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP150,1988,150,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP151,1988,151,3,0,1,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1988-VP152,1988,152,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP153,1988,153,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP154,1988,154,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP155,1988,155,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP156,1988,156,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP157,1988,157,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP158,1988,158,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP159,1988,159,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP160,1988,160,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP161,1988,161,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1988-VP162,1988,162,3,0,1,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP001,1993,1,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP002,1993,2,3,1,0,0,0,6,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP003,1993,3,3,1,0,2,4,1,3,STRUCTKW_0.2
LTMD-CN5-G1993-VP004,1993,4,3,1,0,0,3,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP005,1993,5,3,1,0,0,2,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP006,1993,6,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP007,1993,7,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP008,1993,8,3,1,0,0,2,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP009,1993,9,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP010,1993,10,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP011,1993,11,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP012,1993,12,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP013,1993,13,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP014,1993,14,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP015,1993,15,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP016,1993,16,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP163,1993,163,6,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP164,1993,164,3,0,1,0,3,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP165,1993,165,3,0,1,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP166,1993,166,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP167,1993,167,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP168,1993,168,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP169,1993,169,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP170,1993,170,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP171,1993,171,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP172,1993,172,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP173,1993,173,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP174,1993,174,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP175,1993,175,3,0,1,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G1993-VP176,1993,176,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP177,1993,177,11,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G1993-VP178,1993,178,3,0,1,0,0,1,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP001,2014,1,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP002,2014,2,3,1,0,0,0,8,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP003,2014,3,3,1,0,0,2,1,2,STRUCTKW_0.2
LTMD-CN5-G2014-VP004,2014,4,3,1,0,1,3,0,2,STRUCTKW_0.2
LTMD-CN5-G2014-VP005,2014,5,3,1,0,2,3,0,2,STRUCTKW_0.2
LTMD-CN5-G2014-VP006,2014,6,3,1,0,2,3,0,2,STRUCTKW_0.2
LTMD-CN5-G2014-VP007,2014,7,3,1,0,0,2,2,2,STRUCTKW_0.2
LTMD-CN5-G2014-VP008,2014,8,6,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP009,2014,9,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP010,2014,10,6,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP011,2014,11,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP012,2014,12,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP013,2014,13,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP014,2014,14,3,1,0,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP015,2014,15,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP016,2014,16,3,1,0,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP146,2014,146,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP147,2014,147,3,0,1,0,2,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP148,2014,148,3,0,1,0,2,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP149,2014,149,3,0,1,0,2,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP150,2014,150,3,0,1,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP151,2014,151,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP152,2014,152,3,0,1,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP153,2014,153,3,0,1,0,1,0,1,STRUCTKW_0.2
LTMD-CN5-G2014-VP154,2014,154,3,0,1,1,0,1,2,STRUCTKW_0.2
LTMD-CN5-G2014-VP155,2014,155,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP156,2014,156,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP157,2014,157,,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP158,2014,158,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP159,2014,159,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP160,2014,160,3,0,1,0,0,0,0,STRUCTKW_0.2
LTMD-CN5-G2014-VP161,2014,161,6,0,1,0,0,0,0,STRUCTKW_0.2
