validation_id,book_id,catalog_generation,viewer_page,page_id,sample_role,source_asset_url,reference_status,reference_excerpt,reference_word_count,transcriber,reviewer,notes
LTMD-CN5-G1988-VAL07,LTMD-CN5-G1988,1988,78,LTMD-CN5-G1988-VP078,q2_3,https://historico.conaliteg.gob.mx/c/H1988P5CI123/078.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL08,LTMD-CN5-G1988,1988,95,LTMD-CN5-G1988-VP095,q3_1,https://historico.conaliteg.gob.mx/c/H1988P5CI123/095.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL09,LTMD-CN5-G1988,1988,109,LTMD-CN5-G1988-VP109,q3_2,https://historico.conaliteg.gob.mx/c/H1988P5CI123/109.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL10,LTMD-CN5-G1988,1988,119,LTMD-CN5-G1988-VP119,q3_3,https://historico.conaliteg.gob.mx/c/H1988P5CI123/119.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL11,LTMD-CN5-G1988,1988,135,LTMD-CN5-G1988-VP135,q4_1,https://historico.conaliteg.gob.mx/c/H1988P5CI123/135.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1988-VAL12,LTMD-CN5-G1988,1988,155,LTMD-CN5-G1988-VP155,q4_2,https://historico.conaliteg.gob.mx/c/H1988P5CI123/155.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL01,LTMD-CN5-G1993,1993,2,LTMD-CN5-G1993-VP002,legal,https://historico.conaliteg.gob.mx/c/H1993P5CI200/002.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL02,LTMD-CN5-G1993,1993,3,LTMD-CN5-G1993-VP003,toc,https://historico.conaliteg.gob.mx/c/H1993P5CI200/003.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL03,LTMD-CN5-G1993,1993,18,LTMD-CN5-G1993-VP018,q1_1,https://historico.conaliteg.gob.mx/c/H1993P5CI200/018.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL04,LTMD-CN5-G1993,1993,36,LTMD-CN5-G1993-VP036,q1_2,https://historico.conaliteg.gob.mx/c/H1993P5CI200/036.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL05,LTMD-CN5-G1993,1993,59,LTMD-CN5-G1993-VP059,q2_1,https://historico.conaliteg.gob.mx/c/H1993P5CI200/059.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL06,LTMD-CN5-G1993,1993,75,LTMD-CN5-G1993-VP075,q2_2,https://historico.conaliteg.gob.mx/c/H1993P5CI200/075.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL07,LTMD-CN5-G1993,1993,86,LTMD-CN5-G1993-VP086,q2_3,https://historico.conaliteg.gob.mx/c/H1993P5CI200/086.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL08,LTMD-CN5-G1993,1993,104,LTMD-CN5-G1993-VP104,q3_1,https://historico.conaliteg.gob.mx/c/H1993P5CI200/104.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL09,LTMD-CN5-G1993,1993,120,LTMD-CN5-G1993-VP120,q3_2,https://historico.conaliteg.gob.mx/c/H1993P5CI200/120.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL10,LTMD-CN5-G1993,1993,131,LTMD-CN5-G1993-VP131,q3_3,https://historico.conaliteg.gob.mx/c/H1993P5CI200/131.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL11,LTMD-CN5-G1993,1993,149,LTMD-CN5-G1993-VP149,q4_1,https://historico.conaliteg.gob.mx/c/H1993P5CI200/149.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G1993-VAL12,LTMD-CN5-G1993,1993,170,LTMD-CN5-G1993-VP170,q4_2,https://historico.conaliteg.gob.mx/c/H1993P5CI200/170.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL01,LTMD-CN5-G2014,2014,2,LTMD-CN5-G2014-VP002,legal,https://historico.conaliteg.gob.mx/c/H2014P5CNA/002.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL02,LTMD-CN5-G2014,2014,4,LTMD-CN5-G2014-VP004,toc,https://historico.conaliteg.gob.mx/c/H2014P5CNA/004.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL03,LTMD-CN5-G2014,2014,16,LTMD-CN5-G2014-VP016,q1_1,https://historico.conaliteg.gob.mx/c/H2014P5CNA/016.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL04,LTMD-CN5-G2014,2014,32,LTMD-CN5-G2014-VP032,q1_2,https://historico.conaliteg.gob.mx/c/H2014P5CNA/032.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL05,LTMD-CN5-G2014,2014,53,LTMD-CN5-G2014-VP053,q2_1,https://historico.conaliteg.gob.mx/c/H2014P5CNA/053.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL06,LTMD-CN5-G2014,2014,68,LTMD-CN5-G2014-VP068,q2_2,https://historico.conaliteg.gob.mx/c/H2014P5CNA/068.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL07,LTMD-CN5-G2014,2014,78,LTMD-CN5-G2014-VP078,q2_3,https://historico.conaliteg.gob.mx/c/H2014P5CNA/078.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL08,LTMD-CN5-G2014,2014,94,LTMD-CN5-G2014-VP094,q3_1,https://historico.conaliteg.gob.mx/c/H2014P5CNA/094.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL09,LTMD-CN5-G2014,2014,109,LTMD-CN5-G2014-VP109,q3_2,https://historico.conaliteg.gob.mx/c/H2014P5CNA/109.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL10,LTMD-CN5-G2014,2014,118,LTMD-CN5-G2014-VP118,q3_3,https://historico.conaliteg.gob.mx/c/H2014P5CNA/118.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL11,LTMD-CN5-G2014,2014,134,LTMD-CN5-G2014-VP134,q4_1,https://historico.conaliteg.gob.mx/c/H2014P5CNA/134.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
LTMD-CN5-G2014-VAL12,LTMD-CN5-G2014,2014,154,LTMD-CN5-G2014-VP154,q4_2,https://historico.conaliteg.gob.mx/c/H2014P5CNA/154.jpg,pending_manual,,,,,"Transcribir una muestra textual suficiente y verificarla manualmente; no publicar el texto de referencia mientras permanezca el semáforo amarillo."
