catalog_entry_id,cycle,level,grade,viewer_key,source_object_id,shared_viewer,cataloged_state,reader_shell_state,asset_resolution_state,page_count_state,page_count,source_admission_state,text_access_observation_state,embedded_text_sample_state,ocr_available_state,text_verified_state,semantic_ready_state
CONALITEG-2026-PRIMARIA-G4-P4PEA,2026-2027,primaria,4,P4PEA,CONALITEG:2026:primaria:P4PEA,no,cataloged,resolved,resolved_pdf,observed,363,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G4-P4SDA,2026-2027,primaria,4,P4SDA,CONALITEG:2026:primaria:P4SDA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G5-P5LPM,2026-2027,primaria,5,P5LPM,CONALITEG:2026:primaria:P5LPM,yes,cataloged,resolved,resolved_pdf,observed,99,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G5-P5MLA,2026-2027,primaria,5,P5MLA,CONALITEG:2026:primaria:P5MLA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G5-P5PAA,2026-2027,primaria,5,P5PAA,CONALITEG:2026:primaria:P5PAA,no,cataloged,resolved,resolved_pdf,observed,371,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G5-P5PCA,2026-2027,primaria,5,P5PCA,CONALITEG:2026:primaria:P5PCA,no,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G5-P5PEA,2026-2027,primaria,5,P5PEA,CONALITEG:2026:primaria:P5PEA,no,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G5-P5SDA,2026-2027,primaria,5,P5SDA,CONALITEG:2026:primaria:P5SDA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G6-P5LPM,2026-2027,primaria,6,P5LPM,CONALITEG:2026:primaria:P5LPM,yes,cataloged,resolved,resolved_pdf,observed,99,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G6-P6MLA,2026-2027,primaria,6,P6MLA,CONALITEG:2026:primaria:P6MLA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G6-P6PAA,2026-2027,primaria,6,P6PAA,CONALITEG:2026:primaria:P6PAA,no,cataloged,resolved,resolved_pdf,observed,371,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G6-P6PCA,2026-2027,primaria,6,P6PCA,CONALITEG:2026:primaria:P6PCA,no,cataloged,resolved,resolved_pdf,observed,347,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G6-P6PEA,2026-2027,primaria,6,P6PEA,CONALITEG:2026:primaria:P6PEA,no,cataloged,resolved,resolved_pdf,observed,371,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
CONALITEG-2026-PRIMARIA-G6-P6SDA,2026-2027,primaria,6,P6SDA,CONALITEG:2026:primaria:P6SDA,no,cataloged,resolved,resolved_pdf,observed,259,admitted_full_body_verified,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,not_assessed
