readiness_version,book_id,viewer_key,catalog_generation,grade,viewer_positions_declared,asset_readiness,asset_strategy,alias_to_book_id,resolved_source_assets,terminal_synthetic,internal_unserved_positions,source_url,notes
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G1988,H1988P3CI129,1988,3,179,full_direct,direct_sha256_manifest,,178,1,0,https://historico.conaliteg.gob.mx/H1988P3CI129.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G1988,H1988P4CI119,1988,4,215,full_direct,existing_pilot_or_cn46_manifest,,214,1,0,https://historico.conaliteg.gob.mx/H1988P4CI119.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G1988,H1988P5CI123,1988,5,163,full_direct,existing_pilot_or_cn46_manifest,,162,1,0,https://historico.conaliteg.gob.mx/H1988P5CI123.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G1988,H1988P6CI128,1988,6,243,full_direct,existing_pilot_or_cn46_manifest,,242,1,0,https://historico.conaliteg.gob.mx/H1988P6CI128.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G1993,H1993P3CI153,1993,3,179,full_direct,direct_sha256_manifest,,178,1,0,https://historico.conaliteg.gob.mx/H1993P3CI153.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G1993,H1993P4CI191,1993,4,179,full_direct,existing_pilot_or_cn46_manifest,,178,1,0,https://historico.conaliteg.gob.mx/H1993P4CI191.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G1993,H1993P5CI200,1993,5,179,full_direct,existing_pilot_or_cn46_manifest,,178,1,0,https://historico.conaliteg.gob.mx/H1993P5CI200.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,243,full_direct,existing_pilot_or_cn46_manifest,,242,1,0,https://historico.conaliteg.gob.mx/H1993P6CI210.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G2008,H2008P3CI263,2008,3,178,partial_internal_unserved,direct_manifest_plus_focused_gap_audit,,177,0,1,https://historico.conaliteg.gob.mx/H2008P3CI263.htm,1 internal public asset position(s) repeatedly unserved while immediate neighbours reproduce persisted SHA-256.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G2008,H2008P4CI268,2008,4,177,partial_internal_unserved,direct_manifest_plus_focused_gap_audit,,175,0,2,https://historico.conaliteg.gob.mx/H2008P4CI268.htm,2 internal public asset position(s) repeatedly unserved while immediate neighbours reproduce persisted SHA-256.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G2008,H2008P5CI277,2008,5,163,full_direct,direct_sha256_manifest,,162,1,0,https://historico.conaliteg.gob.mx/H2008P5CI277.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G2011,H2011P3CI307,2011,3,154,full_direct,direct_sha256_manifest,,153,1,0,https://historico.conaliteg.gob.mx/H2011P3CI307.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G2011,H2011P4CI314,2011,4,162,full_direct,direct_sha256_manifest,,161,1,0,https://historico.conaliteg.gob.mx/H2011P4CI314.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G2011,H2011P5CI325,2011,5,162,full_direct,direct_sha256_manifest,,161,1,0,https://historico.conaliteg.gob.mx/H2011P5CI325.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G2011,H2011P6CI335,2011,6,178,full_direct,direct_sha256_manifest,,177,1,0,https://historico.conaliteg.gob.mx/H2011P6CI335.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G2014,H2014P3CNA,2014,3,154,full_direct,direct_sha256_manifest,,153,1,0,https://historico.conaliteg.gob.mx/H2014P3CNA.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,162,full_direct,existing_pilot_or_cn46_manifest,,161,1,0,https://historico.conaliteg.gob.mx/H2014P4CNA.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G2014,H2014P5CNA,2014,5,162,full_direct,existing_pilot_or_cn46_manifest,,161,1,0,https://historico.conaliteg.gob.mx/H2014P5CNA.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,178,full_direct,existing_pilot_or_cn46_manifest,,177,1,0,https://historico.conaliteg.gob.mx/H2014P6CNA.htm,Existing audited corpus layer; source asset manifest already established.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G2018,H2018P3CNA,2018,3,154,full_alias_same_bytes,paired_2019_asset_alias_sha256_verified,LTMD-CN3-G2019,153,1,0,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,Distinct catalog entry; all served content bytes are identical to paired 2019 assets.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G2018,H2018P4CNA,2018,4,162,full_alias_same_bytes,paired_2019_asset_alias_sha256_verified,LTMD-CN4-G2019,161,1,0,https://historico.conaliteg.gob.mx/H2018P4CNA.htm,Distinct catalog entry; all served content bytes are identical to paired 2019 assets.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G2018,H2018P5CNA,2018,5,162,full_alias_same_bytes,paired_2019_asset_alias_sha256_verified,LTMD-CN5-G2019,161,1,0,https://historico.conaliteg.gob.mx/H2018P5CNA.htm,Distinct catalog entry; all served content bytes are identical to paired 2019 assets.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G2018,H2018P6CNA,2018,6,178,full_alias_same_bytes,paired_2019_asset_alias_sha256_verified,LTMD-CN6-G2019,177,1,0,https://historico.conaliteg.gob.mx/H2018P6CNA.htm,Distinct catalog entry; all served content bytes are identical to paired 2019 assets.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN3-G2019,H2019P3CNA,2019,3,154,full_direct,direct_sha256_manifest,,153,1,0,https://historico.conaliteg.gob.mx/H2019P3CNA.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN4-G2019,H2019P4CNA,2019,4,162,full_direct,direct_sha256_manifest,,161,1,0,https://historico.conaliteg.gob.mx/H2019P4CNA.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN5-G2019,H2019P5CNA,2019,5,162,full_direct,direct_sha256_manifest,,161,1,0,https://historico.conaliteg.gob.mx/H2019P5CNA.htm,All source assets directly verified; any final synthetic position explicitly recorded.
CN_FAMILY_ASSET_READINESS_0.1,LTMD-CN6-G2019,H2019P6CNA,2019,6,178,full_direct,direct_sha256_manifest,,177,1,0,https://historico.conaliteg.gob.mx/H2019P6CNA.htm,All source assets directly verified; any final synthetic position explicitly recorded.
