ocr_version,page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,source_image_index,processing_mode,source_provenance,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P037,H2008P1ED252,2008,1,EDUCACION FISICA,37,37,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,294845,1,psm3:ok:36,3,36,166,86.29,95.92,0.0833,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P038,H2008P1ED252,2008,1,EDUCACION FISICA,38,38,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,291835,1,psm3:ok:60,3,60,283,80.59,96.58,0.2000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P039,H2008P1ED252,2008,1,EDUCACION FISICA,39,39,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,315620,1,psm3:ok:17,3,17,78,95.82,96.76,0.0000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P040,H2008P1ED252,2008,1,EDUCACION FISICA,40,40,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,286838,1,psm3:ok:48,3,48,209,87.35,96.53,0.1250,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P041,H2008P1ED252,2008,1,EDUCACION FISICA,41,41,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,264763,1,psm3:ok:72,3,72,345,94.46,96.78,0.0278,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P042,H2008P1ED252,2008,1,EDUCACION FISICA,42,42,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,335237,1,psm3:ok:81,3,81,327,86.55,96.50,0.1358,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P043,H2008P1ED252,2008,1,EDUCACION FISICA,43,43,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,278504,1,psm3:ok:53,3,53,261,93.79,96.56,0.0189,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P044,H2008P1ED252,2008,1,EDUCACION FISICA,44,44,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,309996,1,psm3:ok:72,3,72,346,92.30,96.69,0.0556,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P045,H2008P1ED252,2008,1,EDUCACION FISICA,45,45,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,237000,1,psm3:ok:53,3,53,266,94.76,96.77,0.0189,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P046,H2008P1ED252,2008,1,EDUCACION FISICA,46,46,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,304050,1,psm3:ok:70,3,70,332,88.50,96.59,0.1000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P047,H2008P1ED252,2008,1,EDUCACION FISICA,47,47,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,253584,1,psm3:ok:58,3,58,276,95.74,96.72,0.0172,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P048,H2008P1ED252,2008,1,EDUCACION FISICA,48,48,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,376810,1,psm3:ok:101,3,101,490,91.04,96.74,0.0693,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P049,H2008P1ED252,2008,1,EDUCACION FISICA,49,49,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,326075,1,psm3:ok:135,3,135,667,94.05,96.70,0.0296,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P050,H2008P1ED252,2008,1,EDUCACION FISICA,50,50,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,284357,1,psm3:ok:0;psm11:ok:12;psm6:ok:24,6,24,7888,30.40,32.56,0.8750,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P051,H2008P1ED252,2008,1,EDUCACION FISICA,51,51,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,260529,1,psm3:ok:44,3,44,218,95.80,96.77,0.0000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P052,H2008P1ED252,2008,1,EDUCACION FISICA,52,52,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,258883,1,psm3:ok:9,3,9,4034,58.11,37.75,0.5556,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P053,H2008P1ED252,2008,1,EDUCACION FISICA,53,53,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,266666,1,psm3:ok:32,3,32,160,74.81,95.78,0.3125,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P054,H2008P1ED252,2008,1,EDUCACION FISICA,54,54,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,287327,1,psm3:ok:28,3,28,108,76.96,94.86,0.2143,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P055,H2008P1ED252,2008,1,EDUCACION FISICA,55,55,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,277783,1,psm3:ok:31,3,31,149,94.56,96.87,0.0323,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P056,H2008P1ED252,2008,1,EDUCACION FISICA,56,56,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,337125,1,psm3:ok:220,3,220,922,94.16,96.71,0.0182,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P057,H2008P1ED252,2008,1,EDUCACION FISICA,57,57,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,253156,1,psm3:ok:45,3,45,247,95.02,96.83,0.0000,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P058,H2008P1ED252,2008,1,EDUCACION FISICA,58,58,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,278823,1,psm3:ok:67,3,67,275,82.37,96.58,0.1940,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P059,H2008P1ED252,2008,1,EDUCACION FISICA,59,59,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,217523,1,psm3:ok:58,3,58,260,93.58,96.57,0.0345,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P060,H2008P1ED252,2008,1,EDUCACION FISICA,60,60,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,323197,1,psm3:ok:145,3,145,634,91.61,96.59,0.0759,text_detected,ok,
LTMD_U1_W9_EDUCACION_FISICA_OCR_0.1,U1-H2008P1ED252-P061,H2008P1ED252,2008,1,EDUCACION FISICA,61,61,direct_canonical,official_conaliteg_source_jpeg_sha256_verified,250798,1,psm3:ok:51,3,51,256,94.96,96.85,0.0196,text_detected,ok,
