topology_version,viewer_key,catalog_generation,grade_code,title_core,technical_identity_covered,is_canonical_processing_object,canonical_processing_viewer_key,processing_mode,declared_positions,direct_source_pages_for_processing,recovered_source_pages_for_processing,terminal_synthetic_candidates,original_internal_unserved,persistent_source_gaps
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2008P4GE273,2008,4,GEOGRAFÍA,1,1,H2008P4GE273,direct_canonical_reconciled_gap,161,159,2,0,2,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2008P4GE274,2008,4,ATLAS DE MÉXICO,1,1,H2008P4GE274,direct_canonical,131,130,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2008P5GE282,2008,5,GEOGRAFÍA,1,1,H2008P5GE282,direct_canonical,211,210,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2008P5GE283,2008,5,ATLAS DE GEPGRAFÍA UNIVERSAL,1,1,H2008P5GE283,direct_canonical,91,90,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2008P6GE289,2008,6,GEOGRAFÍA,1,1,H2008P6GE289,direct_canonical,163,162,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321,2011,4,GEOGRAFÍA,1,1,H2011P4GE321,direct_canonical,202,201,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE322,2011,4,ATLAS DE MÉXICO,1,1,H2011P4GE322,direct_canonical,130,129,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P5GE331,2011,5,GEOGRAFÍA,1,1,H2011P5GE331,direct_canonical,202,201,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P5GE332,2011,5,ATLAS DE GEOGRAFÍA UNIVERSAL,1,1,H2011P5GE332,direct_canonical,122,121,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P6GE341,2011,6,GEOGRAFÍA,1,1,H2011P6GE341,direct_canonical,202,201,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2014P4AMA,2014,4,Atlas de México,1,1,H2014P4AMA,direct_canonical,130,129,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2014P4GEA,2014,4,Geografía,1,1,H2014P4GEA,direct_canonical,202,201,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2014P5AGA,2014,5,Atlas de geografía del mundo,1,1,H2014P5AGA,direct_canonical,122,121,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2014P5GEA,2014,5,Geografía,1,1,H2014P5GEA,direct_canonical,210,209,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2014P6GEA,2014,6,Geografía,1,1,H2014P6GEA,direct_canonical,202,201,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2018P4AMA,2018,4,Atlas de México,1,0,H2019P4AMA,route_alias_to_2019,130,0,0,1,129,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2018P4GEA,2018,4,Geografía,1,0,H2019P4GEA,route_alias_to_2019,202,0,0,1,201,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2018P5AGA,2018,5,Atlas de geografía del mundo,1,0,H2019P5AGA,route_alias_to_2019,122,0,0,1,121,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2018P5GEA,2018,5,Geografía,1,0,H2019P5GEA,route_alias_to_2019,210,0,0,1,209,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2018P6GEA,2018,6,Geografía,1,0,H2019P6GEA,route_alias_to_2019,202,0,0,1,201,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2019P4AMA,2019,4,Atlas de México,1,1,H2019P4AMA,direct_canonical,130,129,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2019P4GEA,2019,4,Geografía,1,1,H2019P4GEA,direct_canonical,202,201,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2019P5AGA,2019,5,Atlas de geografía del mundo,1,1,H2019P5AGA,direct_canonical,122,121,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2019P5GEA,2019,5,Geografía,1,1,H2019P5GEA,direct_canonical,210,209,0,1,0,0
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2019P6GEA,2019,6,Geografía,1,1,H2019P6GEA,direct_canonical,202,201,0,1,0,0
