inventory_version,viewer_key,catalog_generation,grade_code,title_core,viewer_title,audit_status,corpus_status
CN_FAMILY_INVENTORY_0.1,H1988P5CI123,1988,5,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 5° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1988P6CI128,1988,6,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 6° Generación 1988 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1993P3CI153,1993,3,Ciencias Naturales,Ciencias Naturales Grado 3° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H1993P4CI191,1993,4,Ciencias Naturales,Ciencias Naturales Grado 4° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1993P5CI200,1993,5,Ciencias Naturales,Ciencias Naturales Grado 5° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H1993P6CI210,1993,6,Ciencias Naturales,Ciencias Naturales Grado 6° Generación 1993 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H2008P3CI263,2008,3,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 3° Generación 2008 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2008P4CI268,2008,4,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 4° Generación 2008 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2008P5CI277,2008,5,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 5° Generación 2008 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2011P3CI307,2011,3,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 3° Generación 2011 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2011P4CI314,2011,4,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 4° Generación 2011 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2011P5CI325,2011,5,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 5° Generación 2011 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2011P6CI335,2011,6,CIENCIAS NATURALES,CIENCIAS NATURALES Grado 6° Generación 2011 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2014P3CNA,2014,3,Ciencias Naturales,Ciencias Naturales Grado 3° Generación 2014 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2014P4CNA,2014,4,Ciencias Naturales,Ciencias Naturales Grado 4° Generación 2014 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H2014P5CNA,2014,5,Ciencias Naturales,Ciencias Naturales Grado 5° Generación 2014 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H2014P6CNA,2014,6,Ciencias Naturales,Ciencias Naturales Grado 6° Generación 2014 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,pilot_or_expansion_audited
CN_FAMILY_INVENTORY_0.1,H2018P3CNA,2018,3,Ciencias Naturales,Ciencias Naturales.. Grado 3° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2018P4CNA,2018,4,Ciencias Naturales,Ciencias Naturales.. Grado 4° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2018P5CNA,2018,5,Ciencias Naturales,Ciencias Naturales.. Grado 5° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2018P6CNA,2018,6,Ciencias Naturales,Ciencias Naturales.. Grado 6° Generación 2018 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2019P3CNA,2019,3,Ciencias Naturales,Ciencias Naturales Grado 3° Generación 2019 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2019P4CNA,2019,4,Ciencias Naturales,Ciencias Naturales Grado 4° Generación 2019 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2019P5CNA,2019,5,Ciencias Naturales,Ciencias Naturales Grado 5° Generación 2019 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
CN_FAMILY_INVENTORY_0.1,H2019P6CNA,2019,6,Ciencias Naturales,Ciencias Naturales Grado 6° Generación 2019 .: Comisión Nacional de Libros de Texto Gratuitos :.,catalog_title_verified,not_yet_audited
