segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P1LEA,646,124,2,0,0,86,29,0,56,473
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P2ESA,2339,231,16,2,8,121,306,0,390,1496
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P2ESM,3929,264,257,40,30,617,1088,0,273,1624
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P2LEA,620,123,0,0,0,101,42,0,62,415
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P3ESA,2235,146,89,9,21,262,551,11,310,982
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P3LEA,1054,130,1,0,0,182,61,0,89,721
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P4ESA,1937,141,47,19,8,249,355,0,260,999
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P4LEA,1409,137,2,0,1,321,77,0,123,885
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P5ESA,2534,157,72,24,15,328,485,4,283,1323
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P5LEA,1874,142,2,0,0,368,109,0,194,1201
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P6ESA,2784,166,58,17,6,375,484,8,389,1447
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2014P6LEA,1778,149,1,0,2,423,149,0,206,997
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2018P1ESA,2178,187,23,4,3,187,327,9,228,1397
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2018P1ESM,5491,157,389,58,66,672,1113,113,741,2339
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2018P1LEA,679,109,2,0,0,60,22,0,63,532
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2018P2ESA,2478,202,116,5,11,194,338,8,351,1455
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2018P2ESM,4848,155,346,44,69,699,1036,93,611,1950
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2018P2LEA,892,127,1,0,0,134,21,0,74,662
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P1ESA,2142,185,24,4,3,193,326,9,228,1355
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P1ESM,5440,157,384,56,66,670,1106,107,746,2305
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P1LEA,614,106,2,0,0,57,22,0,58,475
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P2ESA,2406,200,115,4,11,198,329,8,350,1391
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P2ESM,4713,156,346,44,66,693,1010,89,606,1859
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P2LEA,920,128,1,0,0,129,21,0,76,693
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P3ESA,2270,145,87,7,19,268,559,11,309,1010
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P3LEA,1005,124,0,0,0,164,61,0,88,692
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P4ESA,1879,141,45,17,8,238,351,0,258,962
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P4LEA,1383,138,2,0,1,325,74,0,122,859
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P5ESA,2408,157,72,23,14,327,479,4,273,1216
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P5LEA,1885,143,2,0,0,364,107,0,191,1221
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P6ESA,2732,167,56,17,6,353,474,8,384,1434
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,H2019P6LEA,1751,148,1,0,1,422,147,0,191,989
FRAGSEG_LTMD_U1_W3_SPANISH_0.1,ALL,222490,17337,4205,605,795,31149,30694,1354,26322,127366
