ocr_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,persistent_internal_source_gaps,pages,sha_verified,text_detected,no_text_detected,unresolved,recognized_words,ocr_chars
LTMD_U1_W3_SPANISH_OCR_0.1,H2011P4ES319,2011,4,ESPAÑOL,direct_canonical,0,161,161,161,0,0,25056,185674
LTMD_U1_W3_SPANISH_OCR_0.1,H2011P4ES320,2011,4,ESPAÑOL LECTURAS,direct_canonical,0,185,185,183,2,0,32526,162253
LTMD_U1_W3_SPANISH_OCR_0.1,H2011P5ES329,2011,5,ESPAÑOL,direct_canonical,0,177,177,177,0,0,35822,230185
LTMD_U1_W3_SPANISH_OCR_0.1,H2011P5ES330,2011,5,ESPAÑOL LECTURAS,direct_canonical,0,185,185,184,1,0,41137,236367
LTMD_U1_W3_SPANISH_OCR_0.1,H2011P6ES339,2011,6,ESPAÑOL,direct_canonical,0,185,185,184,1,0,32213,233478
LTMD_U1_W3_SPANISH_OCR_0.1,H2011P6ES340,2011,6,ESPAÑOL LECTURAS,direct_canonical,0,209,209,207,2,0,46219,262279
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P1ESA,2014,1,Español. Libro para el alumno,direct_canonical,0,233,233,220,13,0,12799,72153
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P1ESM,2014,1,Español. Libro para el maestro,direct_canonical,0,281,281,277,4,0,63015,333833
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P1LEA,2014,1,Español. Libro de lectura,direct_canonical,0,161,161,160,1,0,7901,38411
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P2ESA,2014,2,Español. Libro para el alumno,partial_canonical_explicit_gap,1,256,256,253,3,0,17678,84348
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P2ESM,2014,2,Español. Libro para el maestro,direct_canonical,0,289,289,283,6,0,65458,385727
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P2LEA,2014,2,Español. Libro de lectura,direct_canonical,0,161,161,161,0,0,8944,55215
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P3ESA,2014,3,Español,direct_canonical,0,161,161,161,0,0,29154,154700
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P3LEA,2014,3,Español. Libro de lectura,direct_canonical,0,161,161,159,2,0,13818,74616
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P4ESA,2014,4,Español,direct_canonical,0,161,161,161,0,0,24291,140599
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P4LEA,2014,4,Español. Libro de lectura,direct_canonical,0,161,161,158,3,0,21219,98556
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P5ESA,2014,5,Español,direct_canonical,0,177,177,177,0,0,33168,214693
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P5LEA,2014,5,Español. Libro de lectura,direct_canonical,0,161,161,160,1,0,26366,155127
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P6ESA,2014,6,Español,direct_canonical,0,185,185,184,1,0,31934,241615
LTMD_U1_W3_SPANISH_OCR_0.1,H2014P6LEA,2014,6,Español. Libro de lectura,direct_canonical,0,161,161,159,2,0,30085,160878
LTMD_U1_W3_SPANISH_OCR_0.1,H2018P1ESA,2018,1,Lengua materna. Español,direct_canonical,0,225,225,225,0,0,19493,104074
LTMD_U1_W3_SPANISH_OCR_0.1,H2018P1ESM,2018,1,Lengua materna. Español. Docente,direct_canonical,0,177,177,175,2,0,74143,432641
LTMD_U1_W3_SPANISH_OCR_0.1,H2018P1LEA,2018,1,Lengua materna. Español lecturas,direct_canonical,0,129,129,129,0,0,7543,35226
LTMD_U1_W3_SPANISH_OCR_0.1,H2018P2ESA,2018,2,Lengua materna. Español,direct_canonical,0,225,225,221,4,0,19446,130803
LTMD_U1_W3_SPANISH_OCR_0.1,H2018P2ESM,2018,2,Lengua materna. Español. Docente,direct_canonical,0,177,177,174,3,0,73467,417028
LTMD_U1_W3_SPANISH_OCR_0.1,H2018P2LEA,2018,2,Lengua materna. Español lecturas,direct_canonical,0,145,145,145,0,0,10743,85390
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P1ESA,2019,1,Lengua materna. Español,direct_canonical,0,225,225,225,0,0,19511,101060
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P1ESM,2019,1,Lengua materna. Español. Docente,direct_canonical,0,177,177,175,2,0,71487,532097
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P1LEA,2019,1,Lengua materna. Español lecturas,direct_canonical,0,129,129,129,0,0,7481,41019
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P2ESA,2019,2,Lengua materna. Español,direct_canonical,0,225,225,221,4,0,19423,136383
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P2ESM,2019,2,Lengua materna. Español. Docente,direct_canonical,0,177,177,174,3,0,72889,428568
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P2LEA,2019,2,Lengua materna. Español lecturas,direct_canonical,0,145,145,145,0,0,10766,72620
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P3ESA,2019,3,Español,direct_canonical,0,161,161,161,0,0,28399,177905
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P3LEA,2019,3,Español. Libro de lectura,direct_canonical,0,161,161,159,2,0,13348,79191
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P4ESA,2019,4,Español,direct_canonical,0,161,161,161,0,0,23047,161402
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P4LEA,2019,4,Español. Libro de lectura,direct_canonical,0,161,161,158,3,0,21012,98836
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P5ESA,2019,5,Español,direct_canonical,0,177,177,176,1,0,32517,212553
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P5LEA,2019,5,Español. Libro de lectura,direct_canonical,0,161,161,161,0,0,25948,151554
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P6ESA,2019,6,Español,direct_canonical,0,185,185,184,1,0,31308,230022
LTMD_U1_W3_SPANISH_OCR_0.1,H2019P6LEA,2019,6,Español. Libro de lectura,direct_canonical,0,161,161,160,1,0,29458,165228
