source_object_id,source,source_cycle,cycle_label,level,viewer_key,title,publisher,viewer_url,catalog_entry_count,catalog_grades,public_repo_status,source_checked
CONALITEG:2026:primaria:P2MLA,CONALITEG,2026,2026-2027,primaria,P2MLA,Múltiples lenguajes. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2MLA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P2PAA,CONALITEG,2026,2026-2027,primaria,P2PAA,Proyectos de Aula. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2PAA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P2PCA,CONALITEG,2026,2026-2027,primaria,P2PCA,Proyectos Comunitarios. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2PCA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P2PEA,CONALITEG,2026,2026-2027,primaria,P2PEA,Proyectos Escolares. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2PEA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P2SDA,CONALITEG,2026,2026-2027,primaria,P2SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Segundo grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2SDA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P2TNA,CONALITEG,2026,2026-2027,primaria,P2TNA,Múltiples lenguajes. Trazos y números. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2TNA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P2TPA,CONALITEG,2026,2026-2027,primaria,P2TPA,Múltiples lenguajes. Trazos y palabras. Segundo grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P2TPA&nivel=primaria,1,2,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P3LPM,CONALITEG,2026,2026-2027,primaria,P3LPM,"Un libro sin recetas, para la maestra y el maestro. Fase 4",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P3LPM&nivel=primaria,2,3|4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P3MLA,CONALITEG,2026,2026-2027,primaria,P3MLA,Múltiples lenguajes. Tercer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P3MLA&nivel=primaria,1,3,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P3PAA,CONALITEG,2026,2026-2027,primaria,P3PAA,Proyectos de Aula. Tercer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P3PAA&nivel=primaria,1,3,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P3PCA,CONALITEG,2026,2026-2027,primaria,P3PCA,Proyectos Comunitarios. Tercer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P3PCA&nivel=primaria,1,3,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P3PEA,CONALITEG,2026,2026-2027,primaria,P3PEA,Proyectos Escolares. Tercer grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P3PEA&nivel=primaria,1,3,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P3SDA,CONALITEG,2026,2026-2027,primaria,P3SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Tercer grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P3SDA&nivel=primaria,1,3,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P4MLA,CONALITEG,2026,2026-2027,primaria,P4MLA,Múltiples lenguajes. Cuarto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P4MLA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P4PAA,CONALITEG,2026,2026-2027,primaria,P4PAA,Proyectos de Aula. Cuarto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P4PAA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P4PCA,CONALITEG,2026,2026-2027,primaria,P4PCA,Proyectos Comunitarios. Cuarto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P4PCA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P4PEA,CONALITEG,2026,2026-2027,primaria,P4PEA,Proyectos Escolares. Cuarto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P4PEA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P4SDA,CONALITEG,2026,2026-2027,primaria,P4SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Cuarto grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P4SDA&nivel=primaria,1,4,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P5LPM,CONALITEG,2026,2026-2027,primaria,P5LPM,"Un libro sin recetas, para la maestra y el maestro. Fase 5",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P5LPM&nivel=primaria,2,5|6,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P5MLA,CONALITEG,2026,2026-2027,primaria,P5MLA,Múltiples lenguajes. Quinto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P5MLA&nivel=primaria,1,5,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P5PAA,CONALITEG,2026,2026-2027,primaria,P5PAA,Proyectos de Aula. Quinto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P5PAA&nivel=primaria,1,5,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P5PCA,CONALITEG,2026,2026-2027,primaria,P5PCA,Proyectos Comunitarios. Quinto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P5PCA&nivel=primaria,1,5,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P5PEA,CONALITEG,2026,2026-2027,primaria,P5PEA,Proyectos Escolares. Quinto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P5PEA&nivel=primaria,1,5,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P5SDA,CONALITEG,2026,2026-2027,primaria,P5SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Quinto grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P5SDA&nivel=primaria,1,5,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P6MLA,CONALITEG,2026,2026-2027,primaria,P6MLA,Múltiples lenguajes. Sexto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P6MLA&nivel=primaria,1,6,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P6PAA,CONALITEG,2026,2026-2027,primaria,P6PAA,Proyectos de Aula. Sexto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P6PAA&nivel=primaria,1,6,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P6PCA,CONALITEG,2026,2026-2027,primaria,P6PCA,Proyectos Comunitarios. Sexto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P6PCA&nivel=primaria,1,6,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P6PEA,CONALITEG,2026,2026-2027,primaria,P6PEA,Proyectos Escolares. Sexto grado,SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P6PEA&nivel=primaria,1,6,catalog_metadata_only,2026-08-31
CONALITEG:2026:primaria:P6SDA,CONALITEG,2026,2026-2027,primaria,P6SDA,"Nuestros saberes: Libro para alumnos, maestros y familia. Sexto grado",SEP,https://libros.conaliteg.gob.mx/pdf-reader/reader.html?ciclo=2026&clave=P6SDA&nivel=primaria,1,6,catalog_metadata_only,2026-08-31
