anomaly_version,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_positions,source_image_index,source_asset_url,probe_state,http_status,asset_status,is_final_declared_position,attempts,error
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI157/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI158,1993,3,Baja California. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI158/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,161,161,161,https://historico.conaliteg.gob.mx/c/H1993P3HI159/161.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI160,1993,3,Campeche. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI160/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI161/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI162/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI163/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI164/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI165,1993,3,Colima. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI165/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI166,1993,3,Durango. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI166/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI167/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI168,1993,3,Guerrero. Historia y Geografía,161,161,161,https://historico.conaliteg.gob.mx/c/H1993P3HI168/161.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI169,1993,3,Hidalgo. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI169/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI170,1993,3,Jalisco. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI170/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI171,1993,3,México. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI171/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI172,1993,3,Michoacán. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI172/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI173,1993,3,Morelos. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI173/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI174/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
LTMD_U1_W10_SOURCE_ANOMALIES_0.1,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,163,163,163,https://historico.conaliteg.gob.mx/c/H1993P3HI175/163.jpg,http_404,404,terminal_synthetic_candidate,1,1,HTTP 404
