audit_version,viewer_key,book_id,catalog_generation,grade_code,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2011P5MA334,U1-H2011P5MA334,2011,5,194,193,1,0,0,76224227,193,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2011P6MA343,U1-H2011P6MA343,2011,6,194,193,1,0,0,85323764,193,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P1DMA,U1-H2014P1DMA,2014,1,146,145,1,0,0,57773797,145,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P1DMM,U1-H2014P1DMM,2014,1,170,169,1,0,0,63486903,169,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P2DMA,U1-H2014P2DMA,2014,2,202,201,1,0,0,72504515,201,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P2DMM,U1-H2014P2DMM,2014,2,194,193,1,0,0,66360591,193,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P3DMA,U1-H2014P3DMA,2014,3,226,225,1,0,0,78885209,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P3DMM,U1-H2014P3DMM,2014,3,258,257,1,0,0,40065024,257,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P4DMA,U1-H2014P4DMA,2014,4,258,257,1,0,0,90249038,257,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P4DMM,U1-H2014P4DMM,2014,4,338,337,1,0,0,120684085,337,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P5DMA,U1-H2014P5DMA,2014,5,226,225,1,0,0,81607814,225,1
LTMD_U1_W2_MATH_ASSET_AUDIT_0.1,H2014P5DMM,U1-H2014P5DMM,2014,5,298,297,1,0,0,131613011,297,1
