architecture_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_url,x_js_status,ag_pages_signal,ag_clave_signal,claves_json_signal,magazine_js_signal,standard_dynamic_architecture,architecture_signature,source_url
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI226,1993,6,MONOGRAFÍA ESTATAL GUANAJUATO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI226.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI227,1993,6,MONOGRAFÍA ESTATAL GUERRERO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI227.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI228,1993,6,MONOGRAFÍA ESTATAL HIDALGO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI228.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI229,1993,6,MONOGRAFÍA ESTATAL JALISCO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI229.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI230,1993,6,MONOGRAFÍA ESTATAL MICHOACÁN,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI230.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI231,1993,6,MONOGRAFÍA ESTATAL MORELOS,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI231.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI232,1993,6,MONOGRAFÍA ESTATAL NAYARIT,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI232.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI233,1993,6,MONOGRAFÍA ESTATAL NUEVO LEÓN,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI233.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI234,1993,6,MONOGRAFÍA ESTATAL OAXACA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI234.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI235,1993,6,MONOGRAFÍA ESTATAL PUEBLA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI235.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI236,1993,6,MONOGRAFÍA ESTATAL QUERÉTARO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI236.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI237,1993,6,MONOGRAFÍA ESTATAL QUINTANA ROO,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI237.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI238,1993,6,MONOGRAFÍA ESTATAL SAN LUIS POTOSÍ,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI238.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI239,1993,6,MONOGRAFÍA ESTATAL SINALOA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI239.htm
LTMD_U1_W11_ARCHITECTURE_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI240,1993,6,MONOGRAFÍA ESTATAL SONORA,200,1,https://historico.conaliteg.gob.mx/x.js,200,1,1,1,1,1,html200|x1:200|agp1|agc1|clv1|mag1,https://historico.conaliteg.gob.mx/H1993P6HI240.htm
