analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI175,1966,1993,4,3,0,0,2067,1725,108,0.029316,0.052250,0.062609
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI177,1966,1993,4,3,0,0,2067,1929,108,0.027778,0.052250,0.055988
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI180,H1993P3HI184,1993,1993,3,3,1,1,2039,2233,108,0.025937,0.052967,0.048365
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA373,H1966P6HI380,1966,1966,5,6,1,0,2596,2438,108,0.021924,0.041602,0.044299
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI182,H1993P3HI184,1993,1993,3,3,1,1,1567,2233,107,0.028974,0.068283,0.047918
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1966P5HI370,1966,1966,4,5,1,0,2067,2407,107,0.024502,0.051766,0.044454
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI177,1966,1993,4,3,0,0,2632,1929,107,0.024023,0.040653,0.055469
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA355,H1966P4MA363,1966,1966,3,4,1,0,2287,2632,107,0.022236,0.046786,0.040653
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1966P6HI380,1960,1966,5,6,0,0,2501,2438,107,0.022144,0.042783,0.043888
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1993P3HI181,1960,1993,4,3,0,0,1993,1438,106,0.031880,0.053186,0.073713
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI177,H1993P3HI180,1993,1993,3,3,1,1,1929,2039,106,0.027447,0.054951,0.051986
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI181,1993,1993,3,3,1,1,1758,1438,105,0.033970,0.059727,0.073018
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI172,H1993P3HI177,1993,1993,3,3,1,1,1576,1929,105,0.030882,0.066624,0.054432
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI172,H1993P3HI184,1993,1993,3,3,1,1,1576,2233,105,0.028348,0.066624,0.047022
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1966P5MA373,1960,1966,4,5,0,0,1993,2596,105,0.023417,0.052684,0.040447
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA355,H1993P3HI181,1966,1993,3,3,0,1,2287,1438,104,0.028721,0.045474,0.072323
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P6HI380,H1993P3HI181,1966,1993,6,3,0,0,2438,1438,104,0.027572,0.042658,0.072323
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI182,1966,1993,4,3,0,0,2632,1567,104,0.025397,0.039514,0.066369
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI184,1966,1993,4,3,0,0,2067,2233,104,0.024786,0.050314,0.046574
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA356,H1966P6HI380,1966,1966,3,6,1,0,1923,2438,104,0.024430,0.054082,0.042658
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI174,H1993P3HI181,1993,1993,3,3,1,1,1669,1438,103,0.034288,0.061714,0.071627
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI182,1993,1993,3,3,1,1,1758,1567,103,0.031968,0.058589,0.065731
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI184,1993,1993,3,3,1,1,1758,2233,103,0.026492,0.058589,0.046126
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI180,1966,1993,4,3,0,0,2067,2039,103,0.025731,0.049831,0.050515
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI168,1966,1993,4,3,0,0,2067,1739,102,0.027538,0.049347,0.058654
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P3HI354,1960,1966,4,3,0,0,2413,1414,102,0.027383,0.042271,0.072136
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI175,H1993P3HI184,1993,1993,3,3,1,1,1725,2233,102,0.026452,0.059130,0.045678
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1966P3MA356,1960,1966,5,3,0,0,2501,1923,102,0.023600,0.040784,0.053042
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA356,H1966P5MA373,1966,1966,3,5,1,0,1923,2596,102,0.023093,0.053042,0.039291
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI180,1966,1993,4,3,0,0,2632,2039,102,0.022324,0.038754,0.050025
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1966P5MA371,1966,1966,4,5,1,0,2632,3313,102,0.017457,0.038754,0.030788
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5HI370,H1966P5MA372,1966,1966,5,5,1,1,2407,2648,101,0.020388,0.041961,0.038142
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI164,H1993P3HI181,1993,1993,3,3,1,1,1489,1438,100,0.035373,0.067159,0.069541
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI175,1993,1993,3,3,1,1,1758,1725,100,0.029560,0.056883,0.057971
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1972P3CI071,H1993P3HI181,1972,1993,3,3,0,1,2068,1438,100,0.029360,0.048356,0.069541
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI172,H1993P3HI180,1993,1993,3,3,1,1,1576,2039,100,0.028450,0.063452,0.049044
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3HI354,H1966P4MA363,1966,1966,3,4,1,0,1414,2632,100,0.025342,0.070721,0.037994
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI172,1966,1993,4,3,0,0,2632,1576,100,0.024343,0.037994,0.063452
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1966P5MA372,1960,1966,4,5,0,0,1993,2648,100,0.022022,0.050176,0.037764
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1972P3CI071,1966,1972,4,3,0,0,2632,2068,100,0.021739,0.037994,0.048356
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI168,H1993P3HI172,1993,1993,3,3,1,1,1739,1576,99,0.030784,0.056929,0.062817
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1993P3HI172,1966,1993,4,3,0,0,2067,1576,99,0.027935,0.047896,0.062817
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA372,H1993P3HI181,1966,1993,5,3,0,0,2648,1438,99,0.024831,0.037387,0.068846
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4ES014,H1960P4MA019,1960,1960,4,4,1,1,2898,2413,99,0.018995,0.034161,0.041028
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P4ES359,1960,1966,4,4,0,1,2413,2954,99,0.018793,0.041028,0.033514
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI168,H1993P3HI177,1993,1993,3,3,1,1,1739,1929,98,0.027451,0.056354,0.050804
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P5MA373,H1993P3HI181,1966,1993,5,3,0,0,2596,1438,98,0.024898,0.037750,0.068150
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA012,H1993P3HI180,1960,1993,3,3,0,1,2218,2039,98,0.023563,0.044184,0.048063
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3HI354,H1993P3HI181,1966,1993,3,3,0,1,1414,1438,97,0.035209,0.068600,0.067455
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI164,H1993P3HI175,1993,1993,3,3,1,1,1489,1725,97,0.031120,0.065144,0.056232
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI177,1993,1993,3,3,1,1,1758,1929,97,0.027019,0.055176,0.050285
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1993P3HI175,1960,1993,4,3,0,0,1993,1725,97,0.026788,0.048670,0.056232
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI168,H1993P3HI184,1993,1993,3,3,1,1,1739,2233,97,0.025032,0.055779,0.043439
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P3MA357,1960,1966,4,3,0,0,2413,1895,97,0.023035,0.040199,0.051187
