normalization_version,viewer_key,catalog_generation,grade_code,viewer_title,title_core,title_core_normalized
CONALITEG_TITLECORE_0.2,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia
CONALITEG_TITLECORE_0.2,H1966P3HI354,1966,3,MI LIBRO DE HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
CONALITEG_TITLECORE_0.2,H1966P3MA355,1966,3,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo de aritmetica y geometria, estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P3MA356,1966,3,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi libro de aritmetica y geometria, estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P3MA357,1966,3,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA","mi libro, segunda parte, aritmetica y geometria, estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P4ES358,1966,4,MI LIBRO DE LENGUA NACIONAL Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P4ES359,1966,4,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO","mi cuaderno de trabajo de lengua nacional, historia y civismo"
CONALITEG_TITLECORE_0.2,H1966P4GE360,1966,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia
CONALITEG_TITLECORE_0.2,H1966P4GE364,1966,4,MI LIBRO DE GEOGRAFÍA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia
CONALITEG_TITLECORE_0.2,H1966P4HI361,1966,4,MI LIBRO DE HISTORIA Y CIVISMO Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
CONALITEG_TITLECORE_0.2,H1966P4MA362,1966,4,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo de aritmetica y geometria, estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P4MA363,1966,4,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi libro de aritmetica y geometria, estudio de la naturaleza"
CONALITEG_TITLECORE_0.2,H1966P5ES365,1966,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,mi cuaderno de trabajo de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P5ES366,1966,5,MI LIBRO DE LENGUA NACIONAL Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional
CONALITEG_TITLECORE_0.2,H1966P5GE367,1966,5,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia
CONALITEG_TITLECORE_0.2,H1966P5GE368,1966,5,MI LIBRO DE GEOGRAFÍA Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia
CONALITEG_TITLECORE_0.2,H1966P5HI369,1966,5,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE HISTORIA Y CIVISMO,mi cuaderno de trabajo de historia y civismo
CONALITEG_TITLECORE_0.2,H1966P5HI370,1966,5,MI LIBRO DE HISTORIA Y CIVISMO Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo
CONALITEG_TITLECORE_0.2,H1966P5MA371,1966,5,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 5° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,mi cuaderno de trabajo. aritmetica y geometria. estudio de la naturaleza
