audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,asset_status,probe_state,http_status,content_type,byte_size,sha256,attempts,error
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,28,187,28,https://historico.conaliteg.gob.mx/c/H1993P4HI198/028.jpg,0,source_jpeg,served_image,200,image/jpeg,92993,8ad68fb3ff78fcc1483f17f35731ec8f5ec3016ddc6171f92e13bc5eca428dd7,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,29,187,29,https://historico.conaliteg.gob.mx/c/H1993P4HI198/029.jpg,0,source_jpeg,served_image,200,image/jpeg,74305,dca2c9158e2fcc074d2097b7ed20ee9a6941d494e69dc68ad76ab9de3aa7fb78,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,30,187,30,https://historico.conaliteg.gob.mx/c/H1993P4HI198/030.jpg,0,source_jpeg,served_image,200,image/jpeg,94406,a6d01785ad21c420f5ce4091082eda7b90391f0b5e3219f38a6b119dddd2cbb3,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,31,187,31,https://historico.conaliteg.gob.mx/c/H1993P4HI198/031.jpg,0,source_jpeg,served_image,200,image/jpeg,103480,6c1e73298e9200cee5caccdf45af2a647929b1a6a27eeff6594e25a8f4ccb477,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,32,187,32,https://historico.conaliteg.gob.mx/c/H1993P4HI198/032.jpg,0,source_jpeg,served_image,200,image/jpeg,95326,75d637517d9236bce2395f5e287db9711997440295e2832289f793c02420837e,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,33,187,33,https://historico.conaliteg.gob.mx/c/H1993P4HI198/033.jpg,0,source_jpeg,served_image,200,image/jpeg,75301,0137e452ba5a6a6c3aff972835c6ac0415197dee7d3030d35dd54b458b1a880a,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,34,187,34,https://historico.conaliteg.gob.mx/c/H1993P4HI198/034.jpg,0,source_jpeg,served_image,200,image/jpeg,94630,9645146b70527b26ba2de60f723745077daefb952cb1d35f4c426e4e42dfc1cd,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,35,187,35,https://historico.conaliteg.gob.mx/c/H1993P4HI198/035.jpg,0,source_jpeg,served_image,200,image/jpeg,90109,2dfa18e1cf3df526cba4df4ae63d5b16ac84fbfee2f0071ed1b76523844f5cdf,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,36,187,36,https://historico.conaliteg.gob.mx/c/H1993P4HI198/036.jpg,0,source_jpeg,served_image,200,image/jpeg,92635,8894dd551d3109b953e7e7a7d291358df5cbccf585a2f3658ce08e70696620d3,1,
LTMD_U1_W5_HISTORY_ASSET_AUDIT_0.1,H1993P4HI198,1993,4,Historia,standard_x_js,H1993P4HI198,37,187,37,https://historico.conaliteg.gob.mx/c/H1993P4HI198/037.jpg,0,source_jpeg,served_image,200,image/jpeg,85191,0fcdea3360380191c59e504b0de04a3051468c788572c3bf48d3222b4724d9f1,1,
