coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2008P1MA255,2008,1,MATEMATICAS CUADERNO DE TRABAJO PARA EL ALUMNO,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2008P1MA255.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2008P2MA262,2008,2,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2008P2MA262.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2008P3CI263,2008,3,CIENCIAS NATURALES,full_direct_reconciled_w1_2008,1,,https://historico.conaliteg.gob.mx/H2008P3CI263.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2008P3MA267,2008,3,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2008P3MA267.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2008P4CI268,2008,4,CIENCIAS NATURALES,full_direct_reconciled_w1_2008,1,,https://historico.conaliteg.gob.mx/H2008P4CI268.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2008P4MA276,2008,4,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2008P4MA276.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2008P5CI277,2008,5,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H2008P5CI277.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2008P6MA291,2008,6,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2008P6MA291.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2008P6MA292,2008,6,MATEMÁTICAS CUADERNO DE TRABAJO,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2008P6MA292.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2011P1MA299,2011,1,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2011P1MA299.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2011P2MA306,2011,2,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2011P2MA306.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2011P3CI307,2011,3,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H2011P3CI307.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2011P3MA313,2011,3,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2011P3MA313.htm
