coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P5DMA,2014,5,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P5DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P5DMM,2014,5,Desafíos matemáticos. Libro para el maestro,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P5DMM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2014P6CNA,2014,6,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2014P6CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P6DMA,2014,6,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P6DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2014P6DMM,2014,6,Desafíos matemáticos. Libro para el maestro,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2014P6DMM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2018P1MAA,2018,1,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2018P1MAA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2018P1MAM,2018,1,Matemáticas. Docente,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2018P1MAM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2018P2MAA,2018,2,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2018P2MAA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2018P2MAM,2018,2,Matemáticas. Docente,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2018P2MAM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-cubierto_alias,covered_by_verified_alias,ciencias_naturales,H2018P3CNA,2018,3,Ciencias Naturales,full_alias_same_bytes,1,H2019P3CNA,https://historico.conaliteg.gob.mx/H2018P3CNA.htm
