classifier_version,viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P6HI379,130,52,63,3,0,0,5,7
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P6HI380,258,194,37,13,0,0,4,10
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P6MA381,130,77,33,3,0,3,4,10
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1966P6MA382,162,36,99,7,0,0,4,16
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1972P1CI059,130,2,77,33,0,2,2,14
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1972P3CI071,226,97,122,1,0,2,3,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI157,162,98,45,4,0,5,3,7
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI158,162,26,35,52,0,2,5,42
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI159,160,90,53,4,0,3,2,8
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI160,162,111,37,1,0,6,2,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI161,162,71,78,2,0,4,2,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI162,162,81,60,10,1,4,5,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI163,162,100,40,8,0,4,5,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI164,162,87,59,4,0,4,3,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI165,162,98,54,0,0,7,2,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI166,162,115,36,3,0,4,2,2
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI167,162,116,26,6,0,3,2,9
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI168,160,104,42,3,0,6,2,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI169,162,98,54,1,1,1,2,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI170,162,100,46,5,0,5,3,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI171,162,112,37,0,0,6,2,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI172,162,108,37,2,0,8,2,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI173,162,111,29,10,0,6,2,4
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI174,162,85,69,0,0,3,2,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI175,162,102,43,7,0,6,2,2
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI176,162,104,40,4,0,3,2,9
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI177,162,108,37,1,0,5,2,9
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI178,162,83,65,1,0,9,3,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI179,162,117,31,3,0,7,2,2
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI180,162,123,30,0,0,2,3,4
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI181,162,81,73,0,0,2,2,4
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI182,162,106,42,2,0,7,2,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI183,162,97,48,4,0,6,2,5
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI184,162,112,42,2,0,3,2,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI185,162,100,52,0,0,4,3,3
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI186,162,103,47,3,0,6,2,1
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI187,162,38,58,33,0,3,1,29
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H1993P3HI188,164,97,51,5,0,3,4,4
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H2008P1CI249,162,8,94,26,0,5,3,26
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H2011P1CI293,169,26,98,12,0,6,4,23
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H2011P2CI300,161,48,80,7,0,7,3,16
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,H2014P2ENA,161,51,74,9,0,7,3,17
PAGESTRUCT_LTMD_U1_W10_INTEGRADOS_0.1,ALL,11937,6239,4127,468,4,301,192,606
