audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2011P4CI315,2011,4,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2011P4CI315,130,129,1,0,0,59075746,129,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2011P5CI326,2011,5,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2011P5CI326,130,129,1,0,0,41322924,129,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2011P6CI336,2011,6,FORMACIÓN CÍVICA Y ÉTICA,standard_x_js,H2011P6CI336,130,129,1,0,0,78711495,129,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2014P1FCA,2014,1,Formación Cívica y Ética,standard_x_js,H2014P1FCA,162,161,1,0,0,77624512,161,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2014P2FCA,2014,2,Formación Cívica y Ética,standard_x_js,H2014P2FCA,154,153,1,0,0,79789782,153,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2014P3FCA,2014,3,Formación Cívica y Ética,standard_x_js,H2014P3FCA,114,113,1,0,0,68769416,113,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2014P4FCA,2014,4,Formación Cívica y Ética,standard_x_js,H2014P4FCA,130,129,1,0,0,76514418,129,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2014P5FCA,2014,5,Formación Cívica y Ética,standard_x_js,H2014P5FCA,225,224,0,1,0,95234467,224,0
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2014P6FCA,2014,6,Formación Cívica y Ética,standard_x_js,H2014P6FCA,210,209,1,0,0,96419310,209,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2018P3FCA,2018,3,Formación Cívica y Ética,standard_x_js,H2018P3FCA,114,113,1,0,0,46707589,113,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2018P4FCA,2018,4,Formación Cívica y Ética,standard_x_js,H2018P4FCA,130,129,1,0,0,37514488,129,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2018P5FCA,2018,5,Formación Cívica y Ética,standard_x_js,H2018P5FCA,226,225,1,0,0,47892962,225,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2018P6FCA,2018,6,Formación Cívica y Ética,standard_x_js,H2018P6FCA,210,209,1,0,0,47617791,209,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2019P1FCA,2019,1,Formación Cívica y Ética,standard_x_js,H2019P1FCA,162,161,1,0,0,17015873,161,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2019P2FCA,2019,2,Formación Cívica y Ética,standard_x_js,H2019P2FCA,154,153,1,0,0,17846251,153,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2019P3FCA,2019,3,Formación Cívica y Ética,standard_x_js,H2019P3FCA,114,113,1,0,0,17139861,113,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2019P4FCA,2019,4,Formación Cívica y Ética,standard_x_js,H2019P4FCA,130,129,1,0,0,54233436,129,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2019P5FCA,2019,5,Formación Cívica y Ética,standard_x_js,H2019P5FCA,226,225,1,0,0,76231100,225,1
LTMD_U1_W7_CIVICS_ETHICS_ASSET_AUDIT_0.1,H2019P6FCA,2019,6,Formación Cívica y Ética,standard_x_js,H2019P6FCA,210,209,1,0,0,74469668,209,1
