audit_version,viewer_key,catalog_generation,grade_code,viewer_page,source_sha256,candidate_kind,candidate_value,psm_support_count,psm_modes,isbn13_checksum_valid,support_class,promotable_under_0_1_rule
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P4CI315,2011,4,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,edition,third_edition:2010,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P4CI315,2011,4,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,reprint,first_reprint:2011,1,6,,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P4CI315,2011,4,2,5eb8dc9c3a572db2aca00a74f71c1d2e23569758f5cebde1bf5577ebd44de0b0,reprint,third_reprint:2012,1,6,,single_psm,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P5CI326,2011,5,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,school_cycle,2013-2014,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P5CI326,2011,5,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,edition,first_edition:2008,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P5CI326,2011,5,2,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,edition,third_edition:2010,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P6CI336,2011,6,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,isbn,978-607-460-405-5,4,3;4;11;12,0,invalid_isbn13_checksum,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P6CI336,2011,6,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,school_cycle,2013-2014,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P6CI336,2011,6,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,edition,first_edition:2008,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2011P6CI336,2011,6,2,fac74bb77bc28c25435720b8669ef78242b1b3427785ed1e90453bd812a65c10,edition,third_edition:2010,5,3;4;6;11;12,,strong_multipsm,1
