audit_version,source_book_id,source_viewer_key,source_target_page,candidate_viewer_key,candidate_generation,candidate_offset,anchor_count_available,anchor_count_compared,anchor_hash_matches,anchor_hash_mismatches,candidate_target_page,candidate_target_reachable,candidate_target_sha256,candidate_target_byte_size,decision
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,2,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2018P3CNA,2018,3,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,-3,6,2,0,2,91,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,-2,6,2,0,2,92,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,-1,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,0,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,2,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,H2019P3CNA,2019,3,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN3-G2008,H2008P3CI263,94,FINAL,,,6,,,,,,,,recovered_by_cryptographic_alignment
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1972P4CI077,1972,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1982P4CI383,1982,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1988P4CI119,1988,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,0,6,6,6,0,76,1,58fb213b5c8680b11e7e76ef7b83e447f08983b1feb9a4d176302bc9e68f2056,56921,accepted_cryptographic_alignment
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H1993P4CI191,1993,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2011P4CI314,2011,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2014P4CNA,2014,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2018P4CNA,2018,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,-3,6,2,0,2,73,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,-2,6,2,0,2,74,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,-1,6,2,0,2,75,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,0,6,2,0,2,76,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,1,6,2,0,2,77,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,2,6,2,0,2,78,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,H2019P4CNA,2019,3,6,2,0,2,79,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,76,FINAL,,,6,,,,,,,,recovered_by_cryptographic_alignment
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,-3,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,-2,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,-1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,0,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,1,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,2,6,2,0,2,98,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1972P4CI077,1972,3,6,2,0,2,99,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,-3,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,-2,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,-1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,0,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,1,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,2,6,2,0,2,98,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1982P4CI383,1982,3,6,2,0,2,99,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,-3,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,-2,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,-1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,0,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,1,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,2,6,2,0,2,98,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1988P4CI119,1988,3,6,2,0,2,99,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,-3,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,-2,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,-1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,0,6,6,6,0,96,1,2dbef7d6f61a432a25b34928aace67cde1ca78037a2de71e81f867e3847dccec,48338,accepted_cryptographic_alignment
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,1,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,2,6,2,0,2,98,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H1993P4CI191,1993,3,6,2,0,2,99,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,-3,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,-2,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,-1,6,2,0,2,95,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,0,6,2,0,2,96,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,1,6,2,0,2,97,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,2,6,2,0,2,98,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2011P4CI314,2011,3,6,2,0,2,99,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2014P4CNA,2014,-3,6,2,0,2,93,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2014P4CNA,2014,-2,6,2,0,2,94,0,,,rejected_anchor_screen
LTMD_U1_W1_2008_RECOVERY_0.1,LTMD-CN4-G2008,H2008P4CI268,96,H2014P4CNA,2014,-1,6,2,0,2,95,0,,,rejected_anchor_screen
