audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,source_bytes,unique_source_hashes,direct_asset_ready
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2011P6GE341,2011,6,GEOGRAFÍA,standard_x_js,H2011P6GE341,202,201,1,0,0,61456504,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2014P4AMA,2014,4,Atlas de México,standard_x_js,H2014P4AMA,130,129,1,0,0,88578155,129,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2014P4GEA,2014,4,Geografía,standard_x_js,H2014P4GEA,202,201,1,0,0,111506417,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2014P5AGA,2014,5,Atlas de geografía del mundo,standard_x_js,H2014P5AGA,122,121,1,0,0,128892168,121,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2014P5GEA,2014,5,Geografía,standard_x_js,H2014P5GEA,210,209,1,0,0,112679814,209,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2014P6GEA,2014,6,Geografía,standard_x_js,H2014P6GEA,202,201,1,0,0,108113764,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2018P4AMA,2018,4,Atlas de México,standard_x_js,H2018P4AMA,130,129,1,0,0,34089632,129,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2018P4GEA,2018,4,Geografía,standard_x_js,H2018P4GEA,202,201,1,0,0,61276316,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2018P5AGA,2018,5,Atlas de geografía del mundo,standard_x_js,H2018P5AGA,122,121,1,0,0,42230834,121,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2018P5GEA,2018,5,Geografía,standard_x_js,H2018P5GEA,210,209,1,0,0,52843574,209,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2018P6GEA,2018,6,Geografía,standard_x_js,H2018P6GEA,202,201,1,0,0,51892484,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2019P4AMA,2019,4,Atlas de México,standard_x_js,H2019P4AMA,130,129,1,0,0,48490280,129,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2019P4GEA,2019,4,Geografía,standard_x_js,H2019P4GEA,202,201,1,0,0,28711659,201,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2019P5AGA,2019,5,Atlas de geografía del mundo,standard_x_js,H2019P5AGA,122,121,1,0,0,26711251,121,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2019P5GEA,2019,5,Geografía,standard_x_js,H2019P5GEA,210,209,1,0,0,28290221,209,1
LTMD_U1_W6_GEOGRAPHY_ATLAS_ASSET_AUDIT_0.1,H2019P6GEA,2019,6,Geografía,standard_x_js,H2019P6GEA,202,201,1,0,0,51485812,201,1
