batch_plan_version,batch_id,batch_global_order,catalog_generation,batch_sequence,viewer_key,grade_code,title_core,declared_positions,batch_declared_positions,source_url
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,1,H1993P1ES135,1,Español actividades,227,2475,https://historico.conaliteg.gob.mx/H1993P1ES135.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,2,H1993P1ES136,1,Español recortable,147,2475,https://historico.conaliteg.gob.mx/H1993P1ES136.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,3,H1993P1ES137,1,Español recortable,83,2475,https://historico.conaliteg.gob.mx/H1993P1ES137.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,4,H1993P1ES138,1,Español Lecturas,67,2475,https://historico.conaliteg.gob.mx/H1993P1ES138.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,5,H1993P1ES139,1,Español lecturas,260,2475,https://historico.conaliteg.gob.mx/H1993P1ES139.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,6,H1993P2ES144,2,Español Actividades,203,2475,https://historico.conaliteg.gob.mx/H1993P2ES144.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,7,H1993P2ES145,2,Español Recortable,123,2475,https://historico.conaliteg.gob.mx/H1993P2ES145.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,8,H1993P2ES146,2,Español,227,2475,https://historico.conaliteg.gob.mx/H1993P2ES146.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,9,H1993P2ES147,2,Español Lecturas,259,2475,https://historico.conaliteg.gob.mx/H1993P2ES147.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,10,H1993P2ES148,2,Español Lecturas,147,2475,https://historico.conaliteg.gob.mx/H1993P2ES148.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,11,H1993P3ES154,3,Español Actividades,211,2475,https://historico.conaliteg.gob.mx/H1993P3ES154.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,12,H1993P3ES155,3,Español Lecturas,115,2475,https://historico.conaliteg.gob.mx/H1993P3ES155.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,13,H1993P3ES156,3,Español Lecturas,227,2475,https://historico.conaliteg.gob.mx/H1993P3ES156.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B01,7,1993,14,H1993P3ES400,3,Español,179,2475,https://historico.conaliteg.gob.mx/H1993P3ES400.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,1,H1993P4ES193,4,Español,239,1281,https://historico.conaliteg.gob.mx/H1993P4ES193.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,2,H1993P4ES194,4,Español Lecturas,115,1281,https://historico.conaliteg.gob.mx/H1993P4ES194.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,3,H1993P4ES195,4,Español Lecturas,259,1281,https://historico.conaliteg.gob.mx/H1993P4ES195.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,4,H1993P5ES201,5,Español,211,1281,https://historico.conaliteg.gob.mx/H1993P5ES201.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,5,H1993P5ES202,5,Español Lecturas,131,1281,https://historico.conaliteg.gob.mx/H1993P5ES202.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,6,H1993P6ES211,6,Español,211,1281,https://historico.conaliteg.gob.mx/H1993P6ES211.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G1993-B02,8,1993,7,H1993P6ES212,6,Español Lecturas,115,1281,https://historico.conaliteg.gob.mx/H1993P6ES212.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,1,H2008P1ES253,1,ESPAÑOL 1er GRADO,147,1659,https://historico.conaliteg.gob.mx/H2008P1ES253.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,2,H2008P1ES254,1,ESPAÑOL RECORTABLE,35,1659,https://historico.conaliteg.gob.mx/H2008P1ES254.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,3,H2008P2ES261,2,ESPAÑOL,219,1659,https://historico.conaliteg.gob.mx/H2008P2ES261.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,4,H2008P3ES265,3,ESPAÑOL ACTIVIDADES,210,1659,https://historico.conaliteg.gob.mx/H2008P3ES265.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,5,H2008P3ES266,3,ESPAÑOL LECTURAS,226,1659,https://historico.conaliteg.gob.mx/H2008P3ES266.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,6,H2008P4ES271,4,ESPAÑOL ACTIVIDADES,239,1659,https://historico.conaliteg.gob.mx/H2008P4ES271.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,7,H2008P4ES272,4,ESPAÑOL LECTURAS,257,1659,https://historico.conaliteg.gob.mx/H2008P4ES272.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,8,H2008P5ES281,5,ESPAÑOL,187,1659,https://historico.conaliteg.gob.mx/H2008P5ES281.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2008-B01,9,2008,9,H2008P6ES288,6,ESPAÑOL,139,1659,https://historico.conaliteg.gob.mx/H2008P6ES288.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,1,H2011P1ES297,1,ESPAÑOL,194,2016,https://historico.conaliteg.gob.mx/H2011P1ES297.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,2,H2011P1ES298,1,ESPAÑOL LECTURAS,82,2016,https://historico.conaliteg.gob.mx/H2011P1ES298.htm
LTMD_U1_W3_BATCH_PLAN_0.1,W3-G2011-B01,10,2011,3,H2011P2ES304,2,ESPAÑOL,218,2016,https://historico.conaliteg.gob.mx/H2011P2ES304.htm
