scope_version,viewer_key,catalog_generation,grade_code,title_core,source_url,operational_domain,documentary_disposition,retention_class,tracking_issue,source_probe_eligible
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI173,1993,3,Morelos. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI173.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI174.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI175.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI176.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI177,1993,3,Puebla. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI177.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI178.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI179.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI180.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI181.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI182,1993,3,Sonora. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI182.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI183.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI184.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI185.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI186.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI187.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,https://historico.conaliteg.gob.mx/H1993P3HI188.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,https://historico.conaliteg.gob.mx/H2008P1CI249.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,https://historico.conaliteg.gob.mx/H2011P1CI293.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,https://historico.conaliteg.gob.mx/H2011P2CI300.htm,integrados_multiarea,required_ftrl_processing,,,1
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H2014P1ENA,2014,1,Exploración de la Naturaleza y la Sociedad,https://historico.conaliteg.gob.mx/H2014P1ENA.htm,integrados_multiarea,final_exception,withheld_internal_unserved,11,0
LTMD_U1_W10_INTEGRADOS_SCOPE_0.2,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,https://historico.conaliteg.gob.mx/H2014P2ENA.htm,integrados_multiarea,required_ftrl_processing,,,1
