gate_version,viewer_key,catalog_generation,grade_code,title_core,declared_positions,source_jpegs,internal_unserved,direct_asset_ready,ocr_source_admitted,decision,reason_code,evidence
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2014P2FCA,2014,2,Formación Cívica y Ética,154,153,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=153; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2014P3FCA,2014,3,Formación Cívica y Ética,114,113,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=113; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2014P4FCA,2014,4,Formación Cívica y Ética,130,129,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=129; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2014P5FCA,2014,5,Formación Cívica y Ética,225,224,1,0,0,withheld_source_gap,isolated_internal_unserved,asset_audit: source_jpegs=224/225; internal_unserved=1; exact missing position unresolved
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2014P6FCA,2014,6,Formación Cívica y Ética,210,209,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=209; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2018P3FCA,2018,3,Formación Cívica y Ética,114,0,113,0,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,asset_audit: source_jpegs=0/114; internal_unserved=113; route_conformance: 3/3 sampled official routes HTTP 404; matched-grade 2019 controls 12/12 HTTP 200
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2018P4FCA,2018,4,Formación Cívica y Ética,130,0,129,0,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,asset_audit: source_jpegs=0/130; internal_unserved=129; route_conformance: 3/3 sampled official routes HTTP 404; matched-grade 2019 controls 12/12 HTTP 200
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2018P5FCA,2018,5,Formación Cívica y Ética,226,0,225,0,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,asset_audit: source_jpegs=0/226; internal_unserved=225; route_conformance: 3/3 sampled official routes HTTP 404; matched-grade 2019 controls 12/12 HTTP 200
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2018P6FCA,2018,6,Formación Cívica y Ética,210,0,209,0,0,withheld_source_subtree_unserved,official_route_sample_3of3_404,asset_audit: source_jpegs=0/210; internal_unserved=209; route_conformance: 3/3 sampled official routes HTTP 404; matched-grade 2019 controls 12/12 HTTP 200
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2019P1FCA,2019,1,Formación Cívica y Ética,162,161,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=161; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2019P2FCA,2019,2,Formación Cívica y Ética,154,153,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=153; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2019P3FCA,2019,3,Formación Cívica y Ética,114,113,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=113; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2019P4FCA,2019,4,Formación Cívica y Ética,130,129,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=129; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2019P5FCA,2019,5,Formación Cívica y Ética,226,225,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=225; internal_unserved=0; direct_asset_ready=1
LTMD_U1_W7_SOURCE_ADMISSIBILITY_0.1,H2019P6FCA,2019,6,Formación Cívica y Ética,210,209,0,1,1,ocr_source_admitted,direct_asset_ready,asset_audit: source_jpegs=209; internal_unserved=0; direct_asset_ready=1
