inventory_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,standard_dynamic_architecture,config_present,config_ag_clave_exact,direct_asset_probe_ready,source_url
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,H1993P3HI157,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI157.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI158,1993,3,Baja California. Historia y Geografía,H1993P3HI158,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI158.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,H1993P3HI159,161,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI159.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI160,1993,3,Campeche. Historia y Geografía,H1993P3HI160,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI160.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,H1993P3HI161,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI161.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,H1993P3HI162,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI162.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,H1993P3HI163,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI163.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,H1993P3HI164,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI164.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI165,1993,3,Colima. Historia y Geografía,H1993P3HI165,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI165.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI166,1993,3,Durango. Historia y Geografía,H1993P3HI166,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI166.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,H1993P3HI167,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI167.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI168,1993,3,Guerrero. Historia y Geografía,H1993P3HI168,161,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI168.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI169,1993,3,Hidalgo. Historia y Geografía,H1993P3HI169,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI169.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI170,1993,3,Jalisco. Historia y Geografía,H1993P3HI170,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI170.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI171,1993,3,México. Historia y Geografía,H1993P3HI171,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI171.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI172,1993,3,Michoacán. Historia y Geografía,H1993P3HI172,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI172.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI173,1993,3,Morelos. Historia y Geografía,H1993P3HI173,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI173.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,H1993P3HI174,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI174.htm
LTMD_U1_W10_DECLARED_INVENTORY_0.1,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,H1993P3HI175,163,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI175.htm
