ocr_version,page_id,book_id,catalog_generation,grade,viewer_page,asset_status,source_bytes,source_sha256_verified,attempts,selected_psm,recognized_words,ocr_chars,mean_word_confidence,median_word_confidence,low_confidence_word_rate,ocr_class,ocr_status,error
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP041,U1-H1966P6CI374,1966,6,41,source_jpeg,49866,1,psm3:ok:173,3,173,825,89.83,94.90,0.0405,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP042,U1-H1966P6CI374,1966,6,42,source_jpeg,45482,1,psm3:ok:149,3,149,712,83.79,94.60,0.1275,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP043,U1-H1966P6CI374,1966,6,43,source_jpeg,46032,1,psm3:ok:93,3,93,465,83.12,94.81,0.1290,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP044,U1-H1966P6CI374,1966,6,44,source_jpeg,53062,1,psm3:ok:70,3,70,7606,88.29,95.46,0.0714,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP045,U1-H1966P6CI374,1966,6,45,source_jpeg,51114,1,psm3:ok:88,3,88,410,89.41,95.66,0.0568,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP046,U1-H1966P6CI374,1966,6,46,source_jpeg,45128,1,psm3:ok:115,3,115,556,85.18,95.17,0.1217,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP047,U1-H1966P6CI374,1966,6,47,source_jpeg,53655,1,psm3:ok:144,3,144,674,89.53,96.09,0.0417,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP048,U1-H1966P6CI374,1966,6,48,source_jpeg,46607,1,psm3:ok:111,3,111,587,90.05,96.06,0.0631,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP049,U1-H1966P6CI374,1966,6,49,source_jpeg,47412,1,psm3:ok:109,3,109,555,93.16,96.35,0.0275,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP050,U1-H1966P6CI374,1966,6,50,source_jpeg,85091,1,psm3:ok:315,3,315,1523,91.81,96.16,0.0508,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP051,U1-H1966P6CI374,1966,6,51,source_jpeg,80797,1,psm3:ok:382,3,382,2071,92.92,96.31,0.0236,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP052,U1-H1966P6CI374,1966,6,52,source_jpeg,83305,1,psm3:ok:394,3,394,1967,92.72,96.11,0.0279,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP053,U1-H1966P6CI374,1966,6,53,source_jpeg,75199,1,psm3:ok:414,3,414,1920,93.87,96.09,0.0097,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP054,U1-H1966P6CI374,1966,6,54,source_jpeg,67265,1,psm3:ok:280,3,280,1295,93.52,96.09,0.0071,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP055,U1-H1966P6CI374,1966,6,55,source_jpeg,54569,1,psm3:ok:178,3,178,848,90.96,95.86,0.0281,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP056,U1-H1966P6CI374,1966,6,56,source_jpeg,68744,1,psm3:ok:255,3,255,1232,92.22,95.63,0.0157,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP057,U1-H1966P6CI374,1966,6,57,source_jpeg,64651,1,psm3:ok:314,3,314,1398,91.32,95.58,0.0287,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP058,U1-H1966P6CI374,1966,6,58,source_jpeg,68568,1,psm3:ok:301,3,301,1350,91.04,95.66,0.0365,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP059,U1-H1966P6CI374,1966,6,59,source_jpeg,78853,1,psm3:ok:441,3,441,1996,89.97,94.76,0.0408,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP060,U1-H1966P6CI374,1966,6,60,source_jpeg,50432,1,psm3:ok:174,3,174,827,88.51,94.62,0.0805,text_detected,ok,
LTMD_U1_W1_1966_OCR_0.1,U1-H1966P6CI374-VP061,U1-H1966P6CI374,1966,6,61,source_jpeg,80059,1,psm3:ok:65,3,65,20595,88.71,95.33,0.0923,text_detected,ok,
