coverage_version,viewer_key,catalog_generation,grade_code,tail_code,source_url,viewer_title,title_core,title_core_normalized,operational_domain,domain_signals,book_id,cataloged,title_normalized,asset_status,asset_resolved_full,asset_resolved_partial,page_manifest_ready,ocr_ready,pagestruct_ready,fragseg_materialized,effective_fragseg_coverage,coverage_inherited_from_viewer,fragment_count_materialized,dependence_audited,semantic_ready,wave_priority,wave_label,queue_status
LTMD_U1_COVERAGE_0.1,H1966P2MA349,1966,2,MA349,https://historico.conaliteg.gob.mx/H1966P2MA349.htm,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA,mi cuaderno de trabajo de aritmetica y geometria,integrados_multiarea,matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P3ES350,1966,3,ES350,https://historico.conaliteg.gob.mx/H1966P3ES350.htm,MI LIBRO DE LENGUA NACIONAL Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
LTMD_U1_COVERAGE_0.1,H1966P3ES351,1966,3,ES351,https://historico.conaliteg.gob.mx/H1966P3ES351.htm,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO","mi cuaderno de trabajo de lengua nacional, historia y civismo",integrados_multiarea,espanol_lengua;historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P3GE352,1966,3,GE352,https://historico.conaliteg.gob.mx/H1966P3GE352.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,mi cuaderno de trabajo de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1966P3GE353,1966,3,GE353,https://historico.conaliteg.gob.mx/H1966P3GE353.htm,MI LIBRO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE GEOGRAFÍA,mi libro de geografia,geografia_atlas,geografia_atlas,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,5,U1-W5-geografia_atlas,queued
LTMD_U1_COVERAGE_0.1,H1966P3HI354,1966,3,HI354,https://historico.conaliteg.gob.mx/H1966P3HI354.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE HISTORIA Y CIVISMO,mi libro de historia y civismo,integrados_multiarea,historia;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P3MA355,1966,3,MA355,https://historico.conaliteg.gob.mx/H1966P3MA355.htm,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi cuaderno de trabajo de aritmetica y geometria, estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P3MA356,1966,3,MA356,https://historico.conaliteg.gob.mx/H1966P3MA356.htm,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA","mi libro de aritmetica y geometria, estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P3MA357,1966,3,MA357,https://historico.conaliteg.gob.mx/H1966P3MA357.htm,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.","MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA","mi libro, segunda parte, aritmetica y geometria, estudio de la naturaleza",integrados_multiarea,ciencias_naturales;matematicas;civica_etica,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,9,U1-W9-integrados_multiarea,queued
LTMD_U1_COVERAGE_0.1,H1966P4ES358,1966,4,ES358,https://historico.conaliteg.gob.mx/H1966P4ES358.htm,MI LIBRO DE LENGUA NACIONAL Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO DE LENGUA NACIONAL,mi libro de lengua nacional,espanol_lengua,espanol_lengua,,1,1,not_yet_audited,0,0,0,0,0,0,0,,0,0,0,3,U1-W3-espanol_lengua,queued
