segmenter_version,viewer_key,fragment_count,segmented_page_count,activity_candidate,assessment_candidate,experiment_candidate,expository_candidate,instruction_candidate,other_candidate,project_candidate,question_candidate,short_residual_candidate
FRAGSEG_LTMD_U1_W11_0.1,H2014P4CCA,470,51,3,0,0,50,42,0,1,47,327
FRAGSEG_LTMD_U1_W11_0.1,H2018P1CAM,100,26,0,0,0,10,3,0,0,1,86
FRAGSEG_LTMD_U1_W11_0.1,H2018P1COA,1462,156,52,22,7,80,230,0,0,209,862
FRAGSEG_LTMD_U1_W11_0.1,H2018P1COM,4071,132,313,78,103,525,834,0,5,350,1863
FRAGSEG_LTMD_U1_W11_0.1,H2018P2COA,1279,155,69,21,8,79,238,0,0,287,577
FRAGSEG_LTMD_U1_W11_0.1,H2018P2COM,4391,156,312,82,99,600,972,0,8,382,1936
FRAGSEG_LTMD_U1_W11_0.1,H2018P4CCA,493,51,3,0,0,60,42,0,1,37,350
FRAGSEG_LTMD_U1_W11_0.1,H2019P1CAM,925,55,54,12,34,132,150,0,0,87,456
FRAGSEG_LTMD_U1_W11_0.1,H2019P1COA,1452,159,52,22,7,87,236,0,0,207,841
FRAGSEG_LTMD_U1_W11_0.1,H2019P1COM,3918,133,316,75,104,521,830,0,5,336,1731
FRAGSEG_LTMD_U1_W11_0.1,H2019P2COA,1280,155,66,21,8,79,238,0,0,296,572
FRAGSEG_LTMD_U1_W11_0.1,H2019P2COM,4339,156,314,81,97,602,962,0,8,385,1890
FRAGSEG_LTMD_U1_W11_0.1,H2019P4CCA,556,52,3,0,0,60,50,0,1,44,398
FRAGSEG_LTMD_U1_W11_0.1,ALL,206237,16477,6279,851,983,41184,27117,1,502,13536,115784
