analysis_version,target_viewer,candidate_viewer,viewer_page,target_sha256,candidate_sha256,target_byte_size,candidate_byte_size
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,42,ac7761cba28de97b9caf19e43391551f64c73b41a5ae993b043bb9293b56c2eb,76091d4c92d84a5c66bab34bd5af4fcddf1d89c59d1bcad018bca19da00f2875,892854,237267
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,43,83e5ee9542f30af8289bdd0d743b47ca319c2cf97e54f826c3b0e20a94758381,cf8539be9bd91126e6bb55e919367da72cc00613700b7219ba949b3f148c1f94,918339,225368
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,44,ecf064488ed8f6bea58e1b90fa04832c8e8f9a992b15cf4346076c9de2a9b066,a42178f21a0a3cfe823c8c6091ef93cfa6065531647da11d80ff78c0d4c275e7,399390,234573
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,45,c24ca1867201fc80c855fefdb18dd20c6cbc02a67d58fef581e66d5a4176565c,88cc537e309e54e556125d71352208604b5ba195869c4dbdadeca26424e8d18b,413762,229242
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,46,f6386b116044f5ba4b28d51c93bb36be03ca8be67339382117ff3022a68e5d48,70640ac3251be1c4850c90343ec7ddda2969794018137542f32871ac9832a7f0,436920,232993
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,47,b4b415f8748f2075bd33294497938ae96c77f6b09d10f58629823df8cbda456c,8e6b56e379f4d449265ab98f0c8117361b3929b77caf76606295698eb0e3d6d1,313679,297207
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,48,d084bff323e60a813aa2e8fadc6e7763a8498f934e968bf726a8e47db21f2da3,df5f9d412a4a35e8c71449880305f9fcd7ef0ea24cf8bd27f07deab6c4e4d040,442553,256230
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,49,df31f4074a47bb3db4d02b974c89557048bacbf9608880518c3471304c009cbc,b7845d9165d6854759f04456cfb912ec7fd412f159d80af5c4908638cc7fbeb0,367859,270288
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,50,2e3c8263f13782e315c05f626eaaeb2206dd38388a52bf31d64ba49352398b4a,fe0e9e107602cfa99c52302dab5c5314de0d841e6854d22b0fee255b09155978,412042,216049
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,51,f334100084152f8966af0827a45590c1dfb3d0306f496e86c7f3ac94957cd88d,85cfec44e4c4e22db6d5c73c74dbeea5e7c71f5972ace546315518f1f91aa202,591833,266355
