observation_version,observation_id,viewer_key,field,normalized_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,support_class,psm_support_count,psm_modes,isbn13_checksum_valid,extraction_source_version
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P6CI286:school_cycle_statement:2008-2009,H2008P6CI286,school_cycle_statement,2008-2009,6,6,5551ae326d47c83b14198bc399b7f5e7692bbccf5cfce991ee8abb9406cc3d5d,212695,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2008P6CI286:school_cycle_statement:2008-2009,H2008P6CI286,school_cycle_statement,2008-2009,2,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,198257,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P1CI294:edition_history_statement:first_edition:2008,H2011P1CI294,edition_history_statement,first_edition:2008,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P1CI294:edition_history_statement:fourth_edition:2013,H2011P1CI294,edition_history_statement,fourth_edition:2013,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P1CI294:isbn_statement:978-607-514-328-6,H2011P1CI294,isbn_statement,978-607-514-328-6,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,strong_multipsm,5,3;4;6;11;12,1,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P1CI294:school_cycle_statement:2013-2014,H2011P1CI294,school_cycle_statement,2013-2014,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P2CI301:edition_history_statement:fourth_edition:2013,H2011P2CI301,edition_history_statement,fourth_edition:2013,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,252746,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P2CI301:school_cycle_statement:2013-2014,H2011P2CI301,school_cycle_statement,2013-2014,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,252746,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P3CI308:edition_history_statement:first_edition:2008,H2011P3CI308,edition_history_statement,first_edition:2008,2,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,394426,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2011P3CI308:edition_history_statement:third_edition:2010,H2011P3CI308,edition_history_statement,third_edition:2010,2,2,3fce0b57004700e901dc8b538bbd03d686cdf0104669a5a273a9e30147bb74f9,394426,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
