path,artifact_class,sha256,byte_size
.github/workflows/build-ltmd-u1-w10-completion.yml,automation,5e3f3cfefbbf8e6429d0215db21b16048a05b05d3ccb4fe513f1cf4d98057087,1688
.github/workflows/build-ltmd-u1-w10-declared-inventory.yml,automation,f294b0ff23373299c391a9a0760a38c3046cd9ad8a9c23558bd8276f319c4918,2691
.github/workflows/build-ltmd-u1-w10-integrados-exact-reuse.yml,automation,0b0f7bca0fa6d4aae1c6c5e5967454edf65aed4a9c9e000bfd0469a5f4ebfda0,2251
.github/workflows/build-ltmd-u1-w10-integrados-fragseg.yml,automation,b873c802e3d6cf0ef9d96f693d1810d1eb1bce845d88b74885e02c265a031cc2,4703
.github/workflows/build-ltmd-u1-w10-integrados-ocr.yml,automation,02230b438b3a757b5e91e992094d6ebe4f36c5d9e6d14a1fbf39abf902a26ce4,4586
.github/workflows/build-ltmd-u1-w10-integrados-pagestruct.yml,automation,109e0f079286304fea46c07b5e47b846b72f7d0eb8a74e0ebfc782a96d1ec433,4567
.github/workflows/build-ltmd-u1-w10-p1ena-official-representations.yml,automation,33e1ada84ec6bd098806b34310ae569135aba79dc25ecb2738688d70eeabf67c,2080
.github/workflows/build-ltmd-u1-w10-p1ena-wayback.yml,automation,783f0de5af232907668fb3f369b923c0a62ca0f3121d7cebd3ab46f82718344e,1626
.github/workflows/build-ltmd-u1-w10-processing-topology.yml,automation,4c0d872d0b7814cd726f22e7e122fc0f7073e0f6819341a6dd29f150a03cde0e,2283
.github/workflows/build-ltmd-u1-w10-scope.yml,automation,8e47af47ed13d9339c442c1b2bfe4ac4cd0d923f8bf4956d36d8105c086cf571,2059
.github/workflows/build-ltmd-u1-w10-source-admissibility.yml,automation,b897476382e6080c008caf597217d13409471d3ebbec5d3c4c846e473efdc5ab,1849
.github/workflows/build-ltmd-u1-w10-source-anomalies.yml,automation,fe5a95628f1aeec652dc6a70fbd6a10c2137c8c070a030262cc785f8b26c889f,1685
.github/workflows/build-ltmd-u1-w10-topology-diagnostic.yml,automation,833a452cc1f9f0b2b3a46a1bb7ec0cf5d42f9ac8673740f6c6a4d99c2640fc20,3124
.github/workflows/build-ltmd-u1-w11-architecture.yml,automation,82acd3e9eba9676ab2341cc9287885b9ec6293b9bd5bc0a0a113a567d1fcf2dc,1941
.github/workflows/build-ltmd-u1-w11-colima-official-sequences.yml,automation,3fe7f32711557a6cabc146a6aa12c0fdc7a0eee111e3d5028ee46db7967cfd89,2087
.github/workflows/build-ltmd-u1-w11-completion.yml,automation,f4516b2bd410ea7a8c02e8dd70812013dd4fe825eefbc2da6b160b88f5c86ebf,3141
.github/workflows/build-ltmd-u1-w11-eam-official-representations.yml,automation,b19290bfd3e35e10de8dd8c22a66713b05f535560ab729c808617b0378ab4d60,2060
.github/workflows/build-ltmd-u1-w11-exact-reuse.yml,automation,67e57bd41d9ccd422b6fd36fa3b773b577e990de2de2cc083e3213f3ee27f424,2624
.github/workflows/build-ltmd-u1-w11-fragseg.yml,automation,fe4bfa091642f7dea30b599001b65cdc0895dc2f3f6c2ee53dd1e5f40908f37e,6285
.github/workflows/build-ltmd-u1-w11-nonstandard-assets.yml,automation,3c9acc7473a22e69f063153f769c8f3ab34f1452f0c46eed7e8360a73e25d89c,3934
.github/workflows/build-ltmd-u1-w11-ocr.yml,automation,a912eb0680abc33e33cc3e669827423cc396f978aaef479e13e9615d6f6c9376,6112
.github/workflows/build-ltmd-u1-w11-pagestruct.yml,automation,c261552f3cc61e5c6fa7e1022a5c75c87d00559743f001b80317296ca2daa607,6061
.github/workflows/build-ltmd-u1-w11-processing-topology.yml,automation,b28506ee8dc47547016d30af06560fde6eb261c0b60b988466b09eaaa620b0f7,2703
.github/workflows/build-ltmd-u1-w11-retained-hole-report.yml,automation,34190149b75a51e124035ac3ce48988d3eed1e34fccb8d539b6f306a8d0ac6de,2558
.github/workflows/build-ltmd-u1-w11-scope.yml,automation,3e60235ce142a0ea7bee3a0d98ab7839df10f1e5307d94cae47047e5560c2967,1575
.github/workflows/build-ltmd-u1-w11-source-admissibility.yml,automation,853f67649fb5d8dfbc56758e510422a6b06de2d566c3d445135c8d5c0fc6c161,2553
.github/workflows/build-ltmd-u1-w11-standard-assets.yml,automation,8d4988be7c06e7e89541e1777b2eae1c575d0fe1e4c296419f69bc78bbfd7eb2,3810
.github/workflows/build-ltmd-u1-w11-standard-declared-inventory.yml,automation,4fdf4b68950d445f9db3c52ab6e2f7f384474d7899f95e3d22ebc59f54476ac4,2324
.github/workflows/build-ltmd-u1-w11-technical-routing.yml,automation,c890ac0ea8b0ae147d653535dc5ecd9ab2f2b4df084579c3709068fee1f0d469,1969
.github/workflows/build-ltmd-u1-w2-completion-report.yml,automation,14796bea5325bcbcf8d1b78b9c2ce5b1344d4d234389fbb786e5ec9509741b10,1445
.github/workflows/build-ltmd-u1-w2-declared-inventory.yml,automation,8e1aa855d06e76132645b23ab4703f3db41ec4055877709e7c0dcb93cb2cf078,1688
.github/workflows/build-ltmd-u1-w2-integrity-checkpoint.yml,automation,b7aa6bb239022dacc8c5ae3253afc9ac37a04d107677f9b070a2552cf8b8e009,1287
.github/workflows/build-ltmd-u1-w2-math-fragseg.yml,automation,536a7849aca029fbff2232812fb51f5a1ebe29367666f594552555bd57fb5c61,4121
.github/workflows/build-ltmd-u1-w2-math-ocr.yml,automation,478fd208c23834bc1e6e6cade5b8b7bfea0dbd6472b4adc4f20988e36b0b4337,4068
.github/workflows/build-ltmd-u1-w2-math-pagestruct.yml,automation,6b7d62b6ab228c7ef6f0d3f262d2b67ce0c5bd195c298dfd947748759d8826e6,3911
.github/workflows/build-ltmd-u1-w2-math-reconciled-manifest.yml,automation,a0971e287f69703552a328e1f4b89c06e0a555d69712f1bd620689dec1efa098,1749
.github/workflows/build-ltmd-u1-w2-scope.yml,automation,f2efd87bed695417b5eaa11b6e72457aa71574d8ae6401ed12729f16b5135b69,1273
.github/workflows/build-ltmd-u1-w3-batch-plan.yml,automation,b76cfba0f730d97ee0abbaf670df54e3b7618c35449e7bc11935274c0e5da0f4,1530
.github/workflows/build-ltmd-u1-w3-completion-report.yml,automation,e2123d68991f4e6ac3ffb19c6388888faecdf328a290072d1dd1e1c18690fe4d,1469
.github/workflows/build-ltmd-u1-w3-spanish-canonical-page-manifest.yml,automation,5cc11372f760f5122c3bf83f4c6e001ec9dbda42c9b308af32ec46cb96510c60,1974
.github/workflows/build-ltmd-u1-w3-spanish-declared-inventory.yml,automation,ef4fe93ade4e100c01499d1272e2b49b77dfd0a65ffa96490292e58a399d0fcc,1649
.github/workflows/build-ltmd-u1-w3-spanish-fragseg.yml,automation,b57b3f6f1f24a5647ca78dc17094d808cef86b28031edb145aa047de3c6a0ca2,4252
.github/workflows/build-ltmd-u1-w3-spanish-ocr.yml,automation,3d43a53b8c5295a1e9c35dbce97cdf90498daf1a81296b8b718b331675ca6bf5,4160
.github/workflows/build-ltmd-u1-w3-spanish-pagestruct.yml,automation,d60626f12ab386a3a8727252e4e4e709f84a7e7c05a80538bd8a8644340780d4,4510
.github/workflows/build-ltmd-u1-w3-spanish-processing-inventory.yml,automation,0420628e873286ab7cbe4272d3d5597406ccc80e51ae64e2fb5620e7dcd33630,1960
.github/workflows/build-ltmd-u1-w4-completion-report.yml,automation,c9ad8d81c2b34868332277850e655a807013498d132156745c40ae1851c3bdac,2215
.github/workflows/build-ltmd-u1-w4-social-sciences-completion-report.yml,automation,7605ce78afe13d99c8de5aed34ecae4c65e28aae1bcbebfa61940d729ef69d47,1155
.github/workflows/build-ltmd-u1-w4-social-sciences-declared-inventory.yml,automation,13bf8d0fa21b87522ff13081889f766d9856a655303422d8e7e3de6cb89dfdd0,2257
.github/workflows/build-ltmd-u1-w4-social-sciences-fragseg.yml,automation,72b4b65c2a30c70b9b92f562f57bd13f1f8d443e758753ded80e07f3ce82aca9,3966
.github/workflows/build-ltmd-u1-w4-social-sciences-ocr.yml,automation,a13cbe2c83fe950bbd4a6bbc45a95b75a7f65e4209490fdd452787ef64a4b63f,3899
.github/workflows/build-ltmd-u1-w4-social-sciences-pagestruct.yml,automation,13f0667aa0538449c160e175d6e8fa0e906afdca88e04c68dd1bb4d082778407,4169
.github/workflows/build-ltmd-u1-w4-social-sciences-processing-topology.yml,automation,89cb4a75e3349aa0c3dddd43cc95a6a2e75955cc7d23f93168d593fdd2bfc09e,2131
.github/workflows/build-ltmd-u1-w5-history-completion-report.yml,automation,a459082edbd1e3b31ebe1952741203b4fd32851ee10276ce3cd529a242799467,1807
.github/workflows/build-ltmd-u1-w5-history-declared-inventory.yml,automation,d55891b83f868678d0fd17ccd012807e1783870d93e81492af8743399ccfbe9e,2435
.github/workflows/build-ltmd-u1-w5-history-fragseg.yml,automation,9932bcdee32b557fc00a318db399106d571e6f3b03ba3beb47b176200d1f511f,3948
.github/workflows/build-ltmd-u1-w5-history-ocr.yml,automation,bc27632e70306f6875f09d42d27b736708fb3d99e637a216f25253b9f9565042,4108
.github/workflows/build-ltmd-u1-w5-history-pagestruct.yml,automation,b21d22c2e81daf4b24f9ecacfefc21dcea858b18d6ee20c3e5b9f383d8814e9b,4297
.github/workflows/build-ltmd-u1-w5-history-processing-topology.yml,automation,d3105491b3f8e8a3f41169f1b10080943a22041c338cf2d067cfb7596717504f,2404
.github/workflows/build-ltmd-u1-w6-geography-atlas-completion-report.yml,automation,9ae3aa808ea6fd7d38082f5fda488e51b633d5f9e5036911c780dc8dd45b68a4,2053
.github/workflows/build-ltmd-u1-w6-geography-atlas-declared-inventory.yml,automation,939072dd80907a840149a856482f4ebe6ea7f61b75ba26650bcc88af15ce4817,1557
.github/workflows/build-ltmd-u1-w6-geography-atlas-fragseg.yml,automation,fa2548219f128d7a670886047aacc18c868884899d3324f8720548f6c605e95e,3935
.github/workflows/build-ltmd-u1-w6-geography-atlas-ocr.yml,automation,2e1497693968cb5bd2282bf3ebdcbe3dc167307636a7f3695dc2e6966d580023,4095
.github/workflows/build-ltmd-u1-w6-geography-atlas-pagestruct.yml,automation,d88c40c292f18e40213ea86611d62c64c8fd9bdb876bb2d657c968dcbb2e063c,4063
.github/workflows/build-ltmd-u1-w6-geography-atlas-processing-topology.yml,automation,7ea320210c1ed9bfba9f6d5e1995aed6b640a39beed73b735d0659eb85f6bace,2418
.github/workflows/build-ltmd-u1-w7-bibliographic-coverage.yml,automation,1b834c623a2d8a6f2ace80d7119187a25cc2609d40af4b8421966a2f20fdf3a3,1990
.github/workflows/build-ltmd-u1-w7-civics-ethics-declared-inventory.yml,automation,55c26b46200d2047e8d4dcdd68547bb5a12af477437d447c9033b618861d0763,1748
.github/workflows/build-ltmd-u1-w7-civics-ethics-fragseg.yml,automation,defcb853a8b515bbede8cf3e842ad877ae77fe0ca02735f1184cb3df4ab558df,4717
.github/workflows/build-ltmd-u1-w7-civics-ethics-ocr.yml,automation,0ceec9a179da8d6830907ca241a2f086943f140034d62991785da6f7e070df21,4191
.github/workflows/build-ltmd-u1-w7-civics-ethics-pagestruct.yml,automation,6e18acd6e777e2c59ede9f1b0ccc97b83f3040a0f4bdebcab480fdd4c2cdf476,4916
.github/workflows/build-ltmd-u1-w7-completion-report.yml,automation,c3f530addc162cd624924d103f15640a5362f4162f75aae7dc24a2aebf59491a,1731
.github/workflows/build-ltmd-u1-w7-h2014p5fca-recovery.yml,automation,2bfd791d0086103abcc7b18608b54c1b4bd71e36391fb2c5b53281eaebfe13db,1915
.github/workflows/build-ltmd-u1-w7-processing-topology.yml,automation,ee3f885e6e0925510dbe41494364b6c1233650be5231782ef98f1c7cb626686d,1973
.github/workflows/build-ltmd-u1-w7-source-admissibility.yml,automation,61c90e3cb08aa9b411775cb5cac28e76de9e02921c7120ddfb8d0193c64eb3bd,1926
.github/workflows/build-ltmd-u1-w8-artes-fragseg.yml,automation,9aaf869f64e8cc1a7560281dde4338b56df1299bce6801f181edf00f9cbe0f42,4611
.github/workflows/build-ltmd-u1-w8-artes-ocr.yml,automation,2bd8915d2bcd0017441b9c0acd85854afcfa425d9099bde5fcbc9e7c3a03cf43,4155
.github/workflows/build-ltmd-u1-w8-artes-pagestruct.yml,automation,cb93dee57fc131156b02e5cd86f53c8c8d52894352cae4960f428355a05d23cf,4861
.github/workflows/build-ltmd-u1-w8-completion-report.yml,automation,b9cd66a7361b73c43ac4ed0d9b8149dea30edb4bba39b3ccc173885407492a83,1409
.github/workflows/build-ltmd-u1-w9-declared-inventory.yml,automation,acc42f38c492ff3f4ef5e810f5a9c8c9be595b897f3254837db53c9e085c1211,2407
.github/workflows/build-ltmd-u1-w9-educacion-fisica-completion-report.yml,automation,340eb0c0096df243bc7746ae9539e63938b06cec5693da3569881d2bd27a9367,1898
.github/workflows/build-ltmd-u1-w9-educacion-fisica-exact-reuse.yml,automation,728448eaf0297eda5c84866cd2149e4db00c02e70d2487208a50e927ca1b7b2a,2229
.github/workflows/build-ltmd-u1-w9-educacion-fisica-fragseg.yml,automation,e7e92a13a51876b8de3b90e33a6482d044f913532f480438f47ccc97cc276ff9,4971
.github/workflows/build-ltmd-u1-w9-educacion-fisica-ocr.yml,automation,dd8d667f107204d12f5dbd94f5a20baacffdf37537ac01918885a49879ddb860,4040
.github/workflows/build-ltmd-u1-w9-educacion-fisica-pagestruct.yml,automation,4fb5d44694621c34f738c3615e2382d2c9df62687d7098995685ed56d3c67cfd,5111
.github/workflows/build-ltmd-u1-w9-processing-topology.yml,automation,a416e56efd8b842147ae7ec23e27e9572af2e24b278ee9797936eaaaa23af299,2739
.github/workflows/build-ltmd-u1-w9-scope.yml,automation,56c48836210a4bf542f4c070648a0370276caa2f1615f9d31c92c07dba176315,2103
.github/workflows/classify-ltmd-u1-w2-math-asset-states.yml,automation,17935eca2fdcaf8e98c924a7466bfcd2b9a48c8f154a045359377282f453808f,1712
.github/workflows/close-ltmd-u1-w10-ledger-v09.yml,automation,db03599ace990b94da0aeb5d238777681f10ef65fc3d11029ea0f073878956ba,7003
.github/workflows/close-stuck-ltmd-u1-w2-ocr-source-run.yml,automation,55297b48a9749130860fc07449afb9be0e273a2934a2ed042c5ed6d59904144f,2165
.github/workflows/close-stuck-ltmd-u1-w2-source-run.yml,automation,0e08c1dec703d60f4f4b5a578bc4fb65fd78f33d445e625a437ac46713644c9f,2110
.github/workflows/combine-ltmd-u1-w3-spanish-assets-recovery.yml,automation,f5987ad5e1cab94f49667ddb2dafed012eabd067dd5f931d8035d2b8bdb20683,4756
.github/workflows/compare-ltmd-u1-w11-morelos-official-sequence.yml,automation,32087e5ff8416fc1f08b50b6db298226a6df6e0ca8847c29f0e5faa25a087ea2,1981
.github/workflows/diagnose-ltmd-u1-w3-spanish-ocr-run.yml,automation,0c9775db001e4bb69949a719945f73c9e8f15e46f65dd1a656f39ed042c23625,4176
.github/workflows/diagnose-ltmd-u1-w7-routing.yml,automation,80e1c0e2715a982c8a2cc1f170d84ca2488d81d3728938c08557285a96056f2b,1810
.github/workflows/discover-ltmd-u1-conaliteg-asset-route.yml,automation,83d9a42a22a237acbb5a1fef30bccf94b1102f015552f5e8a43d30d24a276b47,1647
.github/workflows/discover-ltmd-u1-isolated-official-representations.yml,automation,69eaaac27ab4e95c443e2e2ea75d90baebebcb9139e723c328bebdcee39cfc0c,1892
.github/workflows/discover-ltmd-u1-w7-commoncrawl-sources.yml,automation,ea3cc5612c1fe96fe1f285b2e9b4c916b610d8f539da65fd0e9e786fd28daebe,1707
