topology_version,viewer_key,catalog_generation,grade_code,title_core,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P6MA381,1966,6,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,1,1,direct_canonical,H1966P6MA381,fd3c4294e8a6e123338b3bd90ccf7fcc1fb15355a590f525d6c4f4d22450beb5,130,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1966P6MA382,1966,6,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,1,1,direct_canonical,H1966P6MA382,854b3b167d33dda2ac218b3126444936578c0e4790514e6dc8f5e59d9528ec84,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1972P1CI059,1972,1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",1,1,direct_canonical,H1972P1CI059,dd8a9b91d3b3c84a1a50bcf53f477e81888a7d2e2434114ae6dba6ce9848cad7,130,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES,1,1,direct_canonical,H1972P3CI071,b44083e90a89a181af39a7a9c131803d95ba76ec893751ae7e4a37bf705040d1,226,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI157,1993,3,Aguascalientes. Historia y Geografía,1,1,direct_canonical,H1993P3HI157,337300127bd43f5987fea83558a553a6f1ed9db5692b2c3841b222c3678ee9f1,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI158,1993,3,Baja California. Historia y Geografía,1,1,direct_canonical,H1993P3HI158,3efe9b3d753c01d9b4f6beb2bb2efa7e85b1ba74e63751544a0c56b412efc31e,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI159,1993,3,Baja California Sur. Historia y Geografía,1,1,direct_canonical,H1993P3HI159,20fb73a8b46defd051956d6fc38e6b302069e3c3897f14c7879a1a259e2be060,160,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI160,1993,3,Campeche. Historia y Geografía,1,1,direct_canonical,H1993P3HI160,b3c76684f20a59dc3e644425c7086d44bacf6b8e9b77b932da027399eb265623,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI161,1993,3,Chiapas. Historia y Geografía,1,1,direct_canonical,H1993P3HI161,fd6e77cd15995a9ca5d0afaf5ecdac7f01223174aaddf2ae434fb80aa5b28ae4,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI162,1993,3,Chihuahua. Historia y Geografía,1,1,direct_canonical,H1993P3HI162,60d1e92093af4f10e47a9b43523c77c85d96235597867e455e9e0f312443e536,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI163,1993,3,Distrito Federal. Historia y Geografía,1,1,direct_canonical,H1993P3HI163,3b9f8d6fb196e40ea6197435a7570e9d934c4381485f94b2cadfe573ca3ea13d,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI164,1993,3,Coahuila. Historia y Geografía,1,1,direct_canonical,H1993P3HI164,52b25a1f2bfaa2720d611d0fda8e426b1a221ead92d29e3e16710fee6518e1e4,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI165,1993,3,Colima. Historia y Geografía,1,1,direct_canonical,H1993P3HI165,be9f16d510e29271fa5a2184cc38b38f9ddd6277ca41b6e7be22121de9f45f2a,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI166,1993,3,Durango. Historia y Geografía,1,1,direct_canonical,H1993P3HI166,9df3b8f9e02d595944657ee5a5e9a2467a13dd2c91c1a225b819c64fdcc23286,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI167,1993,3,Guanajuato. Historia y Geografía,1,1,direct_canonical,H1993P3HI167,096e35d8e572018609cc20e3867760c9d690e26d95e6fb84b38fa432a05bcbad,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI168,1993,3,Guerrero. Historia y Geografía,1,1,direct_canonical,H1993P3HI168,d289c0fe1a01759470e65846c49a162db009f6c8ab0b9a32b513523e8383977f,160,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI169,1993,3,Hidalgo. Historia y Geografía,1,1,direct_canonical,H1993P3HI169,33b336fd5cbaee9f576ea9ce8916a0454429fca59f0073eb4aa73a0d0a8730b5,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI170,1993,3,Jalisco. Historia y Geografía,1,1,direct_canonical,H1993P3HI170,524a3ebb0acccb3f506baed0db37f2f0a9a406a467fd3def95e4a272e7be34f5,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI171,1993,3,México. Historia y Geografía,1,1,direct_canonical,H1993P3HI171,24eda64ad11f7c34380b17b29fd7f4952f1eb408efa247914c28c3fc91ad781c,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI172,1993,3,Michoacán. Historia y Geografía,1,1,direct_canonical,H1993P3HI172,ff6d704d09b6c28243c2b3d6c96a09560b4cd569881b534b59600bcf196f9d86,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI173,1993,3,Morelos. Historia y Geografía,1,1,direct_canonical,H1993P3HI173,c089f9974247c7fac5520c7e68a3cc3ccc94855c3ff9fef52a1d77de8ce3b7c6,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,1,1,direct_canonical,H1993P3HI174,c7972850081872d013cb112d2a4e3ecaba4ceec8cce7d91cb90cd6c91a26ac3d,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,1,1,direct_canonical,H1993P3HI175,8582f5553cfa33907c25f2ff5af8a07821d5bc9982fe8891e94530b4b9385116,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,1,1,direct_canonical,H1993P3HI176,5cbc56fed53aa3b912589e3ca1f2559c33273d033273f469a63ec4e9df839158,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI177,1993,3,Puebla. Historia y Geografía,1,1,direct_canonical,H1993P3HI177,1f198837fb5b8ca69af6b8e4f5e5e305179dea8df65f33a97b3f122532be500a,162,1,admitted_direct
LTMD_U1_W10_PROCESSING_TOPOLOGY_0.1,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,1,1,direct_canonical,H1993P3HI178,bee3fec96a3df236675f584ade4303f3a337ddb420c192ba229ce64affccb905,162,1,admitted_direct
