analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,65c74c15a686187bb6bbf9958f494fc6b80068034a659a9ad44991b08c58f2d2,1,1,15,11,4,6,U1-H2008P1CI250-P042-F014
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,94775eecceb00bf49c496b75d0aab86c79baa4bc788c7a35ffeb478f1a53fc90,5,29,15,9,4,6,U1-H2008P1CI250-P108-F003
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,acbbb708385721a6275edb28b2265071ab2c596d66c45e0f095ca22a55c6fb7d,1,2,15,7,4,3,U1-H2008P2CI257-P048-F012
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,b5f7577080910a863d3d17c2fcfd9f54ab763c5ac7694f6ee0abe4435f0c82a8,1,10,15,3,2,2,U1-H2014P6FCA-P041-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,d519b203a4ff546de94c4f825d8abffdd87d946120094e31e4a84c319d1a51b9,5,35,15,3,3,1,U1-H2011P2CI301-P027-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,ed811374eadc0a519b2adc320702c1392e8e165a4e6b8d4367d4937f264e4647,7,38,15,3,3,1,U1-H2011P4CI315-P027-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,f9028681684ae8dd30c9f736182077252bfcfd371d11f2e53e2f1dec2e5a8aa9,5,43,15,3,1,3,U1-H2008P2CI257-P019-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,3f39ca6ca11f5c2af2e4e0f99ffd1d7cd4b1ce9019510b2ca83cb55e4588c672,2,11,14,7,2,6,U1-H2011P2CI301-P152-F006
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,6a051392dce1a25d8de421e2bb924b3f1bcaf396c76e8d6f111c03777ff1cb94,1,12,14,4,1,4,U1-H2008P2CI257-P008-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,a4dc3bc8a6f6f65ddd0bfc390c472bd117342137aaca58c15038cfe766c83509,3,17,14,7,2,6,U1-H2011P1CI294-P128-F007
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,1106fc4a03dfcc9dafb00e5ae75cab2441635cd35ea443f551364a0370edd00e,3,18,13,2,2,1,U1-H2014P6FCA-P052-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,12b1a0c2bd1cf1175d4c4dd06e9852eba5c640d2a83abef11fb6ce84150afa2b,7,40,13,7,4,5,U1-H2008P1CI250-P028-F003
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,1f40f1694bd828fcbf121ce04c8a82d31276ad0c79f31f60506b09b553e9774a,3,17,13,4,4,1,U1-H2008P4CI269-P029-F013
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,21fa715ab3b2520ce6b666e1d3621e9610acbec5662750f350b4a88f5c624af1,9,62,13,3,3,1,U1-H2011P1CI294-P039-F016
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,55d067b1fc80b75f925da085de040962c83cb8064d85b231ac1b4ac8a4ec5787,1,10,13,13,4,6,U1-H2008P1CI250-P108-F019
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,7f50cf69217b587378e9cfec936203ee4000127aa7921a912fd2e8d035f07666,5,24,13,13,4,6,U1-H2008P3CI264-P072-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,9f4f6f3cf27ec6fb494909c8ca86e746fce2181882abd330b6d9a65750825e82,8,42,13,3,3,1,U1-H2011P1CI294-P058-F010
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,ab3c4645524244d0e28616b381961f250a150787e64d74dda983ec57bf062360,6,39,13,3,3,1,U1-H2011P1CI294-P058-F009
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1,1,13,7,4,4,U1-H2008P5CI278-P082-F010
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,01c04c0e3ea59bbd71ac2f74578b59dc02573dcc291dd905a840722d5d184f8f,12,71,12,4,1,4,U1-H2008P2CI257-P024-F003
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,473a8a91286a561f233ce20edd6b9d0385ac2891ffb2be71d1d712f5a6fbcde5,1,14,12,3,1,3,U1-H2008P2CI257-P030-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,4cad03e6e190effc408d4fc2eafbc955369d6371d1b49e455118f6db4b86fb97,3,20,12,3,1,3,U1-H2008P4CI269-P040-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,8321c528c96eba324f8395152cdea39e5cc89b923d4979c4b89d4fec71cb2dc5,3,27,12,2,1,2,U1-H2008P1CI251-P029-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,9391237ce81f46aadf6c3fd478e8e863b5841be8c6c6a33df597fd5c987a8fb1,2,17,12,3,2,2,U1-H2014P6FCA-P018-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,fd59c9031a16c68e5cac4faf44a5c4b6dc74ea898c952364e3f2502d10f47c32,6,30,12,6,3,3,U1-H2011P4CI315-P122-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,0901ffc506556258046b04bea03d372990cd34eae0e7fc295edbdf07693477b8,15,74,11,11,2,6,U1-H2014P1FCA-P159-F016
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,27a36f7a0919b3bd0327839a144e4294c3496dc5211b7b9ad24569af56a35753,4,19,11,11,3,6,U1-H2011P1CI294-P159-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,3f79bb7b435b05321651daefd374cdc681dc06faa65e374e38337b88ca046dea,1,1,11,7,3,5,U1-H2008P4CI269-P022-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,4f3a67a084e374199a16a735f20492b2f89d38fed0fb303de0fedfeb2dc946a0,8,44,11,11,2,6,U1-H2014P1FCA-P159-F007
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,51812ecab2489442785b181b366c8a7ba96d507faa55d037b0005f93943f034b,15,89,11,11,3,6,U1-H2011P2CI301-P151-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1,1,11,9,4,5,U1-H2008P1CI250-P021-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,6f38a85efe33f7c971f6d2b4b511ab1c303bce0393e43987205d1967e4520e3a,4,30,11,11,3,5,U1-H2011P1CI294-P159-F024
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,99a1b84b98650fd4581b7156cd830ef74402cc54b6b834b677c269a41e731915,1,2,11,10,4,5,U1-H2008P1CI250-P079-F017
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,9ef9c035b2b210b78325b0127e0611ec105442cf1aab831b63d24f1a9d31c965,2,8,11,4,1,4,U1-H2008P2CI257-P021-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,a38db50dbd5405520ad05e865b684c911eb8d99e0d50b6349376f960211ea628,7,41,11,3,2,2,U1-H2014P6FCA-P030-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,aa79d0c767855b527261876948c0bd0a7fd20b3d113aca9cac57c7fb09b4a7f4,4,26,11,11,2,6,U1-H2014P1FCA-P159-F011
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,1,2,11,11,4,5,U1-H2008P2CI257-P033-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,d1e7df7c0f6be37904708e11d93d6ef02a4066aadbf5fe352cd170c78956ff03,4,25,11,11,4,6,U1-H2008P1CI251-P078-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,eda916d762b6f117c6fed8445c97131d8dcee436012b804e30621fe99ceb699a,2,10,11,11,2,6,U1-H2014P1FCA-P159-F025
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,112e676acc1209be8b14b7bcbb8e11b543fe8f7df6ecd447020674d49a7d920d,2,9,10,4,2,2,U1-H2014P1FCA-P110-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,1ac33722efa7fd63c72aaa57315a3bc3a111e7f3f78ca1329a574b86a2a29961,5,30,10,2,2,1,U1-H2014P2FCA-P027-F008
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,20ecfe084b324358b6ad5fbdbbd67a2aaf4e64c2bdd79297418f8bb9c01dd5f4,1,5,10,1,1,1,U1-H2011P4CI315-P087-F003
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,38001b51ea484da0597a7f41e022818233aaa78df985fd1224d7bbdfa886c8f2,2,8,10,4,2,2,U1-H2014P1FCA-P144-F012
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,467e02c33c5250302dafeb2d945faab9cc0aff306cbe25e610df97f88c16abc8,1,13,10,10,4,4,U1-H2008P1CI250-P101-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,56a62dac8aadab28e2c2f93fbe2485744180fc0aa54142104cceb6c3e825bfd7,6,32,10,10,3,6,U1-H2008P1CI250-P109-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,5c4dbd69d2f698764f964fbd3a583fd0705749fc52dc88a822a02ea330d61514,13,72,10,2,2,1,U1-H2014P2FCA-P027-F010
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,64ad1315e61dede40e74746991da3ae83cefde5cb6ff6fb87a96a8a5ca947088,1,2,10,3,2,2,U1-H2014P6FCA-P161-F019
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,8038f724e58ddfc5c5f1d010d36ece18e46770554548b9872a8f221db63bea18,2,9,10,3,2,2,U1-H2014P6FCA-P120-F001
