classifier_version,viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3TAB,161,123,10,6,0,12,6,4
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3TAM,161,125,9,3,0,8,10,6
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3TLA,121,85,24,2,0,5,4,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3VER,161,123,22,1,0,8,4,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3YUC,161,129,13,0,0,9,5,5
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3ZAC,161,124,21,1,0,8,6,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P4CCA,65,2,49,6,0,3,3,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2018P1CAM,113,0,26,58,0,2,4,23
PAGESTRUCT_LTMD_U1_W11_0.1,H2018P1COA,177,4,152,12,0,3,3,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2018P1COM,153,130,2,1,0,8,11,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2018P2COA,177,5,150,5,0,4,5,8
PAGESTRUCT_LTMD_U1_W11_0.1,H2018P2COM,177,154,2,0,0,11,8,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2018P4CCA,65,4,47,5,0,3,3,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2019P1CAM,153,27,28,58,0,5,9,26
PAGESTRUCT_LTMD_U1_W11_0.1,H2019P1COA,177,5,154,8,0,3,3,4
PAGESTRUCT_LTMD_U1_W11_0.1,H2019P1COM,153,129,4,1,0,8,11,0
PAGESTRUCT_LTMD_U1_W11_0.1,H2019P2COA,177,4,151,5,0,4,6,7
PAGESTRUCT_LTMD_U1_W11_0.1,H2019P2COM,177,154,2,0,1,12,7,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2019P4CCA,65,11,41,6,1,3,2,1
PAGESTRUCT_LTMD_U1_W11_0.1,ALL,19862,10859,5618,1554,8,455,480,888
