manifest_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,viewer_page,source_image_index,source_asset_url,byte_size,sha256,asset_status,page_numbering_policy,source_provenance
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,25,25,https://historico.conaliteg.gob.mx/c/H2008P1CI250/025.jpg,457064,aa3aa63d35bd53c018217d09c6082eef924fec27500a4a230248457e76c4fb9e,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,26,26,https://historico.conaliteg.gob.mx/c/H2008P1CI250/026.jpg,189629,1ee8ba6379b9517856609f902d4fb7fdde69bd3ae5e64cc93a3c753c93e617ff,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,27,27,https://historico.conaliteg.gob.mx/c/H2008P1CI250/027.jpg,345295,5fc82228f8316dbb860fbe9d17e4c17efa1d7dc3d1d8e065c0fb706627dff9c3,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,28,28,https://historico.conaliteg.gob.mx/c/H2008P1CI250/028.jpg,429434,c4b7aaa3db089320ace973cd4452ffc468981c2827edb039e7ade8a156679b6f,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,29,29,https://historico.conaliteg.gob.mx/c/H2008P1CI250/029.jpg,414905,27da988ef0fe9bdfb73ca07c09c1edb96ba5309f6f43236fd3986fb381b9f09d,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,30,30,https://historico.conaliteg.gob.mx/c/H2008P1CI250/030.jpg,387827,c468b67f48fdc9f4fcf40e39b0037b53f525d7119b98c976c7c2990395ed3323,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,31,31,https://historico.conaliteg.gob.mx/c/H2008P1CI250/031.jpg,381562,1c86de66da919d82e13d5755f660ad080924d676443755dc420888aef51e986a,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,32,32,https://historico.conaliteg.gob.mx/c/H2008P1CI250/032.jpg,330080,1227373bb64448ec3c00c6d208ae65762855aa0c29f408f876081b35f6a27156,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,33,33,https://historico.conaliteg.gob.mx/c/H2008P1CI250/033.jpg,322511,e436b776f1d632c3bfc84f2db88dd7075e544a8551c3d14d113b534fc3ccc6bc,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,34,34,https://historico.conaliteg.gob.mx/c/H2008P1CI250/034.jpg,350582,5a7872c48d90f80608b3c7995d03476d9364afa04a063058c4f045b1592f1029,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
