audit_version,snapshot_version,viewer_key,catalog_generation,grade_code,tail_code,occurrences,source_url,http_status,content_type,final_url,viewer_title,reachable,title_present,error
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P2ES348,1966,2,ES348,1,https://historico.conaliteg.gob.mx/H1966P2ES348.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P2ES348.htm,MI LIBRO DE 2° AÑO Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P2MA349,1966,2,MA349,1,https://historico.conaliteg.gob.mx/H1966P2MA349.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P2MA349.htm,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3ES350,1966,3,ES350,1,https://historico.conaliteg.gob.mx/H1966P3ES350.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3ES350.htm,MI LIBRO DE LENGUA NACIONAL Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3ES351,1966,3,ES351,1,https://historico.conaliteg.gob.mx/H1966P3ES351.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3ES351.htm,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3GE352,1966,3,GE352,1,https://historico.conaliteg.gob.mx/H1966P3GE352.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3GE352.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3GE353,1966,3,GE353,1,https://historico.conaliteg.gob.mx/H1966P3GE353.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3GE353.htm,MI LIBRO DE GEOGRAFÍA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3HI354,1966,3,HI354,1,https://historico.conaliteg.gob.mx/H1966P3HI354.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3HI354.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3MA355,1966,3,MA355,1,https://historico.conaliteg.gob.mx/H1966P3MA355.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3MA355.htm,"MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3MA356,1966,3,MA356,1,https://historico.conaliteg.gob.mx/H1966P3MA356.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3MA356.htm,"MI LIBRO DE ARITMÉTICA Y GEOMETRÍA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P3MA357,1966,3,MA357,1,https://historico.conaliteg.gob.mx/H1966P3MA357.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P3MA357.htm,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA Grado 3° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4ES358,1966,4,ES358,1,https://historico.conaliteg.gob.mx/H1966P4ES358.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4ES358.htm,MI LIBRO DE LENGUA NACIONAL Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4ES359,1966,4,ES359,1,https://historico.conaliteg.gob.mx/H1966P4ES359.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4ES359.htm,"MI CUADERNO DE TRABAJO DE LENGUA NACIONAL, HISTORIA Y CIVISMO Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4GE360,1966,4,GE360,1,https://historico.conaliteg.gob.mx/H1966P4GE360.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4GE360.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P4GE364,1966,4,GE364,1,https://historico.conaliteg.gob.mx/H1966P4GE364.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P4GE364.htm,MI LIBRO DE GEOGRAFÍA Grado 4° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
