topology_version,viewer_key,catalog_generation,grade_code,title_core,technical_route,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI223,1993,6,MONOGRAFÍA ESTATAL DISTRITO FEDERAL,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI223,44b174a5e137c8b34e1f0351955fd6f19a0e257ba2fcaf60e6a434ca3f56ad45,282,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI224,1993,6,MONOGRAFÍA ESTATAL DURANGO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI224,8800bfdf82093bac9892c0f7721843c52a739022f950203c43b2f47a77ea7420,266,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI225,1993,6,MONOGRAFÍA ESTATAL ESTADO DE MÉXICO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI225,1cda2a4e656c7088ac735a73a6731cdc67b66c2f1bd2db4e834e470ef4148690,282,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI226,1993,6,MONOGRAFÍA ESTATAL GUANAJUATO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI226,11e8250bb8432968360550c72888fb9d04a096f53440ad2b7f045c91437634ed,250,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI227,1993,6,MONOGRAFÍA ESTATAL GUERRERO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI227,90f79b82b50ad614d076e60ee7074629feedbffb86874c0ffefcd560be613737,282,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI228,1993,6,MONOGRAFÍA ESTATAL HIDALGO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI228,57cb1559e977fa871bfcc634adbea1e44ea766ede5b0567779c321d198dbc542,290,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI229,1993,6,MONOGRAFÍA ESTATAL JALISCO,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI229,9090281bc2e2645823669dbcbb2361f54a900c817ec5a58c37af8c42f469f3f2,282,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI230,1993,6,MONOGRAFÍA ESTATAL MICHOACÁN,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI230,5b2fdec8306b3c10865f15839380211a537a376664c6a6dabdb6916ffcb1e4a9,274,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI231,1993,6,MONOGRAFÍA ESTATAL MORELOS,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI231,57d67098510e986409e928ddabcdd937e29526cef691c807d30500ea98c84b65,290,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H1993P6HI232,1993,6,MONOGRAFÍA ESTATAL NAYARIT,standard_dynamic_claves,1,1,direct_canonical,H1993P6HI232,bede99ec611978507aa2719e8d38669d94dbed82af95578543b279a58317af54,212,1,admitted_direct
