inventory_version,routing_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,technical_route,source_url
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI229,1993,6,MONOGRAFÍA ESTATAL JALISCO,H1993P6HI229,283,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI229.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI230,1993,6,MONOGRAFÍA ESTATAL MICHOACÁN,H1993P6HI230,275,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI230.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI231,1993,6,MONOGRAFÍA ESTATAL MORELOS,H1993P6HI231,291,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI231.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI232,1993,6,MONOGRAFÍA ESTATAL NAYARIT,H1993P6HI232,213,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI232.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI233,1993,6,MONOGRAFÍA ESTATAL NUEVO LEÓN,H1993P6HI233,225,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI233.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI234,1993,6,MONOGRAFÍA ESTATAL OAXACA,H1993P6HI234,291,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI234.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI235,1993,6,MONOGRAFÍA ESTATAL PUEBLA,H1993P6HI235,275,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI235.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI236,1993,6,MONOGRAFÍA ESTATAL QUERÉTARO,H1993P6HI236,261,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI236.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI237,1993,6,MONOGRAFÍA ESTATAL QUINTANA ROO,H1993P6HI237,289,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI237.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI238,1993,6,MONOGRAFÍA ESTATAL SAN LUIS POTOSÍ,H1993P6HI238,219,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI238.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI239,1993,6,MONOGRAFÍA ESTATAL SINALOA,H1993P6HI239,199,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI239.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI240,1993,6,MONOGRAFÍA ESTATAL SONORA,H1993P6HI240,259,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI240.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI241,1993,6,MONOGRAFÍA ESTATAL TABASCO,H1993P6HI241,275,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI241.htm
