topology_version,page_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_kind,source_asset_url,sha256,byte_size,original_source_asset_url,original_asset_status,recovery_reference_viewer_key
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0052,H2011P4GE321,2011,4,GEOGRAFÍA,52,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/052.jpg,b255920eca75552aa091bc702a5f0e237205b95c33eeac272c13d8ac2ecfeae7,287120,https://historico.conaliteg.gob.mx/c/H2011P4GE321/052.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0053,H2011P4GE321,2011,4,GEOGRAFÍA,53,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/053.jpg,987f1690e419af54bf5ca3ca568aef1872ecd5a5a23e3d0dffe8adf6f453edb7,285508,https://historico.conaliteg.gob.mx/c/H2011P4GE321/053.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0054,H2011P4GE321,2011,4,GEOGRAFÍA,54,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/054.jpg,402cffa19ae9be856d36985e6a836a3d54d39a9a7cd025ff03cd95675ec541f7,312035,https://historico.conaliteg.gob.mx/c/H2011P4GE321/054.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0055,H2011P4GE321,2011,4,GEOGRAFÍA,55,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/055.jpg,6f3461d8ef1f85b2d8b44287b4bd3f2abbfda2e9855c2e51d5f595b6ec5f3727,330126,https://historico.conaliteg.gob.mx/c/H2011P4GE321/055.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0056,H2011P4GE321,2011,4,GEOGRAFÍA,56,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/056.jpg,25fac95dc182da1beb3646b06e0d1a63894fc5353c8edf538912e744afd38b0c,302116,https://historico.conaliteg.gob.mx/c/H2011P4GE321/056.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0057,H2011P4GE321,2011,4,GEOGRAFÍA,57,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/057.jpg,c353b4894840655bd398e8321beb016035358e1d5ed8edd76b582c84b45b0757,301163,https://historico.conaliteg.gob.mx/c/H2011P4GE321/057.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0058,H2011P4GE321,2011,4,GEOGRAFÍA,58,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/058.jpg,1a41998e9c03c06574390e0a31e5da9ee4c0e244625a6dce0e576ae1f21203b3,309558,https://historico.conaliteg.gob.mx/c/H2011P4GE321/058.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0059,H2011P4GE321,2011,4,GEOGRAFÍA,59,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/059.jpg,42fa33d38503e65c2dff90b59291a3cd86942642551d956f6b3af8cb4719ead6,286573,https://historico.conaliteg.gob.mx/c/H2011P4GE321/059.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0060,H2011P4GE321,2011,4,GEOGRAFÍA,60,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/060.jpg,dcc6358bffce9e17a1fde102ac6028b2451c4e1ff308cb527529993c94dd9af8,356233,https://historico.conaliteg.gob.mx/c/H2011P4GE321/060.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0061,H2011P4GE321,2011,4,GEOGRAFÍA,61,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/061.jpg,48cbe98111728adf1d8a2fbd25c5dd5c14e8979e40bf567fe8a310d0b28e5990,372652,https://historico.conaliteg.gob.mx/c/H2011P4GE321/061.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0062,H2011P4GE321,2011,4,GEOGRAFÍA,62,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/062.jpg,c8089a2c9816c84787b421e2202ad251be4468c0a12701dc4b22a77d563e7410,289448,https://historico.conaliteg.gob.mx/c/H2011P4GE321/062.jpg,source_jpeg,
