state_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,asset_state,next_action
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P6ES339,2011,6,ESPAÑOL,standard_x_js,H2011P6ES339,186,185,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P6ES340,2011,6,ESPAÑOL LECTURAS,standard_x_js,H2011P6ES340,210,209,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P1ESA,2014,1,Español. Libro para el alumno,standard_x_js,H2014P1ESA,234,233,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P1ESM,2014,1,Español. Libro para el maestro,standard_x_js,H2014P1ESM,282,281,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P1LEA,2014,1,Español. Libro de lectura,horizontal_x_horizontal_js,H2014P1LEA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P2ESA,2014,2,Español. Libro para el alumno,standard_x_js,H2014P2ESA,257,256,0,1,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P2ESM,2014,2,Español. Libro para el maestro,standard_x_js,H2014P2ESM,290,289,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P2LEA,2014,2,Español. Libro de lectura,horizontal_x_horizontal_js,H2014P2LEA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P3ESA,2014,3,Español,standard_x_js,H2014P3ESA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P3LEA,2014,3,Español. Libro de lectura,standard_x_js,H2014P3LEA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P4ESA,2014,4,Español,standard_x_js,H2014P4ESA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P4LEA,2014,4,Español. Libro de lectura,standard_x_js,H2014P4LEA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P5ESA,2014,5,Español,standard_x_js,H2014P5ESA,178,177,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P5LEA,2014,5,Español. Libro de lectura,standard_x_js,H2014P5LEA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P6ESA,2014,6,Español,standard_x_js,H2014P6ESA,186,185,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2014P6LEA,2014,6,Español. Libro de lectura,standard_x_js,H2014P6LEA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P1ESA,2018,1,Lengua materna. Español,standard_x_js,H2018P1ESA,226,225,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P1ESM,2018,1,Lengua materna. Español. Docente,standard_x_js,H2018P1ESM,178,177,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P1LEA,2018,1,Lengua materna. Español lecturas,standard_x_js,H2018P1LEA,130,129,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P2ESA,2018,2,Lengua materna. Español,standard_x_js,H2018P2ESA,226,225,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P2ESM,2018,2,Lengua materna. Español. Docente,standard_x_js,H2018P2ESM,178,177,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P2LEA,2018,2,Lengua materna. Español lecturas,standard_x_js,H2018P2LEA,146,145,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P3ESA,2018,3,Español,standard_x_js,H2018P3ESA,162,0,1,161,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P3LEA,2018,3,Español. Libro de lectura,standard_x_js,H2018P3LEA,162,0,1,161,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P4ESA,2018,4,Español,standard_x_js,H2018P4ESA,162,0,1,161,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P4LEA,2018,4,Español. Libro de lectura,standard_x_js,H2018P4LEA,162,0,1,161,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P5ESA,2018,5,Español,standard_x_js,H2018P5ESA,178,0,1,177,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P5LEA,2018,5,Español. Libro de lectura,standard_x_js,H2018P5LEA,162,0,1,161,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P6ESA,2018,6,Español,standard_x_js,H2018P6ESA,186,0,1,185,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2018P6LEA,2018,6,Español. Libro de lectura,standard_x_js,H2018P6LEA,162,0,1,161,0,routing_anomaly_all_or_near_all,resolve_alternate_asset_route
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P1ESA,2019,1,Lengua materna. Español,standard_x_js,H2019P1ESA,226,225,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P1ESM,2019,1,Lengua materna. Español. Docente,standard_x_js,H2019P1ESM,178,177,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P1LEA,2019,1,Lengua materna. Español lecturas,standard_x_js,H2019P1LEA,130,129,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P2ESA,2019,2,Lengua materna. Español,standard_x_js,H2019P2ESA,226,225,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P2ESM,2019,2,Lengua materna. Español. Docente,standard_x_js,H2019P2ESM,178,177,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P2LEA,2019,2,Lengua materna. Español lecturas,standard_x_js,H2019P2LEA,146,145,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2019P3ESA,2019,3,Español,standard_x_js,H2019P3ESA,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
