audit_version,grade,viewer_page,book_2018,viewer_key_2018,alias_content_key,alias_asset_url,book_2019,viewer_key_2019,reference_asset_url,reference_sha256,reference_byte_size,url_identity,observed_sha256,observed_byte_size,http_status,content_type,fetch_attempts,error,sha256_identity,byte_size_identity
CN2018_2019_ASSET_IDENTITY_0.1,4,20,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/020.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/020.jpg,85f45350ee690cc5b2a9b360f6bd5236a9a953ba46fd4e86bf68ceb0508419d1,113599,1,85f45350ee690cc5b2a9b360f6bd5236a9a953ba46fd4e86bf68ceb0508419d1,113599,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,21,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/021.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/021.jpg,3822a8ee2b5edca210f87013fa83fce28d0d4f9e52343a9dd97369bf0c1e787c,126404,1,3822a8ee2b5edca210f87013fa83fce28d0d4f9e52343a9dd97369bf0c1e787c,126404,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,22,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/022.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/022.jpg,a73024de3e29d8f84a1fb6cc58170a05170cd398f8384d14cc3fc44347dc9f29,134853,1,a73024de3e29d8f84a1fb6cc58170a05170cd398f8384d14cc3fc44347dc9f29,134853,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,23,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/023.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/023.jpg,0269c070b394ee1a4fc57d827e3bc26886be52693c06b75c2398cd1101f1c045,88694,1,0269c070b394ee1a4fc57d827e3bc26886be52693c06b75c2398cd1101f1c045,88694,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,24,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/024.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/024.jpg,2f1eb7fb6e30457275976fc8dde6a126ec86426e5ad5d3f63753cb20c6c3673d,125964,1,2f1eb7fb6e30457275976fc8dde6a126ec86426e5ad5d3f63753cb20c6c3673d,125964,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,25,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/025.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/025.jpg,4dac7ccfa1360f168dfd891e3d396f040111e58059a86ff2f42982f2345e2e2a,92614,1,4dac7ccfa1360f168dfd891e3d396f040111e58059a86ff2f42982f2345e2e2a,92614,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,26,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/026.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/026.jpg,fd11d3d2828b79a76dd0bdc33be8000b62831f918c4e86092cb902827bc65a6d,118058,1,fd11d3d2828b79a76dd0bdc33be8000b62831f918c4e86092cb902827bc65a6d,118058,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,27,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/027.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/027.jpg,b626fce01e36d4150cc6086f144c20ff757a1440a2379f1b889c3be63e32e852,120734,1,b626fce01e36d4150cc6086f144c20ff757a1440a2379f1b889c3be63e32e852,120734,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,28,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/028.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/028.jpg,2237900f99fecd866735b244e566cd52db1cdd0f0596916c03db45d63e359e85,112754,1,2237900f99fecd866735b244e566cd52db1cdd0f0596916c03db45d63e359e85,112754,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,29,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/029.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/029.jpg,36c802a7fd2dc7350b321d3700d6c53c3b6ec42adc8708544c1e9f26fd807aba,164537,1,36c802a7fd2dc7350b321d3700d6c53c3b6ec42adc8708544c1e9f26fd807aba,164537,200,image/jpeg,1,,1,1
