normalization_version,title_core,viewer_count,generation_count,generations
CONALITEG_TITLECORE_0.1,MI LIBRO RECORTABLE PARTE 2,1,1,1982
CONALITEG_TITLECORE_0.1,"MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,1960
CONALITEG_TITLECORE_0.1,"MI LIBRO, SEGUNDA PARTE, ARITMÉTICA Y GEOMETRIA, ESTUDIO DE LA NATURALEZA",1,1,1966
CONALITEG_TITLECORE_0.1,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,1,1,1960
CONALITEG_TITLECORE_0.1,Michoacán. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL AGUASCALIENTES,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL BAJA CALIFORNIA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL BAJA CALIFORNIA SUR,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL CAMPECHE,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL CHIAPAS,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL CHIHUAHUA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL COAHUILA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL COLIMA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL DISTRITO FEDERAL,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL DURANGO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL ESTADO DE MÉXICO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL GUANAJUATO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL GUERRERO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL HIDALGO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL JALISCO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL MICHOACÁN,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL MORELOS,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL NAYARIT,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL NUEVO LEÓN,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL OAXACA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL PUEBLA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL QUERÉTARO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL QUINTANA ROO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL SAN LUIS POTOSÍ,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL SINALOA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL SONORA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL TABASCO,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL TAMAULIPAS,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL TLAXCALA,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL VERACRUZ,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL YUCATÁN,1,1,1993
CONALITEG_TITLECORE_0.1,MONOGRAFÍA ESTATAL ZACATECAS,1,1,1993
CONALITEG_TITLECORE_0.1,Morelos. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,México. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Nayarit. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Nuevo León. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Oaxaca. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Puebla. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Querétaro. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Quintana Roo. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,San Luis Potosí. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Sinaloa. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Sonora. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Tabasco. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Tamaulipas. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Tlaxcala. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Veracruz. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Yucatán. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Zacatecas. Historia y Geografía,1,1,1993
