audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,probe_state,http_status,content_type,byte_size,sha256,attempts,error,asset_status
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,34,115,34,https://historico.conaliteg.gob.mx/c/H2008P1ED252/034.jpg,0,served_image,200,image/jpeg,327814,78487dd45f0bda157b69759defce8e42a96c2ef396688a0dde967c8455aaa5f9,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,35,115,35,https://historico.conaliteg.gob.mx/c/H2008P1ED252/035.jpg,0,served_image,200,image/jpeg,293828,2c4cd3914ccf361938a5e9ff8dbe78f5bd9caa557814931a0ff275252bb4e228,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,36,115,36,https://historico.conaliteg.gob.mx/c/H2008P1ED252/036.jpg,0,served_image,200,image/jpeg,321732,46ec07ebba8c834c272f0e7d115115013ac9fe9c7f46e9adce287aee878d959b,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,37,115,37,https://historico.conaliteg.gob.mx/c/H2008P1ED252/037.jpg,0,served_image,200,image/jpeg,294845,b644e3e642bf0f377e21ab2e561444db8407ea843980f25fc1a9dd33b12b1a52,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,38,115,38,https://historico.conaliteg.gob.mx/c/H2008P1ED252/038.jpg,0,served_image,200,image/jpeg,291835,7ed6f17b2a59b6704b1424995f43e866fc8a1b627c2f9690cba6f7f7a3e6d096,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,39,115,39,https://historico.conaliteg.gob.mx/c/H2008P1ED252/039.jpg,0,served_image,200,image/jpeg,315620,242b2c9e8a0c5d06de3af463b90a6fb7fbe4630734bbf011d9f5fbb79d37bebd,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,40,115,40,https://historico.conaliteg.gob.mx/c/H2008P1ED252/040.jpg,0,served_image,200,image/jpeg,286838,c218ad572a9da010b01483cb2a70d7164230798a0ae3abdb2a4de51fd010f04d,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,41,115,41,https://historico.conaliteg.gob.mx/c/H2008P1ED252/041.jpg,0,served_image,200,image/jpeg,264763,b5af53b25f9331f50e1acc33e8dffacc233e06110ee95a60ea9071253462b2ab,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,42,115,42,https://historico.conaliteg.gob.mx/c/H2008P1ED252/042.jpg,0,served_image,200,image/jpeg,335237,6791839471c8fd3126f6aad4dab851958c14273340a58133245ef88536d42325,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,43,115,43,https://historico.conaliteg.gob.mx/c/H2008P1ED252/043.jpg,0,served_image,200,image/jpeg,278504,93acaa5437c0f87d475d835ef5c717b88e770ccf14729a359d533b6fd717e9bb,1,,source_jpeg
