page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H2008P1ED252-P080,H2008P1ED252,2008,1,EDUCACION FISICA,80,3,131,90.49,0.0763,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P081,H2008P1ED252,2008,1,EDUCACION FISICA,81,3,27,78.57,0.2222,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P082,H2008P1ED252,2008,1,EDUCACION FISICA,82,3,10,59.26,0.5000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P083,H2008P1ED252,2008,1,EDUCACION FISICA,83,3,92,94.10,0.0217,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P084,H2008P1ED252,2008,1,EDUCACION FISICA,84,3,168,91.21,0.0655,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P085,H2008P1ED252,2008,1,EDUCACION FISICA,85,3,127,90.66,0.0709,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P086,H2008P1ED252,2008,1,EDUCACION FISICA,86,6,174,30.54,0.8563,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P087,H2008P1ED252,2008,1,EDUCACION FISICA,87,3,48,95.94,0.0000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P088,H2008P1ED252,2008,1,EDUCACION FISICA,88,3,38,92.10,0.0526,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P089,H2008P1ED252,2008,1,EDUCACION FISICA,89,3,66,94.88,0.0152,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P090,H2008P1ED252,2008,1,EDUCACION FISICA,90,3,109,92.41,0.0642,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P091,H2008P1ED252,2008,1,EDUCACION FISICA,91,3,101,94.12,0.0297,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P092,H2008P1ED252,2008,1,EDUCACION FISICA,92,3,61,88.16,0.0984,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P093,H2008P1ED252,2008,1,EDUCACION FISICA,93,3,104,94.48,0.0096,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P094,H2008P1ED252,2008,1,EDUCACION FISICA,94,3,80,86.62,0.1250,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P095,H2008P1ED252,2008,1,EDUCACION FISICA,95,3,118,94.95,0.0169,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P096,H2008P1ED252,2008,1,EDUCACION FISICA,96,3,63,84.13,0.1587,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P097,H2008P1ED252,2008,1,EDUCACION FISICA,97,3,85,84.23,0.1412,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P098,H2008P1ED252,2008,1,EDUCACION FISICA,98,3,61,87.94,0.0656,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P099,H2008P1ED252,2008,1,EDUCACION FISICA,99,3,63,92.86,0.0317,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,end_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P100,H2008P1ED252,2008,1,EDUCACION FISICA,100,3,59,92.61,0.0508,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,end_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P101,H2008P1ED252,2008,1,EDUCACION FISICA,101,3,96,92.96,0.0312,text_detected,0,1,0,mixed_text_image,medium,OCR_MODERATE_TEXT,end_zone;text_present;nav_kw,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P102,H2008P1ED252,2008,1,EDUCACION FISICA,102,3,41,93.21,0.0488,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,end_zone;text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P103,H2008P1ED252,2008,1,EDUCACION FISICA,103,3,8,77.00,0.2500,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,end_zone,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
