source_object_id,viewer_key,asset_url,observed_at,expected_bytes,bytes_received,size_matches,http_status,content_type,sha256,pdf_signature,eof_marker,startxref_in_tail,source_admission_state,page_count,source_pdf_persisted,ocr_available_state,text_verified_state
CONALITEG:2026:primaria:P4PAA,P4PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PAA.pdf,2026-09-02,42606628,42606628,True,200,application/pdf,067bc20ab27f9ae5741dbbd07ac8929f916a68e30c2a70b5c24edc92d993d121,True,True,True,admitted_full_body_verified,363,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P4PCA,P4PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PCA.pdf,2026-09-02,30081745,30081745,True,200,application/pdf,fbd93820912a7a1d430664f224420c6f9f88729780a4b8ea3cf6499847b6f2be,True,True,True,admitted_full_body_verified,347,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P4PEA,P4PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4PEA.pdf,2026-09-02,33554451,33554451,True,200,application/pdf,29b48f85238457e945363fc914cf573a0ecfd32a92aaf5c3807f20c3dbd317a2,True,True,True,admitted_full_body_verified,363,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P4SDA,P4SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4SDA.pdf,2026-09-02,42207256,42207256,True,200,application/pdf,d569e4934d424afb536154dd080b971e99facc12ef477b923cef10e51a8d8e65,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P5LPM,P5LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5LPM.pdf,2026-09-02,4869215,4869215,True,200,application/pdf,877d3ecd5b0f36ad4850ad3fd147ffd5824a18ab52a3fd547f7892a60ca805a5,True,True,True,admitted_full_body_verified,99,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P5MLA,P5MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5MLA.pdf,2026-09-02,50451078,50451078,True,200,application/pdf,b841f13ecbff95d9a7d1cb8a2db4ea775135d6d983b327bb48e3e997c13a978e,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P5PAA,P5PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PAA.pdf,2026-09-02,30488536,30488536,True,200,application/pdf,2fbb25fbf0882b1e63895d29a07f96910b84d1cd9f695c9d8c005848cb926eec,True,True,True,admitted_full_body_verified,371,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P5PCA,P5PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PCA.pdf,2026-09-02,28762062,28762062,True,200,application/pdf,bc61f5f2517f1b1a2101bc98100a8ec6301cebd500f845c0562ca875a2b54893,True,True,True,admitted_full_body_verified,347,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P5PEA,P5PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5PEA.pdf,2026-09-02,31551426,31551426,True,200,application/pdf,a4cd3a5fcc8ef09783c6e10dc5afa80dfb2a17058a36232347fae0adb033f5f8,True,True,True,admitted_full_body_verified,347,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P5SDA,P5SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P5SDA.pdf,2026-09-02,86244579,86244579,True,200,application/pdf,30d6359d86f9f7dfb3f303ca6bef9c27b456c3dad88d91cb52114dfa8f166a3f,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P6MLA,P6MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6MLA.pdf,2026-09-02,46230205,46230205,True,200,application/pdf,23063c282560e20394f67a45047db606bbea85a5ece5e4489e0ed03c62766ab9,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P6PAA,P6PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PAA.pdf,2026-09-02,30858238,30858238,True,200,application/pdf,23117937bf3708bd52edc35c4baf2c01b2573b0c61e14e20bded835fe7a4ca6a,True,True,True,admitted_full_body_verified,371,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P6PCA,P6PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PCA.pdf,2026-09-02,28748724,28748724,True,200,application/pdf,740a184f6f95637f8d49040fbc42ce4f24ce20551c8b7f25250142ee28690da9,True,True,True,admitted_full_body_verified,347,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P6PEA,P6PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6PEA.pdf,2026-09-02,31940373,31940373,True,200,application/pdf,a84d1c98de62af87e011c3d55ccc4b6d25f6470f7ed0c7c3306fd178bb085afb,True,True,True,admitted_full_body_verified,371,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P6SDA,P6SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P6SDA.pdf,2026-09-02,72690833,72690833,True,200,application/pdf,db7f78ecfb0a9cc4b653cfe881c81f8238968f6821f20a19661641f640554fa5,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
