manifest_version,page_id,book_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_page_count,source_image_index,source_asset_url,is_final_declared_position,position_ratio,position_quartile,asset_status,reachable_image,http_status,content_type,byte_size,sha256,fetch_attempts,error
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP024,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,24,179,24,https://historico.conaliteg.gob.mx/c/H1966P6CI374/024.jpg,0,0.134078,Q1,source_jpeg,1,200,image/jpeg,62360,2f2e18f404675a00d06815eefb20c8d34dee726d40692aa42a0bbc4bf2e3d819,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP025,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,25,179,25,https://historico.conaliteg.gob.mx/c/H1966P6CI374/025.jpg,0,0.139665,Q1,source_jpeg,1,200,image/jpeg,47799,83a9e172b4cf592d9aff2c28bd30ef480bcc5dc98cd084b5f2995e18fb4e3685,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP026,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,26,179,26,https://historico.conaliteg.gob.mx/c/H1966P6CI374/026.jpg,0,0.145251,Q1,source_jpeg,1,200,image/jpeg,38185,9690570ef869944d4577168b93ddb37822dfe2c701188a5d3e0d086911ef3c00,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP027,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,27,179,27,https://historico.conaliteg.gob.mx/c/H1966P6CI374/027.jpg,0,0.150838,Q1,source_jpeg,1,200,image/jpeg,56471,4c8a7bcec24a131608cbd6d6eba70527b1a0df2ec219127c27d50b96aa7013e8,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP028,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,28,179,28,https://historico.conaliteg.gob.mx/c/H1966P6CI374/028.jpg,0,0.156425,Q1,source_jpeg,1,200,image/jpeg,43082,ec20d99bbedcf01a3802417177e5f62d22692b33e3a1dec7faac57b9b11d9afd,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP029,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,29,179,29,https://historico.conaliteg.gob.mx/c/H1966P6CI374/029.jpg,0,0.162011,Q1,source_jpeg,1,200,image/jpeg,55398,6da639be0656c0a2558dbc7ff766a8ab413f97882465e49f0cde1f4c1645f85b,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP030,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,30,179,30,https://historico.conaliteg.gob.mx/c/H1966P6CI374/030.jpg,0,0.167598,Q1,source_jpeg,1,200,image/jpeg,57910,f9d1ca87041f4985814f436e13a72b9bd0bc88d0d0850526d30695283a8ca83e,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP031,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,31,179,31,https://historico.conaliteg.gob.mx/c/H1966P6CI374/031.jpg,0,0.173184,Q1,source_jpeg,1,200,image/jpeg,53325,983518e7826963dec60675b69585d66e061f1e53a2c3ceac478d5a1e0a0ea47e,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP032,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,32,179,32,https://historico.conaliteg.gob.mx/c/H1966P6CI374/032.jpg,0,0.178771,Q1,source_jpeg,1,200,image/jpeg,36293,f7bf3e6083173f66fa62ec479e1e1a3df3a6478df71e023a10f4e52613764711,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP033,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,33,179,33,https://historico.conaliteg.gob.mx/c/H1966P6CI374/033.jpg,0,0.184358,Q1,source_jpeg,1,200,image/jpeg,49906,963b3dafde444057c13f8c679339cc01808abd23f0fe506affd1f7fa70a759bc,1,
