page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H1993P4HI198-P044,H1993P4HI198,1993,4,Historia,44,3,43,87.63,0.0698,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P045,H1993P4HI198,1993,4,Historia,45,3,136,80.06,0.1912,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P046,H1993P4HI198,1993,4,Historia,46,3,287,87.26,0.0941,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P047,H1993P4HI198,1993,4,Historia,47,3,256,85.72,0.0781,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P048,H1993P4HI198,1993,4,Historia,48,3,288,88.32,0.0694,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P049,H1993P4HI198,1993,4,Historia,49,3,326,88.49,0.0613,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P050,H1993P4HI198,1993,4,Historia,50,3,339,86.20,0.0826,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P051,H1993P4HI198,1993,4,Historia,51,3,302,86.02,0.0927,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P052,H1993P4HI198,1993,4,Historia,52,3,196,73.94,0.2449,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P053,H1993P4HI198,1993,4,Historia,53,3,202,90.52,0.0396,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P054,H1993P4HI198,1993,4,Historia,54,3,179,83.67,0.1676,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P055,H1993P4HI198,1993,4,Historia,55,3,335,88.22,0.0657,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P056,H1993P4HI198,1993,4,Historia,56,3,419,89.28,0.0549,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P057,H1993P4HI198,1993,4,Historia,57,3,435,89.15,0.0598,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P058,H1993P4HI198,1993,4,Historia,58,3,481,85.26,0.0936,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P059,H1993P4HI198,1993,4,Historia,59,3,275,86.30,0.0982,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P060,H1993P4HI198,1993,4,Historia,60,3,26,63.06,0.5385,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P061,H1993P4HI198,1993,4,Historia,61,3,288,88.21,0.0694,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P062,H1993P4HI198,1993,4,Historia,62,3,316,88.44,0.0601,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P063,H1993P4HI198,1993,4,Historia,63,3,109,73.76,0.2661,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P064,H1993P4HI198,1993,4,Historia,64,3,235,85.46,0.1064,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P065,H1993P4HI198,1993,4,Historia,65,3,203,84.03,0.1232,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
