probe_version,viewer_key,catalog_generation,grade_code,viewer_page,source_image_index,source_sha256,source_byte_size,sha_verified,psm_modes,cycle_candidates_psm3,cycle_candidates_psm6,cycle_candidates_psm11,strong_cycle_candidates,strong_cycle_support,bibliographic_marker_lines
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2014P6FCA,2014,6,17,17,c0fdb551d0f781acd31ff5ff201f7d4610072d9d6f24fc206bc0c547f3f7f42d,558100,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2014P6FCA,2014,6,18,18,3f24cfe77ffa0fd419a6b7ccfb705cc599b367cba057932580b003f7fd601542,331213,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2014P6FCA,2014,6,19,19,2c5e745e279e91736112523b16ccf00110f7de55208f905ca61d2bc28d01b9c2,604363,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2014P6FCA,2014,6,20,20,c1759da05d51dfcd0b6df6e57dd4a73d752e01c4d3629fef15f0325246ce8932,542612,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,13,13,ebe45ee5e78d4eb9c97b46d83cfbf1b42626bbd18d96ab50b3fdd60e0804f435,138980,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,14,14,703bd0aa82e99e81f677c33e58ab2c47544d19d76487407ee1ebb29b4b01e2c6,146010,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,15,15,2bcd15fab7bd6f66294cb37da4b2f9725142626f7534ba53ecddddc30f6aee1d,110706,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,16,16,128a727598cd910ac75d14a14ebc34a81b8225d7862dd4f3c0dc76577005c356,132038,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,17,17,c0d380c5fde286908ebd497896c42b3a030fec1c1822150df48acfc22c5cfd4b,113396,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,18,18,fb46fc3554923adb37be36ab84c6cdac138e1e781cb3f8b0725cab8d7c9d59d1,118958,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,19,19,371f047cfcfcba00b1f18d484a19ae5135b4dbef4cde4c08c2fbf7dfbf15b30a,126832,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P1FCA,2019,1,20,20,2535edbce1995040d9dcd9a984f73eaf06f8eb583d64e7b1b98a9c09aa984e5a,131543,1,3;6;11,,,,,,"psm3: SM Ediciones, 2005), donde podrás || psm6: SM Ediciones, 2005), donde podrás salud y alegría. || psm11: SM Ediciones, 2005), donde podrás"
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,13,13,133e9e9eeb93985b09a94cc5bf03a359ae7f819293ec5b5c5241b8bfe6dbc6fd,113296,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,14,14,63f1a7b0a3ad3bd9c181b2e668fada899aee9a47e183aed3304aafd4514991f0,118792,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,15,15,08257c517b2b59cf81bcf28746dcd99bdb397204a714dab27f216d569b2dad5a,122266,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,16,16,cd0cd7258d15ae52c5d5337a23d9c833ed436e3a77f24d69d52e007a42bc0eba,115182,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,17,17,8fff569bbd6c6e04f5a4c89cce5de7a3e742cc8d61ffbb6ecbce51c175f31562,42241,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,18,18,0e86825e5c802c5ee8deaf32bf4fdc3e9ba62f4d0a93e89dde4adb02e3366673,78755,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,19,19,554bb092beec2b0c0ec1c7742e4df19539003a0a06cb380f5c7fb451f2ed3420,116228,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P2FCA,2019,2,20,20,7417e9298173b2ccb8d81579a412c76a6da7bcc3a95af173d4384ff67de6e6cd,127508,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,13,13,d330dc0679ba4d953ca28fe5a5e7115b970f08f038cdd39fd6686dfe3424af5f,165617,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,14,14,88674c0562845d89ba6cbb85ed98f9c6f00885b890ea4b4ffd92f723a8d88fe7,164914,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,15,15,008b3b503b3b04d6f40584a9af7b9eed611ed15b6eed41f98078d9f3fe88fa56,188899,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,16,16,55ca9aa65f17c5d8f010decdf332750ea4c93e0e10cd42d9b024f80b0998a2ca,152919,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,17,17,6e7061a90c3dc7de8c572413eec9c8a9f0b49cbec01496b2750c40e224b3cf19,138428,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,18,18,3a970ac915f7fb65022e905a2501a5162504f6b8319dc7c59f759cc86585e771,152040,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,19,19,fca97d0fc218ac8a18e2220fc4ec3e8df379610a90592c52736374dcd6cfaeae,208581,1,3;6;11,,,,,,psm6: a a ó EDICIONES
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2019P3FCA,2019,3,20,20,8e66fb74754da0298dec6d30339946d004916e9e07e5bc693384f7f13803f7f3,172165,1,3;6;11,,,,,,
