record_type,audit_version,viewer_key,candidate_label,candidate_base,official_ag_pages,official_json_path,viewer_page,source_image_index,historical_asset_status,historical_url,probe_url,http_status,content_type,byte_size,jpeg_magic,historical_sha256,observed_sha256,sha256_match,query_state,capture_count,error
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,37,37,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/037.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/037.jpg,200,image/jpeg,129647,1,aed4597260ff335a3551c4b0117a80a30dd602d5ef0ef303fd2755239ebec20e,a07d699c6b6effdce171c227d82133ee46216652b80be77e646e3b64d22acf99,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,38,38,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/038.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/038.jpg,200,image/jpeg,135659,1,8b4704040a5cb98e57dab385785fe890751e2c85e5b3a2554780146b3165d931,21f96290330c7d867ff5947c5021c018681a3d412670a3ce6e0811844c7de7e8,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,39,39,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/039.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/039.jpg,200,image/jpeg,89325,1,e72a474c3959ce09710fd6553d9b62098e7d2fce2c14d9222d73cfde49ed5ea8,d09df72c8041088f8f39a161a6dad494125b2d2653e4d5e5c06da46eb789d553,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,40,40,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/040.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/040.jpg,200,image/jpeg,121173,1,cf94a0ba0819854579929d8d02b4870f232d9ceca6621458dc41cc22ae21ba03,219c562bb03a6e117d11e398c0919ed28d19106187a92dba86daec9fe9d4ca50,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,41,41,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/041.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/041.jpg,200,image/jpeg,106402,1,ab05ee7abe79809c1c9df4585a245de8caa572f8bec0538ebeb1f2e619d06b68,0bfe45f7cc7891b8fbecebb56cedbe80b3978f3de3c399e8b6d84ffeb166d138,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,42,42,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/042.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/042.jpg,200,image/jpeg,105855,1,ac7761cba28de97b9caf19e43391551f64c73b41a5ae993b043bb9293b56c2eb,e31d3c5e3c6929a0c7458a690ff64c6babbadbfa303c7f8f034e8f6a53f4ca77,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,43,43,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/043.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/043.jpg,200,image/jpeg,138282,1,83e5ee9542f30af8289bdd0d743b47ca319c2cf97e54f826c3b0e20a94758381,6b52c5aba2f24d84e577f0896dda30caf4e32873762e9477e1dc0cdb293da3a8,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,44,44,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/044.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/044.jpg,200,image/jpeg,105537,1,ecf064488ed8f6bea58e1b90fa04832c8e8f9a992b15cf4346076c9de2a9b066,d06277eff66d8f2d3afc01d4e588bd1b6aa35c2944c35ea901417a8b099f6741,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,45,45,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/045.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/045.jpg,200,image/jpeg,111946,1,c24ca1867201fc80c855fefdb18dd20c6cbc02a67d58fef581e66d5a4176565c,c25725fd86726836217ce11c5785436d4f23f174724b36e3eeedd6d3cc122cdc,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,46,46,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/046.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/046.jpg,200,image/jpeg,104888,1,f6386b116044f5ba4b28d51c93bb36be03ca8be67339382117ff3022a68e5d48,7443523e794c9b8959c336cd888549a8b8266ef8ab13819fad389ba18558c1ac,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,47,47,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/047.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/047.jpg,200,image/jpeg,161206,1,b4b415f8748f2075bd33294497938ae96c77f6b09d10f58629823df8cbda456c,bf0e3a9c7b6d4ff81181a550c4d50671c054f292d8037224c5ed6a1095511f13,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,48,48,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/048.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/048.jpg,200,image/jpeg,137104,1,d084bff323e60a813aa2e8fadc6e7763a8498f934e968bf726a8e47db21f2da3,b7b5798aa258c6fe551a35b80d172e42fec6f947cf470d0771660fa13264063a,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,49,49,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/049.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/049.jpg,200,image/jpeg,107472,1,df31f4074a47bb3db4d02b974c89557048bacbf9608880518c3471304c009cbc,f6632c260bb01f938e7c089b4a4c7f2abbbd084edb2a2f62658323ed00789bc2,0,,,
