scope_version,viewer_key,book_id,catalog_generation,grade_code,title_core,asset_status_at_freeze,execution_action,source_url
LTMD_U1_W2_SCOPE_0.1,H2014P2DMM,U1-H2014P2DMM,2014,2,Desafíos matemáticos. Libro para el maestro,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P2DMM.htm
LTMD_U1_W2_SCOPE_0.1,H2014P3DMA,U1-H2014P3DMA,2014,3,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P3DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2014P3DMM,U1-H2014P3DMM,2014,3,Desafíos matemáticos. Libro para el maestro,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P3DMM.htm
LTMD_U1_W2_SCOPE_0.1,H2014P4DMA,U1-H2014P4DMA,2014,4,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P4DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2014P4DMM,U1-H2014P4DMM,2014,4,Desafíos matemáticos. Libro para el maestro,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P4DMM.htm
LTMD_U1_W2_SCOPE_0.1,H2014P5DMA,U1-H2014P5DMA,2014,5,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P5DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2014P5DMM,U1-H2014P5DMM,2014,5,Desafíos matemáticos. Libro para el maestro,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P5DMM.htm
LTMD_U1_W2_SCOPE_0.1,H2014P6DMA,U1-H2014P6DMA,2014,6,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P6DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2014P6DMM,U1-H2014P6DMM,2014,6,Desafíos matemáticos. Libro para el maestro,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P6DMM.htm
LTMD_U1_W2_SCOPE_0.1,H2018P1MAA,U1-H2018P1MAA,2018,1,Matemáticas,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P1MAA.htm
LTMD_U1_W2_SCOPE_0.1,H2018P1MAM,U1-H2018P1MAM,2018,1,Matemáticas. Docente,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2018P1MAM.htm
