observation_version,observation_id,viewer_key,catalog_generation,field,normalized_value,display_value,evidence_class,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,extraction_source_version,human_validated,admissibility_note,support_class,support_evidence_count
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P5CI278:school_cycle_statement:2008-2009,H2008P5CI278,2008,school_cycle_statement,2008-2009,ciclo escolar 2008-2009,primary_source_page_ocr_multipsm,2,2,bd58bb2d1c5220bfcd3cfcfeda139d26a4b4478b81ca68647c3da440758131e0,230486,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P6CI286:edition_history_statement:first_edition:2008,H2008P6CI286,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,198257,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P6CI286:isbn_statement:978-968-011-738-3,H2008P6CI286,2008,isbn_statement,978-968-011-738-3,ISBN 978-968-011-738-3,primary_source_page_ocr_multipsm,2,2,1b2bde4e4f5e1054bd03625323a01f2d16f0558288a8b93d09d5d00434d8f38d,198257,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P6CI286:school_cycle_statement:2008-2009,H2008P6CI286,2008,school_cycle_statement,2008-2009,ciclo escolar 2008-2009,primary_source_page_ocr_multipsm,6,6,5551ae326d47c83b14198bc399b7f5e7692bbccf5cfce991ee8abb9406cc3d5d,212695,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,2
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P1CI294:edition_history_statement:first_edition:2008,H2011P1CI294,2011,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P1CI294:edition_history_statement:fourth_edition:2013,H2011P1CI294,2011,edition_history_statement,fourth_edition:2013,"Cuarta edición, 2013",primary_source_page_ocr_multipsm,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P1CI294:isbn_statement:978-607-514-328-6,H2011P1CI294,2011,isbn_statement,978-607-514-328-6,ISBN 978-607-514-328-6,primary_source_page_ocr_multipsm,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P1CI294:school_cycle_statement:2013-2014,H2011P1CI294,2011,school_cycle_statement,2013-2014,ciclo escolar 2013-2014,primary_source_page_ocr_multipsm,2,2,d8f620446ec0ced45a4116d043b2a4ba38f910e1be159dc53f40a658a8aa129f,385048,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P2CI301:edition_history_statement:fourth_edition:2013,H2011P2CI301,2011,edition_history_statement,fourth_edition:2013,"Cuarta edición, 2013",primary_source_page_ocr_multipsm,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,252746,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2011P2CI301:school_cycle_statement:2013-2014,H2011P2CI301,2011,school_cycle_statement,2013-2014,ciclo escolar 2013-2014,primary_source_page_ocr_multipsm,2,2,79669bc7a09cb6e32c9f0169e97990a84c80306ced7ac24429f1b925a69f2f43,252746,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
