profile_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,source_host,source_path_shape,generic_grade_book,recortable,libro_integrado,monografia_estatal,constitucion_literal,educacion_fisica_literal,entidad_donde_vivo,material_alfabetizacion,fichero_didactico,conocimiento_medio,matematicas_literal,signal_signature
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI239,1993,6,MONOGRAFÍA ESTATAL SINALOA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI240,1993,6,MONOGRAFÍA ESTATAL SONORA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI241,1993,6,MONOGRAFÍA ESTATAL TABASCO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI242,1993,6,MONOGRAFÍA ESTATAL TAMAULIPAS,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI243,1993,6,MONOGRAFÍA ESTATAL TLAXCALA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI244,1993,6,MONOGRAFÍA ESTATAL VERACRUZ,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI245,1993,6,MONOGRAFÍA ESTATAL YUCATÁN,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI246,1993,6,MONOGRAFÍA ESTATAL ZACATECAS,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,1,0,0,0,0,0,0,constitucion_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2008P5MA285,2008,5,MATEMAÁTICAS,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,0,0,0,0,0,no_declared_signal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P1ED296,2011,1,EDUCACIÓN FÍSCIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,1,0,0,0,0,0,educacion_fisica_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P2ED303,2011,2,EDUCACIÓN FÍSCIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,1,0,0,0,0,0,educacion_fisica_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P3ED310,2011,3,EDUCACIÓN FÍSCIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,1,0,0,0,0,0,educacion_fisica_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,0,0,0,0,0,0,0,no_declared_signal
